KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05000224 : Middle Park and Sutcliffe,"13,505","10,260",943,"1,425"
E05000225 : Peninsula,"14,051","9,758","1,996","1,307"
E05000226 : Plumstead,"16,736","7,466","4,209","3,914"
E05000227 : Shooters Hill,"13,433","8,931","1,352","2,176"
E05000228 : Thamesmead Moorings,"19,730","8,360","1,539","8,442"
E05000229 : Woolwich Common,"17,499","7,414","2,940","5,764"
E05000230 : Woolwich Riverside,"19,120","9,752","2,605","5,216"
E05000285 : Belmont,"11,343","4,688","5,292",660
E05000286 : Canons,"12,471","6,437","4,354",870
E05000287 : Edgware,"11,653","4,048","5,588","1,210"
E05000288 : Greenhill,"12,420","5,153","5,143","1,107"
E05000289 : Harrow on the Hill,"12,270","5,813","4,346","1,039"
E05000290 : Harrow Weald,"11,376","5,880","3,548","1,054"
E05000291 : Hatch End,"10,693","6,058","3,539",479
E05000292 : Headstone North,"10,093","4,782","4,169",540
E05000293 : Headstone South,"11,135","4,839","4,353",962
E05000294 : Kenton East,"11,138","2,960","6,755",770
E05000295 : Kenton West,"11,173","3,062","6,745",815
E05000296 : Marlborough,"12,259","4,543","5,131","1,569"
E05000297 : Pinner,"10,026","6,213","2,750",500
E05000298 : Pinner South,"10,411","6,189","3,392",312
E05000299 : Queensbury,"11,984","2,998","7,489",799
E05000300 : Rayners Lane,"11,124","3,840","6,064",588
E05000301 : Roxbourne,"12,828","4,323","5,845","1,737"
E05000302 : Roxeth,"11,663","3,936","5,483","1,330"
E05000303 : Stanmore Park,"11,229","6,372","3,259",813
E05000304 : Wealdstone,"11,394","4,267","4,420","1,688"
E05000305 : West Harrow,"10,373","4,590","4,143",866
E05000306 : Brooklands,"14,957","11,616","1,375","1,333"
E05000307 : Cranham,"12,528","11,822",352,123
E05000308 : Elm Park,"12,466","10,764",688,731
E05000309 : Emerson Park,"11,977","9,859","1,439",386
E05000310 : Gooshays,"14,692","12,806",399,"1,084"
E05000311 : Hacton,"12,262","11,370",423,271
E05000312 : Harold Wood,"12,650","11,377",508,487
E05000313 : Havering Park,"13,000","11,444",505,713
E05000314 : Heaton,"12,570","10,524",405,"1,228"
E05000315 : Hylands,"12,952","11,697",571,390
E05000316 : Mawneys,"12,915","11,434",555,576
E05000317 : Pettits,"12,955","11,826",525,354
E05000318 : Rainham and Wennington,"12,482","10,527",607,947
E05000319 : Romford Town,"15,921","13,303","1,237",797
E05000320 : St Andrew's,"13,334","12,368",379,289
E05000321 : South Hornchurch,"13,544","11,323",484,"1,295"
E05000322 : Squirrel's Heath,"13,194","11,676",798,351
E05000323 : Upminster,"12,833","12,213",295,126
E05000324 : Barnhill,"13,449","4,255","6,312","1,727"
E05000325 : Botwell,"15,034","5,986","5,572","2,316"
E05000326 : Brunel,"13,841","8,558","3,061","1,213"
E05000327 : Cavendish,"11,658","9,358","1,437",316
E05000328 : Charville,"12,622","7,087","3,413","1,189"
E05000329 : Eastcote and East Ruislip,"12,142","9,688","1,725",189
E05000330 : Harefield,"7,399","6,476",496,173
E05000331 : Heathrow Villages,"12,199","6,094","4,039",960
E05000332 : Hillingdon East,"12,906","8,463","2,753",759
E05000333 : Ickenham,"10,387","8,125","1,602",167
E05000334 : Manor,"11,442","9,609","1,080",259
E05000335 : Northwood,"10,469","6,825","2,876",259
E05000336 : Northwood Hills,"11,578","7,728","2,853",362
E05000337 : Pinkwell,"14,767","4,697","7,025","1,811"
E05000338 : South Ruislip,"12,364","9,029","1,974",615
E05000339 : Townfield,"14,106","5,239","5,825","1,948"
E05000340 : Uxbridge North,"12,048","8,411","2,348",489
E05000341 : Uxbridge South,"13,979","8,674","3,164","1,026"
E05000342 : West Drayton,"14,370","9,553","2,674","1,170"
E05000343 : West Ruislip,"10,611","8,700","1,147",217
E05000344 : Yeading,"13,586","4,882","5,376","1,959"
E05000345 : Yiewsley,"12,979","8,594","2,501",958
E05000346 : Bedfont,"12,701","8,168","2,926",864
E05000347 : Brentford,"14,353","9,486","2,030","1,475"
E05000348 : Chiswick Homefields,"11,346","9,215",825,477
E05000349 : Chiswick Riverside,"11,543","9,340",913,453
E05000350 : Cranford,"12,330","3,219","7,111","1,093"
E05000351 : Feltham North,"11,563","7,068","3,078",678
E05000352 : Feltham West,"15,541","10,026","3,133","1,341"
E05000353 : Hanworth,"12,155","8,215","2,030","1,016"
E05000354 : Hanworth Park,"11,408","7,891","2,170",619
E05000355 : Heston Central,"12,288","2,879","7,820",635
E05000356 : Heston East,"12,319","2,783","7,443",841
E05000357 : Heston West,"12,438","2,966","7,337","1,191"
E05000358 : Hounslow Central,"15,169","4,449","8,931",750
E05000359 : Hounslow Heath,"14,727","4,035","8,511","1,042"
E05000360 : Hounslow South,"11,408","6,263","3,851",472
E05000361 : Hounslow West,"12,658","3,048","8,170",619
E05000362 : Isleworth,"11,977","7,810","1,994","1,205"
E05000363 : Osterley and Spring Grove,"13,031","5,937","5,428",531
E05000364 : Syon,"13,554","8,917","2,341","1,021"
E05000365 : Turnham Green,"11,448","8,790","1,215",490
E05000400 : Alexandra,"9,246","6,493","2,004",221
E05000401 : Berrylands,"9,437","7,731",994,203
E05000402 : Beverley,"10,109","6,817","2,347",264
E05000403 : Canbury,"12,373","9,726","1,440",236
E05000404 : Chessington North and Hook,"8,741","7,426",744,193
E05000405 : Chessington South,"10,232","8,903",702,176
E05000406 : Coombe Hill,"10,357","6,680","2,105",384
E05000407 : Coombe Vale,"9,750","6,497","2,386",186
E05000408 : Grove,"10,955","8,417","1,391",319
E05000409 : Norbiton,"10,107","6,972","1,763",548
E05000410 : Old Malden,"9,431","6,527","2,160",173
E05000411 : St James,"8,969","5,255","2,949",166
E05000412 : St Mark's,"10,483","8,254","1,214",348
E05000413 : Surbiton Hill,"10,459","8,474","1,150",261
E05000414 : Tolworth and Hook Rise,"9,833","7,154","1,908",231
E05000415 : Tudor,"9,578","7,893",895,112
E05000455 : Abbey,"10,323","7,573","1,469",498
E05000456 : Cannon Hill,"9,249","6,901","1,517",355
E05000457 : Colliers Wood,"10,712","6,418","2,444","1,087"
E05000458 : Cricket Green,"11,474","6,023","2,143","2,458"
E05000459 : Dundonald,"9,275","7,597",962,141
E05000460 : Figge's Marsh,"11,240","4,791","2,735","2,752"
E05000461 : Graveney,"9,816","4,167","3,153","1,810"
E05000462 : Hillside,"8,977","7,025","1,283",155
E05000463 : Lavender Fields,"10,273","5,461","2,532","1,445"
E05000464 : Longthornton,"10,024","4,191","2,311","2,654"
E05000465 : Lower Morden,"9,090","7,101","1,174",403
E05000466 : Merton Park,"9,485","6,711","1,920",241
E05000467 : Pollards Hill,"10,287","4,488","1,482","3,511"
E05000468 : Ravensbury,"9,968","6,094","2,189","1,045"
E05000469 : Raynes Park,"9,738","7,814","1,136",262
E05000470 : St Helier,"10,414","6,774","2,274",812
E05000471 : Trinity,"9,798","7,621","1,155",415
E05000472 : Village,"8,491","7,035",934,81
E05000473 : West Barnes,"9,862","6,904","2,043",321
E05000474 : Wimbledon Park,"11,197","8,917","1,287",365
E05000495 : Aldborough,"14,544","5,628","6,714","1,229"
E05000496 : Barkingside,"12,609","4,509","6,544",753
E05000497 : Bridge,"11,658","8,380","1,628",870
E05000498 : Chadwell,"14,257","6,145","4,646","2,365"
E05000499 : Church End,"11,516","8,461","1,753",515
E05000500 : Clayhall,"13,241","3,839","8,096",626
E05000501 : Clementswood,"14,666","2,311","9,717","1,596"
E05000502 : Cranbrook,"12,780","3,144","7,825","1,035"
E05000503 : Fairlop,"12,630","8,217","2,843",842
E05000504 : Fullwell,"12,910","6,648","4,199","1,158"
E05000505 : Goodmayes,"13,069","3,237","7,350","1,436"
E05000506 : Hainault,"12,953","9,092","1,780","1,216"
E05000507 : Loxford,"16,544","2,738","9,917","2,621"
E05000508 : Mayfield,"13,672","3,652","7,916","1,255"
E05000509 : Monkhams,"10,422","8,219","1,405",312
E05000510 : Newbury,"16,760","3,814","10,092","1,647"
E05000511 : Roding,"12,044","7,564","2,232","1,263"
E05000512 : Seven Kings,"15,164","3,527","8,766","1,663"
E05000513 : Snaresbrook,"11,865","8,282","2,370",495
E05000514 : Valentines,"14,123","3,163","8,786","1,209"
E05000515 : Wanstead,"11,543","8,076","1,924",739
E05000516 : Barnes,"10,299","8,828",660,158
E05000517 : East Sheen,"10,348","9,387",416,72
E05000518 : Fulwell and Hampton Hill,"10,131","9,129",474,108
"E05000519 : Ham, Petersham and Richmond Riverside","10,317","8,678",760,218
E05000520 : Hampton,"9,985","8,856",633,104
E05000521 : Hampton North,"9,387","7,858",846,216
E05000522 : Hampton Wick,"10,221","9,054",515,160
E05000523 : Heathfield,"10,313","7,174","2,174",387
E05000524 : Kew,"11,436","9,687",928,156
E05000525 : Mortlake and Barnes Common,"10,919","9,643",466,160
E05000526 : North Richmond,"10,649","8,981",827,189
E05000527 : St Margarets and North Twickenham,"11,172","9,796",689,105
E05000528 : South Richmond,"10,820","9,399",647,108
E05000529 : South Twickenham,"9,987","9,021",419,99
E05000530 : Teddington,"10,330","9,412",421,85
E05000531 : Twickenham Riverside,"10,396","9,323",534,97
E05000532 : West Twickenham,"10,528","8,844",895,186
E05000533 : Whitton,"9,752","7,655","1,303",208
E05000555 : Beddington North,"10,309","7,885","1,153",816
E05000556 : Beddington South,"10,667","7,593","1,673",785
E05000557 : Belmont,"10,048","7,820","1,333",404
E05000558 : Carshalton Central,"10,039","8,666",615,295
E05000559 : Carshalton South and Clockhouse,"9,715","8,096",846,400
E05000560 : Cheam,"10,285","8,108","1,511",216
E05000561 : Nonsuch,"10,641","9,011","1,082",156
E05000562 : St Helier,"11,949","8,898","1,529",853
E05000563 : Stonecot,"10,712","8,469","1,484",357
E05000564 : Sutton Central,"10,993","8,348","1,355",666
E05000565 : Sutton North,"10,355","8,085","1,257",493
E05000566 : Sutton South,"9,599","7,254","1,293",412
E05000567 : Sutton West,"10,536","8,116","1,493",363
E05000568 : The Wrythe,"10,163","8,443",718,540
E05000569 : Wallington North,"10,650","8,562","1,005",528
E05000570 : Wallington South,"10,200","8,028","1,073",563
E05000571 : Wandle Valley,"11,630","8,743","1,162","1,043"
E05000572 : Worcester Park,"11,655","9,324","1,453",230
E05000590 : Cann Hall,"13,799","5,933","2,884","3,606"
E05000591 : Cathall,"12,700","4,948","3,227","3,201"
E05000592 : Chapel End,"14,086","7,257","2,638","2,680"
E05000593 : Chingford Green,"10,287","8,773",428,535
E05000594 : Endlebury,"10,730","8,325",811,883
E05000595 : Forest,"12,609","5,203","4,414","1,929"
E05000596 : Grove Green,"14,604","6,841","3,936","2,316"
E05000597 : Hale End and Highams Park,"11,355","7,598","1,360","1,427"
E05000598 : Hatch Lane,"11,058","8,599",740,958
E05000599 : High Street,"14,127","6,960","3,590","2,092"
E05000600 : Higham Hill,"13,194","6,348","2,628","2,928"
E05000601 : Hoe Street,"13,912","6,968","3,178","2,270"
E05000602 : Larkswood,"11,337","7,805","1,190","1,383"
E05000603 : Lea Bridge,"15,671","5,524","4,748","3,767"
E05000604 : Leyton,"14,184","5,176","3,730","3,861"
E05000605 : Leytonstone,"12,879","6,751","3,178","1,708"
E05000606 : Markhouse,"13,636","5,705","4,251","2,324"
E05000607 : Valley,"11,444","7,055","1,427","1,980"
E05000608 : William Morris,"13,269","6,400","3,354","2,190"
E05000609 : Wood Street,"13,368","6,630","2,677","2,753"
E05002271 : Ascot,"5,753","5,198",283,44
E05002272 : Binfield with Warfield,"8,689","8,011",289,199
E05002273 : Bullbrook,"5,929","5,208",400,144
E05002274 : Central Sandhurst,"5,017","4,633",224,39
E05002275 : College Town,"6,300","5,312",744,89
E05002276 : Crown Wood,"7,736","7,079",351,134
E05002277 : Crowthorne,"5,253","4,814",197,146
E05002278 : Great Hollands North,"5,721","5,150",263,168
E05002279 : Great Hollands South,"5,073","4,497",267,195
E05002280 : Hanworth,"8,059","7,436",253,177
E05002281 : Harmans Water,"7,962","7,056",478,195
E05002282 : Little Sandhurst and Wellington,"5,857","5,554",158,42
E05002283 : Old Bracknell,"5,611","4,993",265,186
E05002284 : Owlsmoor,"5,116","4,675",286,39
E05002285 : Priestwood and Garth,"7,603","6,978",299,163
E05002286 : Warfield Harvest Ride,"8,123","7,352",491,77
E05002287 : Wildridings and Central,"4,611","4,078",294,125
E05002288 : Winkfield and Cranbourne,"4,792","4,530",122,27
E05002420 : Brunswick and Adelaide,"10,115","8,990",386,132
E05002421 : Central Hove,"9,302","8,243",343,147
E05002422 : East Brighton,"14,083","12,526",571,268
E05002423 : Goldsmid,"15,689","13,839",649,221
E05002424 : Hangleton and Knoll,"14,744","12,943",639,261
E05002425 : Hanover and Elm Grove,"16,006","14,355",564,247
E05002426 : Hollingdean and Stanmer,"15,681","13,353","1,050",413
E05002427 : Moulsecoomb and Bevendean,"17,472","15,068",937,537
E05002428 : North Portslade,"10,035","9,407",227,114
E05002429 : Patcham,"14,277","13,354",306,137
E05002430 : Preston Park,"14,911","13,565",500,144
E05002431 : Queen's Park,"15,024","13,162",778,259
E05002432 : Regency,"9,957","8,734",463,143
E05002433 : Rottingdean Coastal,"13,651","12,320",604,143
E05002434 : St. Peter's and North Laine,"18,309","15,805",989,308
E05002435 : South Portslade,"9,552","8,700",289,122
E05002436 : Hove Park,"10,602","9,371",526,97
E05002437 : Westbourne,"10,066","8,944",379,146
E05002438 : Wish,"9,648","8,549",372,117
E05002439 : Withdean,"14,452","13,110",478,164
E05002440 : Woodingdean,"9,793","9,174",228,68
E05008479 : Arreton and Newchurch,"3,610","3,557",16,4
E05008480 : Binstead and Fishbourne,"3,185","3,108",29,9
"E05008481 : Brading, St Helens and Bembridge","6,935","6,823",46,5
E05008482 : Carisbrooke,"3,547","3,487",22,1
E05008483 : Central Wight,"3,333","3,308",12,1
"E05008484 : Chale, Niton and Whitwell","2,721","2,696",5,0
E05008485 : Cowes Medina,"4,477","4,380",41,2
E05008486 : Cowes North,"2,849","2,705",72,0
E05008487 : Cowes South and Northwood,"3,427","3,349",22,2
E05008488 : Cowes West and Gurnard,"3,645","3,534",54,6
E05008489 : East Cowes,"3,956","3,890",23,2
E05008490 : Freshwater North,"2,466","2,437",6,3
E05008491 : Freshwater South,"2,903","2,850",18,2
E05008492 : Godshill and Wroxall,"3,212","3,162",11,3
"E05008493 : Havenstreet, Ashey and Haylands","3,613","3,538",28,9
E05008494 : Lake North,"3,871","3,801",30,3
E05008495 : Lake South,"3,189","3,127",11,0
E05008496 : Nettlestone and Seaview,"2,549","2,483",33,6
E05008497 : Newport Central,"3,927","3,758",102,14
E05008498 : Newport East,"2,976","2,889",49,3
E05008499 : Newport North,"3,568","3,515",27,8
E05008500 : Newport South,"3,835","3,720",39,5
E05008501 : Newport West,"2,923","2,873",33,0
E05008502 : Parkhurst,"5,047","4,641",139,146
E05008503 : Ryde East,"3,651","3,553",23,4
E05008504 : Ryde North East,"3,612","3,475",61,10
E05008505 : Ryde North West,"3,342","3,200",72,8
E05008506 : Ryde South,"4,450","4,221",70,7
E05008507 : Ryde West,"3,637","3,545",34,5
E05008508 : Sandown North,"3,131","3,047",30,1
E05008509 : Sandown South,"4,054","3,915",74,4
E05008510 : Shanklin Central,"3,940","3,839",35,2
E05008511 : Shanklin South,"3,189","3,098",33,4
E05008512 : Totland,"2,927","2,847",53,3
E05008513 : Ventnor East,"3,052","2,916",48,4
E05008514 : Ventnor West,"2,924","2,890",3,2
E05008515 : West Wight,"3,297","3,252",14,2
E05008516 : Whippingham and Osborne,"3,818","3,716",52,1
E05008517 : Wootton Bridge,"3,477","3,400",44,12
E05002249 : Chatham Central,"16,413","13,121","1,806",809
E05002250 : Cuxton and Halling,"5,448","5,258",70,29
E05002251 : Gillingham North,"17,854","15,001","1,181",944
E05002252 : Gillingham South,"16,594","13,421","1,836",643
E05002253 : Hempstead and Wigmore,"8,003","7,288",514,52
E05002254 : Lordswood and Capstone,"9,079","8,654",151,131
E05002255 : Luton and Wayfield,"14,379","12,580",568,701
E05002256 : Peninsula,"13,656","13,215",194,112
E05002257 : Princes Park,"10,433","9,650",251,326
E05002258 : Rainham Central,"12,252","11,572",372,92
E05002259 : Rainham North,"8,563","8,067",197,86
E05002260 : Rainham South,"13,273","12,642",322,116
E05002261 : River,"9,712","7,912",941,437
E05002262 : Rochester East,"10,351","9,095",699,200
E05002263 : Rochester South and Horsted,"12,678","11,031","1,127",221
E05002264 : Rochester West,"10,779","9,539",460,324
E05002265 : Strood North,"13,766","12,235",954,272
E05002266 : Strood Rural,"13,805","12,976",440,178
E05002267 : Strood South,"15,076","13,858",367,480
E05002268 : Twydall,"13,048","12,326",356,103
E05002269 : Walderslade,"9,520","8,897",218,234
E05002270 : Watling,"9,243","8,241",591,173
E05002397 : Bletchley and Fenny Stratford,"13,581","11,118","1,239",623
E05002398 : Bradwell,"12,938","9,443","1,363","1,445"
E05002399 : Campbell Park,"16,859","9,996","3,207","2,764"
E05002400 : Danesborough,"4,672","4,445",75,38
E05002401 : Denbigh,"8,062","6,822",457,481
E05002402 : Eaton Manor,"8,563","6,960",690,650
E05002403 : Emerson Valley,"17,896","13,673","2,093","1,259"
E05002404 : Furzton,"9,148","7,042","1,116",634
E05002405 : Hanslope Park,"5,132","4,782",112,119
E05002406 : Linford North,"8,397","7,292",524,306
E05002407 : Linford South,"9,672","7,352","1,220",757
E05002408 : Loughton Park,"18,108","13,532","2,402","1,168"
E05002409 : Middleton,"15,775","11,820","1,628","1,616"
E05002410 : Newport Pagnell North,"7,392","7,068",133,78
E05002411 : Newport Pagnell South,"7,726","7,313",189,64
E05002412 : Olney,"8,735","8,461",107,65
E05002413 : Sherington,"4,102","3,961",52,41
E05002414 : Stantonbury,"9,469","7,467",796,802
E05002415 : Stony Stratford,"12,148","10,387",945,420
E05002416 : Walton Park,"14,559","11,764","1,177",956
E05002417 : Whaddon,"8,462","7,429",384,358
E05002418 : Wolverton,"15,601","12,432","1,738",852
E05002419 : Woughton,"11,824","8,535","1,135","1,635"
E05002441 : Baffins,"15,121","14,317",341,134
E05002442 : Central Southsea,"16,660","13,955","1,433",457
E05002443 : Charles Dickens,"18,642","15,198","1,740",648
E05002444 : Copnor,"13,608","12,592",607,106
E05002445 : Cosham,"13,830","12,878",568,122
E05002446 : Drayton and Farlington,"13,054","12,514",288,38
E05002447 : Eastney and Craneswater,"13,591","11,919",674,258
E05002448 : Fratton,"15,314","13,170","1,078",404
E05002449 : Hilsea,"13,552","12,287",679,230
E05002450 : Milton,"14,111","12,799",645,237
E05002451 : Nelson,"14,250","12,820",763,247
E05002452 : Paulsgrove,"14,010","13,241",369,125
E05002453 : St Jude,"12,679","10,870",962,263
E05002454 : St Thomas,"16,634","12,622","2,327",508
E05002319 : Abbey,"12,629","7,648","3,144",983
E05002320 : Battle,"10,842","6,853","2,057","1,326"
E05002321 : Caversham,"9,533","8,021",712,363
E05002322 : Church,"10,566","7,796","1,388",759
E05002323 : Katesgrove,"9,893","6,310","2,261",748
E05002324 : Kentwood,"9,634","8,014",651,548
E05002325 : Mapledurham,"3,005","2,823",88,15
E05002326 : Minster,"10,141","7,049","1,549","1,025"
E05002327 : Norcot,"10,006","7,716",855,897
E05002328 : Park,"11,102","6,619","3,230",754
E05002329 : Peppard,"9,495","8,415",625,153
E05002330 : Redlands,"9,988","6,916","1,723",802
E05002331 : Southcote,"8,548","6,818",727,615
E05002332 : Thames,"9,701","8,824",499,106
E05002333 : Tilehurst,"9,155","8,112",419,346
E05002334 : Whitley,"11,460","8,453","1,233","1,030"
E05002335 : Baylis and Stoke,"11,450","2,945","7,123",842
E05002336 : Britwell,"9,376","6,510","1,234","1,055"
E05002337 : Central,"12,364","3,393","7,189","1,107"
E05002338 : Chalvey,"12,117","3,934","5,796","1,704"
E05002339 : Cippenham Green,"9,447","6,067","2,293",552
E05002340 : Cippenham Meadows,"12,116","5,735","4,474","1,103"
E05002341 : Colnbrook with Poyle,"6,157","3,622","1,737",420
E05002342 : Farnham,"10,334","4,019","4,652",992
E05002343 : Foxborough,"8,501","4,305","2,709",901
E05002344 : Haymill,"10,357","6,583","2,171","1,035"
E05002345 : Kedermister,"9,504","4,600","3,640",661
E05002346 : Langley St Mary's,"8,079","4,312","2,855",444
E05002347 : Upton,"9,386","3,697","4,517",573
E05002348 : Wexham Lea,"11,017","4,331","5,307",726
E05002455 : Bargate,"18,762","14,445","2,254",786
E05002456 : Bassett,"14,532","11,400","2,169",307
E05002457 : Bevois,"16,844","10,082","4,746","1,029"
E05002458 : Bitterne,"13,800","13,045",252,148
E05002459 : Bitterne Park,"14,026","12,718",666,236
E05002460 : Coxford,"14,046","12,718",782,189
E05002461 : Freemantle,"15,937","13,367","1,468",443
E05002462 : Harefield,"14,035","13,120",415,166
E05002463 : Millbrook,"15,382","13,800",841,297
E05002464 : Peartree,"14,203","13,310",392,163
E05002465 : Portswood,"14,831","12,121","1,723",285
E05002466 : Redbridge,"14,490","13,673",357,190
E05002467 : Shirley,"14,425","12,241","1,468",261
E05002468 : Sholing,"14,053","13,463",173,119
E05002469 : Swaythling,"13,664","10,844","2,007",291
E05002470 : Woolston,"13,852","13,181",179,157
E05002289 : Aldermaston,"2,851","2,755",39,13
E05002290 : Basildon,"3,103","3,000",36,13
E05002291 : Birch Copse,"7,789","7,173",249,143
E05002292 : Bucklebury,"6,730","6,521",92,21
E05002293 : Burghfield,"5,955","5,713",100,36
E05002294 : Calcot,"8,785","7,696",527,284
E05002295 : Chieveley,"2,890","2,742",73,24
E05002296 : Clay Hill,"6,827","6,333",284,88
E05002297 : Cold Ash,"3,458","3,333",48,26
E05002298 : Compton,"3,164","3,087",36,4
E05002299 : Downlands,"3,115","3,043",29,2
E05002300 : Falkland,"6,361","6,103",123,18
E05002301 : Greenham,"5,682","5,377",156,42
E05002302 : Hungerford,"5,767","5,631",63,13
E05002303 : Kintbury,"5,034","4,921",39,11
E05002304 : Lambourn Valley,"5,575","5,442",68,14
E05002305 : Mortimer,"5,732","5,430",150,54
E05002306 : Northcroft,"5,354","5,070",162,60
E05002307 : Pangbourne,"2,978","2,855",46,15
E05002308 : Purley on Thames,"6,548","6,076",211,98
E05002309 : St Johns,"5,799","5,505",141,40
E05002310 : Speen,"5,662","5,489",75,13
E05002311 : Sulhamstead,"2,953","2,862",34,17
E05002312 : Thatcham Central,"6,033","5,784",91,45
E05002313 : Thatcham North,"5,870","5,628",118,43
E05002314 : Thatcham South and Crookham,"6,974","6,564",198,69
E05002315 : Thatcham West,"6,390","6,176",64,58
E05002316 : Theale,"2,835","2,665",81,25
E05002317 : Victoria,"4,852","4,279",418,53
E05002318 : Westwood,"2,756","2,601",57,34
E05002349 : Ascot and Cheapside,"5,702","5,093",350,101
E05002350 : Belmont,"8,315","6,793","1,155",113
E05002351 : Bisham and Cookham,"6,878","6,605",153,22
E05002352 : Boyn Hill,"7,798","5,876","1,511",136
E05002353 : Bray,"7,483","6,532",693,77
E05002354 : Castle Without,"6,952","6,198",426,97
E05002355 : Clewer East,"5,450","4,754",370,102
E05002356 : Clewer North,"7,728","6,812",582,83
E05002357 : Clewer South,"5,341","4,652",333,185
E05002358 : Cox Green,"7,505","6,640",572,99
E05002359 : Datchet,"4,913","3,984",674,64
E05002360 : Eton and Castle,"2,748","2,448",156,38
E05002361 : Eton Wick,"2,260","2,107",77,16
E05002362 : Furze Platt,"7,393","6,078","1,042",44
E05002363 : Horton and Wraysbury,"5,063","4,022",813,52
E05002364 : Hurley and Walthams,"6,129","5,765",167,40
E05002365 : Maidenhead Riverside,"7,713","5,927","1,420",75
E05002366 : Old Windsor,"4,977","4,516",284,33
E05002367 : Oldfield,"9,141","7,417","1,300",124
E05002368 : Park,"5,290","4,446",566,79
E05002369 : Pinkneys Green,"7,392","6,709",444,43
E05002370 : Sunningdale,"5,347","4,760",396,35
E05002371 : Sunninghill and South Ascot,"7,042","6,371",364,67
E05002372 : Arborfield,"2,860","2,632",128,28
E05002373 : Barkham,"3,603","3,399",103,34
E05002374 : Bulmershe and Whitegates,"8,452","6,045","1,810",252
E05002375 : Charvil,"3,042","2,778",169,21
E05002376 : Coronation,"5,654","5,172",333,44
E05002377 : Emmbrook,"8,051","7,558",295,46
E05002378 : Evendons,"8,691","8,104",385,38
E05002379 : Finchampstead North,"5,463","5,172",131,29
E05002380 : Finchampstead South,"5,514","5,191",171,32
E05002381 : Hawkedon,"9,385","7,376","1,393",208
E05002382 : Hillside,"8,386","6,639","1,160",241
E05002383 : Hurst,"2,886","2,745",68,16
E05002384 : Loddon,"9,006","8,022",592,134
E05002385 : Maiden Erlegh,"8,895","7,037","1,331",199
E05002386 : Norreys,"8,653","8,079",279,73
"E05002387 : Remenham, Wargrave and Ruscombe","5,421","5,237",82,15
E05002388 : Shinfield North,"3,490","2,623",497,164
E05002389 : Shinfield South,"6,780","6,126",336,106
E05002390 : Sonning,"3,229","2,785",307,41
E05002391 : South Lake,"5,424","4,805",384,105
E05002392 : Swallowfield,"2,978","2,804",76,21
E05002393 : Twyford,"5,791","5,502",155,18
E05002394 : Wescott,"5,295","4,976",202,28
E05002395 : Winnersh,"9,407","8,199",767,141
E05002396 : Wokingham Without,"8,024","7,519",284,59
E05002594 : Aston Clinton,"9,641","9,239",212,48
E05002595 : Aylesbury Central,"3,821","2,987",514,163
E05002596 : Bedgrove,"8,804","7,995",516,109
E05002597 : Bierton,"1,705","1,625",29,9
E05002598 : Brill,"2,578","2,495",35,6
E05002599 : Buckingham North,"6,469","5,832",284,186
E05002600 : Buckingham South,"5,574","5,145",193,115
E05002601 : Cheddington,"3,023","2,942",32,8
E05002602 : Coldharbour,"9,398","8,019",773,295
E05002603 : Edlesborough,"2,847","2,749",49,6
E05002604 : Elmhurst and Watermead,"9,168","6,736","1,688",303
E05002605 : Gatehouse,"6,187","4,763",845,263
E05002606 : Great Brickhill,"3,042","2,959",40,6
E05002607 : Great Horwood,"3,074","2,971",33,26
E05002608 : Grendon Underwood,"3,172","2,967",70,68
E05002609 : Haddenham,"8,105","7,813",122,31
E05002610 : Long Crendon,"5,259","5,147",28,10
E05002611 : Luffield Abbey,"3,049","2,924",34,47
E05002612 : Mandeville and Elm Farm,"8,726","7,391",710,306
E05002613 : Marsh Gibbon,"3,412","3,315",37,12
E05002614 : Newton Longville,"2,457","2,361",33,21
E05002615 : Oakfield,"5,896","4,953",463,236
E05002616 : Pitstone,"3,674","3,606",22,6
E05002617 : Quainton,"2,551","2,507",14,8
E05002618 : Quarrendon,"5,478","4,240",688,282
E05002619 : Southcourt,"6,912","4,957","1,331",252
E05002620 : Steeple Claydon,"2,769","2,716",11,9
E05002621 : Stewkley,"3,011","2,943",16,15
E05002622 : Tingewick,"3,275","3,177",36,12
E05002623 : Waddesdon,"2,513","2,413",41,18
E05002624 : Walton Court and Hawkslade,"5,882","4,615",716,289
E05002625 : Weedon,"3,270","2,843",223,67
E05002626 : Wendover,"8,334","7,980",166,42
E05002627 : Wing,"2,745","2,677",29,9
E05002628 : Wingrave,"2,591","2,516",26,14
E05002629 : Winslow,"5,725","5,561",46,26
E05002630 : Amersham Common,"2,581","2,292",190,13
E05002631 : Amersham-on-the-Hill,"4,937","4,466",259,32
E05002632 : Amersham Town,"4,748","4,346",273,34
E05002633 : Asheridge Vale and Lowndes,"4,850","3,982",649,69
"E05002634 : Ashley Green, Latimer and Chenies","2,203","2,131",28,2
E05002635 : Austenwood,"2,203","2,041",103,8
"E05002636 : Ballinger, South Heath and Chartridge","2,203","2,120",47,4
E05002637 : Central,"4,344","3,971",222,29
E05002638 : Chalfont Common,"3,983","3,632",243,10
