KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001089 : Benwell and Scotswood,"12,694","11,541",664,222
E05001090 : Blakelaw,"11,507","9,664","1,379",151
E05001091 : Byker,"12,206","10,985",438,470
E05001092 : Castle,"10,069","9,031",488,47
E05001093 : Dene,"9,667","8,204","1,140",85
E05001094 : Denton,"10,500","10,234",105,53
E05001095 : East Gosforth,"10,145","9,072",661,113
E05001096 : Elswick,"13,198","7,007","4,712",717
E05001097 : Fawdon,"10,090","9,294",380,182
E05001098 : Fenham,"10,954","9,293","1,354",94
E05001099 : Kenton,"11,605","10,071",795,415
E05001100 : Lemington,"10,228","9,988",99,42
E05001101 : Newburn,"9,536","9,337",88,14
E05001102 : North Heaton,"9,574","8,562",768,65
E05001103 : North Jesmond,"10,813","9,854",592,70
E05001104 : Ouseburn,"11,352","9,110","1,552",277
E05001105 : Parklands,"9,971","8,727",854,93
E05001106 : South Heaton,"9,964","8,855",669,164
E05001107 : South Jesmond,"10,849","9,297","1,102",169
E05001108 : Walker,"11,701","10,845",269,334
E05001109 : Walkergate,"9,463","9,041",183,118
E05001110 : Westerhope,"9,196","8,988",137,13
E05001111 : Westgate,"10,059","6,548","2,225",450
E05001112 : West Gosforth,"9,991","8,604","1,021",86
E05001113 : Wingrove,"13,685","6,810","5,105",650
E05001114 : Woolsington,"11,160","10,571",327,66
E05001115 : Battle Hill,"10,717","10,537",82,37
E05001116 : Benton,"10,359","10,063",170,17
E05001117 : Camperdown,"10,332","10,114",98,32
E05001118 : Chirton,"11,925","11,487",218,59
E05001119 : Collingwood,"11,067","10,444",438,42
E05001120 : Cullercoats,"9,202","9,006",121,9
E05001121 : Howdon,"11,129","10,823",161,45
E05001122 : Killingworth,"9,746","9,381",235,27
E05001123 : Longbenton,"10,617","10,026",370,73
E05001124 : Monkseaton North,"9,200","9,001",100,6
E05001125 : Monkseaton South,"9,844","9,507",211,22
E05001126 : Northumberland,"8,186","7,861",245,13
E05001127 : Preston,"8,419","8,210",83,12
E05001128 : Riverside,"11,431","10,939",202,108
E05001129 : St Mary's,"8,242","8,076",104,13
E05001130 : Tynemouth,"10,472","10,198",104,30
E05001131 : Valley,"10,972","10,519",266,34
E05001132 : Wallsend,"10,304","9,835",240,105
E05001133 : Weetslade,"9,221","9,029",88,42
E05001134 : Whitley Bay,"9,416","8,969",279,8
E05001135 : Beacon and Bents,"9,175","7,507","1,235",80
E05001136 : Bede,"7,621","7,433",75,15
E05001137 : Biddick and All Saints,"8,678","8,332",116,56
E05001138 : Boldon Colliery,"9,227","8,979",184,13
E05001139 : Cleadon and East Boldon,"8,457","8,116",226,8
E05001140 : Cleadon Park,"6,890","6,702",72,21
E05001141 : Fellgate and Hedworth,"7,783","7,699",41,5
E05001142 : Harton,"8,409","8,234",70,13
E05001143 : Hebburn North,"8,849","8,647",88,18
E05001144 : Hebburn South,"7,643","7,503",50,16
E05001145 : Horsley Hill,"9,064","8,844",120,16
E05001146 : Monkton,"8,252","8,105",51,14
E05001147 : Primrose,"8,001","7,796",93,11
E05001148 : Simonside and Rekendyke,"8,628","7,867",363,61
E05001149 : Westoe,"8,080","7,634",250,35
E05001150 : West Park,"7,663","7,292",139,31
E05001151 : Whitburn and Marsden,"7,448","7,290",72,2
E05001152 : Whiteleas,"8,259","8,119",66,5
E05001153 : Barnes,"10,987","9,805",962,95
E05001154 : Castle,"10,968","10,788",62,27
E05001155 : Copt Hill,"11,188","11,016",62,36
E05001156 : Doxford,"9,870","9,708",79,9
E05001157 : Fulwell,"11,604","11,482",56,5
E05001158 : Hendon,"12,597","11,155","1,020",187
E05001159 : Hetton,"11,046","10,916",55,15
E05001160 : Houghton,"11,241","11,080",84,19
E05001161 : Millfield,"11,958","9,148","2,100",303
E05001162 : Pallion,"10,117","9,573",419,55
E05001163 : Redhill,"11,388","11,278",39,8
