KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05008032 : Chevington with Longhorseley,"4,771","1,248",723,"1,057"
E05008033 : Choppington,"3,790","1,166",604,638
E05008034 : College,"4,242","1,381",703,549
E05008035 : Corbridge,"3,630",673,349,"1,483"
E05008036 : Cowpen,"3,511","1,311",607,331
E05008037 : Cramlington East,"4,461","1,338",756,655
E05008038 : Cramlington Eastfield,"3,986",713,713,849
E05008039 : Cramlington North,"4,189",425,542,"1,485"
E05008040 : Cramlington South East,"3,415",821,489,687
E05008041 : Cramlington Village,"3,832",953,528,799
E05008042 : Cramlington West,"4,251","1,157",735,641
E05008043 : Croft,"3,820","1,339",629,499
E05008044 : Haltwhistle,"4,067","1,128",637,813
E05008045 : Hartley,"4,209",940,587,"1,027"
E05008046 : Haydon,"3,872",927,514,823
E05008047 : Haydon and Hadrian,"3,719",789,485,"1,106"
E05008048 : Hexham Central with Acomb,"3,648",859,492,"1,044"
E05008049 : Hexham East,"3,538",856,398,"1,147"
E05008050 : Hexham West,"3,723",450,324,"1,783"
E05008051 : Hirst,"4,383","1,502",780,528
E05008052 : Holywell,"4,303","1,071",639,912
E05008053 : Humshaugh,"3,850",721,454,"1,401"
E05008054 : Isabella,"3,789","1,348",636,380
E05008055 : Kitty Brewster,"4,342","1,381",750,594
E05008056 : Lesbury,"4,426",919,493,"1,401"
E05008057 : Longhoughton,"3,644",621,414,"1,232"
E05008058 : Lynemouth,"4,025","1,023",557,832
E05008059 : Morpeth Kirkhill,"4,340",803,419,"1,707"
E05008060 : Morpeth North,"3,832",847,295,"1,631"
E05008061 : Morpeth Stobhill,"3,430",713,376,"1,132"
E05008062 : Newbiggin Central and East,"3,907","1,371",576,627
E05008063 : Newsham,"3,703","1,043",678,469
E05008064 : Norham and Islandshires,"3,810",866,476,"1,116"
E05008065 : Pegswood,"3,140",730,415,794
E05008066 : Plessey,"3,327",805,541,589
E05008067 : Ponteland East,"3,873",626,421,"1,609"
E05008068 : Ponteland North,"3,701",677,421,"1,323"
E05008069 : Ponteland South with Heddon,"3,611",458,340,"1,637"
