KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05000072 : Cray Meadows,"8,908","2,240","1,438","1,977"
E05000073 : Danson Park,"8,854","2,032","1,471","1,912"
E05000074 : East Wickham,"8,804","2,324","1,560","1,652"
E05000075 : Erith,"9,204","2,170","1,398","2,083"
E05000076 : Falconwood and Welling,"8,736","1,927","1,588","1,708"
E05000077 : Lesnes Abbey,"8,972","2,139","1,369","2,015"
E05000078 : Longlands,"8,740","1,824","1,241","2,370"
E05000079 : North End,"8,466","2,438","1,517","1,647"
E05000080 : Northumberland Heath,"8,413","1,958","1,581","1,500"
E05000081 : St Mary's,"8,588","1,620","1,285","2,322"
E05000082 : St Michael's,"8,669","1,892","1,680","1,655"
E05000083 : Sidcup,"9,129","1,746","1,304","2,487"
E05000084 : Thamesmead East,"8,809","1,830","1,299","2,482"
E05000085 : Alperton,"11,353","2,514","1,271","2,970"
E05000086 : Barnhill,"12,479","2,264","1,240","4,329"
E05000087 : Brondesbury Park,"10,836","1,728",788,"4,873"
E05000088 : Dollis Hill,"10,060","2,452","1,200","2,522"
E05000089 : Dudden Hill,"11,987","2,375","1,188","3,800"
E05000090 : Fryent,"10,640","2,160","1,153","3,084"
E05000091 : Harlesden,"12,723","3,070","1,695","2,729"
E05000092 : Kensal Green,"11,999","2,360","1,249","4,052"
E05000093 : Kenton,"10,104","1,747",909,"4,021"
E05000094 : Kilburn,"13,829","2,359","1,286","5,522"
E05000095 : Mapesbury,"13,034","1,887","1,084","5,698"
E05000096 : Northwick Park,"10,673","1,425",957,"4,296"
E05000097 : Preston,"12,313","2,151","1,216","4,355"
E05000098 : Queens Park,"12,533","1,671",932,"6,035"
E05000099 : Queensbury,"12,111","2,591","1,371","3,728"
E05000100 : Stonebridge,"12,138","3,144","1,818","2,487"
E05000101 : Sudbury,"11,861","2,151","1,279","3,834"
E05000102 : Tokyngton,"12,323","2,394","1,290","3,928"
E05000103 : Welsh Harp,"10,817","2,448","1,313","2,668"
E05000104 : Wembley Central,"12,045","2,497","1,285","3,489"
E05000105 : Willesden Green,"12,600","2,333","1,194","4,199"
E05000106 : Bickley,"12,196","1,764","1,311","4,967"
E05000107 : Biggin Hill,"8,065","1,479","1,430","1,851"
E05000108 : Bromley Common and Keston,"11,978","2,451","1,782","3,385"
E05000109 : Bromley Town,"13,570","1,780","1,557","5,562"
E05000110 : Chelsfield and Pratts Bottom,"11,708","1,924","1,586","3,884"
E05000111 : Chislehurst,"12,164","1,920","1,432","4,626"
E05000112 : Clock House,"12,481","1,902","1,596","4,784"
E05000113 : Copers Cope,"13,365","1,613","1,441","6,015"
E05000114 : Cray Valley East,"12,019","3,348","2,081","2,354"
E05000115 : Cray Valley West,"12,807","3,656","2,243","2,389"
E05000116 : Crystal Palace,"9,900","1,670","1,165","3,772"
E05000117 : Darwin,"4,174",916,588,"1,123"
E05000118 : Farnborough and Crofton,"11,906","2,154","1,610","3,692"
E05000119 : Hayes and Coney Hall,"12,718","1,996","1,814","4,044"
E05000120 : Kelsey and Eden Park,"12,673","2,161","1,694","4,288"
E05000121 : Mottingham and Chislehurst North,"7,749","2,011","1,343","1,715"
E05000122 : Orpington,"12,377","2,761","1,835","3,350"
E05000123 : Penge and Cator,"13,722","2,326","1,796","5,009"
E05000124 : Petts Wood and Knoll,"11,147","1,695","1,454","4,008"
E05000125 : Plaistow and Sundridge,"12,154","2,263","1,546","4,139"
E05000126 : Shortlands,"8,004",965,895,"3,468"
E05000127 : West Wickham,"11,929","1,817","1,659","3,879"
E05000146 : Addiscombe,"13,729","2,105","1,602","5,220"
E05000147 : Ashburton,"11,515","2,247","1,822","3,141"
E05000148 : Bensham Manor,"12,465","2,232","1,706","3,666"
E05000149 : Broad Green,"13,847","2,799","2,000","3,726"
E05000150 : Coulsdon East,"9,895","1,805","1,479","2,995"
E05000151 : Coulsdon West,"10,745","1,620","1,426","3,755"
E05000152 : Croham,"12,909","1,543","1,474","5,432"
E05000153 : Fairfield,"13,655","1,676","1,402","6,263"
E05000154 : Fieldway,"7,908","2,721","1,403",991
E05000155 : Heathfield,"10,696","1,842","1,652","3,134"
E05000156 : Kenley,"11,859","1,732","1,556","4,284"
E05000157 : New Addington,"8,014","2,788","1,439","1,028"
E05000158 : Norbury,"13,013","2,112","1,534","4,441"
E05000159 : Purley,"11,764","1,512","1,290","4,770"
E05000160 : Sanderstead,"10,278","1,554","1,343","3,597"
E05000161 : Selhurst,"13,646","2,584","2,074","3,882"
E05000162 : Selsdon and Ballards,"9,836","1,494","1,446","3,150"
E05000163 : Shirley,"11,347","2,169","1,749","3,073"
E05000164 : South Norwood,"13,000","2,063","1,731","4,548"
E05000165 : Thornton Heath,"12,400","2,322","1,796","3,510"
E05000166 : Upper Norwood,"12,706","2,114","1,554","4,467"
E05000167 : Waddon,"13,273","2,536","1,843","3,999"
E05000168 : West Thornton,"13,108","2,352","2,020","3,576"
E05000169 : Woodside,"12,660","2,159","1,944","3,673"
E05000170 : Acton Central,"12,394","1,773","1,023","5,004"
E05000171 : Cleveland,"11,398","1,493",936,"5,265"
E05000172 : Dormers Wells,"10,795","2,533","1,326","2,630"
E05000173 : Ealing Broadway,"11,988",870,612,"6,922"
E05000174 : Ealing Common,"11,885","1,286",781,"6,248"
E05000175 : East Acton,"15,105","2,273","1,346","5,785"
E05000176 : Elthorne,"11,675","1,768","1,083","4,739"
E05000177 : Greenford Broadway,"13,493","2,950","1,692","3,479"
E05000178 : Greenford Green,"11,341","2,019","1,275","3,425"
E05000179 : Hanger Hill,"12,609","1,166",780,"6,404"
E05000180 : Hobbayne,"11,013","2,002","1,116","3,666"
E05000181 : Lady Margaret,"11,090","2,196","1,411","2,816"
E05000182 : Northfield,"10,972",960,750,"6,010"
E05000183 : North Greenford,"11,728","1,981","1,349","3,532"
E05000184 : Northolt Mandeville,"11,614","2,494","1,574","2,985"
E05000185 : Northolt West End,"11,257","2,825","1,674","2,438"
E05000186 : Norwood Green,"11,138","2,423","1,447","2,969"
E05000187 : Perivale,"12,252","2,126","1,289","3,775"
E05000188 : South Acton,"11,831","1,914","1,031","4,660"
E05000189 : Southall Broadway,"10,592","2,519","1,376","2,322"
E05000190 : Southall Green,"11,324","2,678","1,418","2,448"
E05000191 : Southfield,"11,142","1,004",630,"6,443"
E05000192 : Walpole,"10,936","1,113",673,"5,871"
E05000193 : Bowes,"11,628","1,943","1,150","4,217"
E05000194 : Bush Hill Park,"11,414","2,325","1,376","3,722"
E05000195 : Chase,"10,708","2,402","1,522","3,005"
E05000196 : Cockfosters,"11,413","2,166","1,162","3,998"
E05000197 : Edmonton Green,"12,928","3,942","1,902","2,526"
E05000198 : Enfield Highway,"11,819","3,554","1,864","2,195"
E05000199 : Enfield Lock,"11,975","3,170","1,786","2,810"
E05000200 : Grange,"10,471","1,682","1,115","4,092"
E05000201 : Haselbury,"12,129","3,302","1,761","2,599"
E05000202 : Highlands,"10,807","2,022","1,317","3,798"
E05000203 : Jubilee,"10,939","3,115","1,551","2,283"
E05000204 : Lower Edmonton,"11,993","3,419","1,681","2,398"
E05000205 : Palmers Green,"12,305","2,532","1,340","4,124"
E05000206 : Ponders End,"11,607","3,119","1,682","2,432"
E05000207 : Southbury,"10,882","2,677","1,533","2,767"
E05000208 : Southgate,"11,731","1,883","1,160","4,833"
E05000209 : Southgate Green,"11,290","1,839","1,074","4,521"
E05000210 : Town,"11,899","2,068","1,713","3,930"
E05000211 : Turkey Street,"10,709","3,236","1,653","1,916"
E05000212 : Upper Edmonton,"12,884","3,651","1,761","2,772"
E05000213 : Winchmore Hill,"10,934","1,689","1,055","4,689"
E05000214 : Abbey Wood,"11,487","2,903","1,690","2,776"
E05000215 : Blackheath Westcombe,"10,779","1,305",668,"6,195"
E05000216 : Charlton,"11,247","2,339","1,205","4,183"
E05000217 : Coldharbour and New Eltham,"10,631","2,699","1,568","2,484"
E05000218 : Eltham North,"10,189","2,036","1,352","3,237"
E05000219 : Eltham South,"10,502","2,254","1,336","2,632"
E05000220 : Eltham West,"8,112","2,500","1,164","1,717"
E05000221 : Glyndon,"14,017","2,994","1,826","4,012"
E05000222 : Greenwich West,"13,646","1,750",935,"6,803"
E05000223 : Kidbrooke with Hornfair,"11,394","2,702","1,382","3,512"
E05000224 : Middle Park and Sutcliffe,"10,543","2,684","1,381","3,119"
E05000225 : Peninsula,"11,673","1,752",927,"5,774"
E05000226 : Plumstead,"12,827","2,777","1,816","3,235"
E05000227 : Shooters Hill,"10,646","2,070","1,398","3,327"
E05000228 : Thamesmead Moorings,"14,078","2,627","1,901","4,558"
E05000229 : Woolwich Common,"12,790","2,786","1,714","3,418"
E05000230 : Woolwich Riverside,"14,602","2,904","1,633","5,138"
E05000285 : Belmont,"8,933","1,347","1,036","3,256"
E05000286 : Canons,"10,181","1,809",998,"4,156"
E05000287 : Edgware,"9,289","2,093","1,036","2,730"
E05000288 : Greenhill,"10,330","1,210",863,"4,748"
E05000289 : Harrow on the Hill,"9,716","1,292","1,000","4,061"
E05000290 : Harrow Weald,"9,130","1,770","1,087","2,946"
E05000291 : Hatch End,"8,695","1,342",899,"3,633"
E05000292 : Headstone North,"8,258","1,063",788,"3,601"
E05000293 : Headstone South,"8,867","1,164",818,"3,815"
E05000294 : Kenton East,"9,051","2,114","1,080","2,499"
E05000295 : Kenton West,"9,172","1,646","1,080","3,126"
E05000296 : Marlborough,"9,722","1,666","1,072","3,449"
E05000297 : Pinner,"8,210","1,203",714,"3,639"
E05000298 : Pinner South,"8,208",933,733,"3,897"
E05000299 : Queensbury,"9,444","1,961","1,102","2,876"
E05000300 : Rayners Lane,"8,829","1,210",961,"3,346"
E05000301 : Roxbourne,"9,691","1,856","1,288","2,831"
E05000302 : Roxeth,"8,999","1,556","1,178","2,598"
E05000303 : Stanmore Park,"9,281","1,827","1,036","3,272"
E05000304 : Wealdstone,"8,725","1,827","1,184","2,371"
E05000305 : West Harrow,"8,267","1,108",899,"3,368"
E05000306 : Brooklands,"11,806","2,943","1,866","2,515"
E05000307 : Cranham,"10,369","2,299","1,641","2,413"
E05000308 : Elm Park,"10,232","3,026","1,715","1,684"
E05000309 : Emerson Park,"10,024","2,314","1,577","2,440"
E05000310 : Gooshays,"11,278","3,858","2,025","1,494"
E05000311 : Hacton,"10,228","2,588","1,717","1,827"
E05000312 : Harold Wood,"10,443","2,695","1,735","2,156"
E05000313 : Havering Park,"10,235","3,109","1,883","1,566"
E05000314 : Heaton,"9,814","3,509","1,645","1,343"
E05000315 : Hylands,"10,668","2,533","1,807","2,049"
E05000316 : Mawneys,"10,407","3,082","1,823","1,700"
E05000317 : Pettits,"10,750","2,766","1,829","2,137"
E05000318 : Rainham and Wennington,"10,111","3,011","1,817","1,504"
E05000319 : Romford Town,"13,107","2,747","2,063","3,446"
E05000320 : St Andrew's,"11,147","2,916","1,891","2,105"
E05000321 : South Hornchurch,"10,695","3,363","1,839","1,500"
E05000322 : Squirrel's Heath,"10,850","2,167","1,751","2,639"
E05000323 : Upminster,"10,680","2,025","1,617","2,980"
E05000324 : Barnhill,"10,178","2,282","1,582","2,279"
E05000325 : Botwell,"11,281","2,709","1,762","2,409"
E05000326 : Brunel,"11,692","2,052","1,401","2,758"
E05000327 : Cavendish,"9,254","1,589","1,358","2,768"
E05000328 : Charville,"9,744","2,107","1,647","2,053"
E05000329 : Eastcote and East Ruislip,"9,983","1,355","1,209","3,801"
E05000330 : Harefield,"5,975","1,424",941,"1,493"
E05000331 : Heathrow Villages,"9,659","1,852","1,456","2,342"
E05000332 : Hillingdon East,"9,923","1,919","1,601","2,402"
E05000333 : Ickenham,"8,451","1,237","1,044","3,045"
E05000334 : Manor,"9,126","1,554","1,302","2,700"
E05000335 : Northwood,"8,812","1,172",773,"4,092"
E05000336 : Northwood Hills,"9,394","1,556","1,064","3,484"
E05000337 : Pinkwell,"10,878","2,394","1,677","2,475"
E05000338 : South Ruislip,"9,867","1,801","1,509","2,693"
E05000339 : Townfield,"10,834","2,679","1,619","2,408"
E05000340 : Uxbridge North,"9,893","1,659","1,190","3,455"
E05000341 : Uxbridge South,"12,125","1,708","1,187","3,624"
E05000342 : West Drayton,"11,100","2,702","1,730","2,666"
E05000343 : West Ruislip,"8,716","1,420","1,129","2,957"
E05000344 : Yeading,"10,079","1,992","1,491","2,624"
E05000345 : Yiewsley,"10,079","2,385","1,664","2,326"
E05000346 : Bedfont,"9,877","2,371","1,707","1,992"
E05000347 : Brentford,"11,782","2,025","1,203","4,160"
E05000348 : Chiswick Homefields,"9,266",858,582,"5,161"
E05000349 : Chiswick Riverside,"9,378",867,625,"5,256"
E05000350 : Cranford,"9,694","1,954","1,259","2,536"
E05000351 : Feltham North,"9,254","2,412","1,439","1,950"
E05000352 : Feltham West,"11,657","2,395","1,963","2,920"
E05000353 : Hanworth,"9,213","2,428","1,473","1,767"
E05000354 : Hanworth Park,"9,073","2,119","1,395","2,013"
E05000355 : Heston Central,"9,727","1,683","1,156","3,115"
E05000356 : Heston East,"9,808","1,583","1,155","3,277"
E05000357 : Heston West,"9,581","2,087","1,333","2,336"
E05000358 : Hounslow Central,"12,358","1,582","1,092","5,293"
E05000359 : Hounslow Heath,"11,323","1,781","1,289","3,922"
E05000360 : Hounslow South,"9,205","1,449","1,132","3,025"
E05000361 : Hounslow West,"10,450","1,708","1,150","3,501"
E05000362 : Isleworth,"9,423","1,872","1,098","3,182"
E05000363 : Osterley and Spring Grove,"10,662","1,149",949,"4,894"
E05000364 : Syon,"10,960","1,802","1,170","4,259"
E05000365 : Turnham Green,"9,733",959,597,"5,396"
E05000400 : Alexandra,"7,317","1,154",898,"2,394"
E05000401 : Berrylands,"7,840",935,578,"3,797"
E05000402 : Beverley,"8,020","1,222",716,"3,343"
E05000403 : Canbury,"9,688",871,667,"5,270"
E05000404 : Chessington North and Hook,"6,939","1,523","1,121","1,585"
E05000405 : Chessington South,"8,116","1,550","1,335","2,054"
E05000406 : Coombe Hill,"8,408",897,600,"3,743"
E05000407 : Coombe Vale,"7,679",901,651,"3,641"
E05000408 : Grove,"9,546",808,578,"4,485"
E05000409 : Norbiton,"8,210","1,451",844,"2,936"
E05000410 : Old Malden,"7,557","1,187",994,"2,601"
E05000411 : St James,"7,234","1,152",730,"2,747"
E05000412 : St Mark's,"9,322",629,562,"4,504"
E05000413 : Surbiton Hill,"8,712",933,660,"4,552"
E05000414 : Tolworth and Hook Rise,"7,821","1,438","1,098","2,347"
E05000415 : Tudor,"7,381",749,633,"3,783"
E05000455 : Abbey,"8,699",877,565,"4,822"
E05000456 : Cannon Hill,"7,609","1,296",849,"2,680"
E05000457 : Colliers Wood,"9,192","1,218",788,"3,959"
E05000458 : Cricket Green,"8,799","2,155","1,284","2,050"
E05000459 : Dundonald,"7,746",603,382,"4,701"
E05000460 : Figge's Marsh,"8,642","1,818","1,191","2,188"
E05000461 : Graveney,"8,025","1,271",841,"2,576"
E05000462 : Hillside,"7,736",492,324,"5,001"
E05000463 : Lavender Fields,"8,187","1,483",906,"2,672"
E05000464 : Longthornton,"7,855","1,504","1,039","2,160"
E05000465 : Lower Morden,"7,346","1,535","1,124","1,803"
E05000466 : Merton Park,"7,635",879,566,"3,822"
E05000467 : Pollards Hill,"7,806","1,695","1,137","1,825"
E05000468 : Ravensbury,"7,850","1,860","1,060","1,967"
E05000469 : Raynes Park,"7,871",765,562,"4,272"
E05000470 : St Helier,"8,165","1,936","1,234","1,910"
E05000471 : Trinity,"8,139",750,474,"4,851"
E05000472 : Village,"6,869",467,357,"4,282"
E05000473 : West Barnes,"7,846","1,087",736,"3,290"
E05000474 : Wimbledon Park,"8,823",687,481,"5,260"
E05000495 : Aldborough,"11,198","2,197","1,415","3,587"
E05000496 : Barkingside,"10,052","1,733","1,172","3,534"
E05000497 : Bridge,"9,323","1,856","1,345","2,785"
E05000498 : Chadwell,"10,740","1,985","1,584","3,063"
E05000499 : Church End,"9,416","1,160",966,"4,360"
E05000500 : Clayhall,"10,341","1,753","1,222","3,521"
E05000501 : Clementswood,"10,759","1,997","1,215","3,488"
E05000502 : Cranbrook,"10,157","1,788","1,072","3,781"
E05000503 : Fairlop,"9,997","2,119","1,555","2,547"
E05000504 : Fullwell,"10,128","2,366","1,384","2,684"
E05000505 : Goodmayes,"9,921","1,791","1,262","3,111"
E05000506 : Hainault,"9,968","2,885","1,583","2,031"
E05000507 : Loxford,"11,742","2,361","1,504","3,656"
E05000508 : Mayfield,"10,355","2,123","1,279","3,094"
E05000509 : Monkhams,"8,653","1,299",951,"3,598"
E05000510 : Newbury,"12,495","2,177","1,462","4,173"
E05000511 : Roding,"9,304","1,483","1,159","3,445"
E05000512 : Seven Kings,"11,492","2,117","1,349","3,639"
E05000513 : Snaresbrook,"10,036","1,495",840,"5,026"
E05000514 : Valentines,"10,729","1,781","1,190","3,957"
E05000515 : Wanstead,"9,306","1,411",928,"4,219"
E05000516 : Barnes,"8,198",744,471,"4,712"
E05000517 : East Sheen,"7,978",523,442,"4,916"
E05000518 : Fulwell and Hampton Hill,"7,990",866,565,"4,218"
"E05000519 : Ham, Petersham and Richmond Riverside","8,344","1,175",712,"3,842"
E05000520 : Hampton,"8,054","1,009",762,"3,802"
E05000521 : Hampton North,"7,580","1,334",866,"2,754"
E05000522 : Hampton Wick,"8,132",810,536,"4,359"
E05000523 : Heathfield,"8,233","1,682","1,060","2,454"
E05000524 : Kew,"9,131",682,514,"5,665"
E05000525 : Mortlake and Barnes Common,"8,758",858,600,"5,044"
E05000526 : North Richmond,"8,662",881,510,"5,107"
E05000527 : St Margarets and North Twickenham,"8,732",572,504,"5,467"
E05000528 : South Richmond,"9,029",640,449,"5,740"
E05000529 : South Twickenham,"8,142",525,491,"4,499"
E05000530 : Teddington,"8,374",643,535,"4,897"
E05000531 : Twickenham Riverside,"8,615",536,421,"5,494"
E05000532 : West Twickenham,"8,234","1,100",783,"3,710"
E05000533 : Whitton,"7,866","1,335",854,"2,904"
E05000555 : Beddington North,"8,176","1,616","1,279","2,054"
E05000556 : Beddington South,"8,316","1,746","1,242","2,220"
E05000557 : Belmont,"8,260","1,130",921,"3,333"
E05000558 : Carshalton Central,"8,125","1,250","1,091","2,897"
E05000559 : Carshalton South and Clockhouse,"7,682","1,192",995,"2,675"
E05000560 : Cheam,"8,246","1,204",946,"3,184"
E05000561 : Nonsuch,"8,667","1,613","1,276","2,350"
E05000562 : St Helier,"9,061","2,473","1,535","1,606"
E05000563 : Stonecot,"8,507","1,744","1,447","1,917"
E05000564 : Sutton Central,"8,931","1,663","1,221","2,783"
E05000565 : Sutton North,"8,270","1,787","1,204","2,125"
E05000566 : Sutton South,"8,171","1,281",808,"3,401"
E05000567 : Sutton West,"8,632","1,169","1,089","3,336"
E05000568 : The Wrythe,"8,179","1,812","1,319","1,894"
E05000569 : Wallington North,"8,529","1,403","1,270","2,584"
E05000570 : Wallington South,"8,343","1,563","1,101","2,670"
E05000571 : Wandle Valley,"8,831","2,092","1,556","1,903"
E05000572 : Worcester Park,"9,232","1,592","1,288","2,843"
E05000590 : Cann Hall,"10,806","2,071","1,249","3,301"
E05000591 : Cathall,"9,987","1,930","1,146","2,854"
E05000592 : Chapel End,"10,689","2,001","1,355","3,135"
E05000593 : Chingford Green,"8,470","2,049","1,202","2,293"
E05000594 : Endlebury,"8,733","2,050","1,279","2,155"
E05000595 : Forest,"10,168","1,964","1,098","3,383"
E05000596 : Grove Green,"11,823","1,853","1,224","4,116"
E05000597 : Hale End and Highams Park,"8,774","1,756","1,257","2,539"
E05000598 : Hatch Lane,"8,814","2,312","1,300","2,123"
E05000599 : High Street,"11,371","2,078","1,133","4,056"
E05000600 : Higham Hill,"9,964","2,361","1,347","2,461"
E05000601 : Hoe Street,"10,980","2,088","1,194","4,000"
E05000602 : Larkswood,"9,072","2,373","1,483","1,958"
E05000603 : Lea Bridge,"11,927","2,739","1,416","3,175"
E05000604 : Leyton,"10,740","2,264","1,291","3,064"
E05000605 : Leytonstone,"10,764","1,623",973,"4,396"
E05000606 : Markhouse,"10,477","2,175","1,204","3,242"
E05000607 : Valley,"9,024","2,351","1,458","1,820"
E05000608 : William Morris,"10,295","2,096","1,108","3,460"
E05000609 : Wood Street,"10,253","2,128","1,217","3,383"
E05002271 : Ascot,"4,435",660,580,"1,556"
E05002272 : Binfield with Warfield,"6,881",753,809,"2,739"
E05002273 : Bullbrook,"4,774",937,773,"1,304"
E05002274 : Central Sandhurst,"4,061",627,642,"1,193"
E05002275 : College Town,"5,090",730,691,"1,657"
E05002276 : Crown Wood,"6,280",952,"1,081","1,733"
E05002277 : Crowthorne,"4,247",683,497,"1,647"
E05002278 : Great Hollands North,"4,335",767,827,"1,061"
E05002279 : Great Hollands South,"3,992",702,678,988
E05002280 : Hanworth,"6,489","1,183","1,126","1,686"
E05002281 : Harmans Water,"6,288","1,036","1,060","1,792"
E05002282 : Little Sandhurst and Wellington,"4,532",592,520,"1,597"
E05002283 : Old Bracknell,"4,402",814,792,"1,070"
E05002284 : Owlsmoor,"4,081",559,693,"1,152"
E05002285 : Priestwood and Garth,"6,054","1,481","1,058","1,260"
E05002286 : Warfield Harvest Ride,"6,053",450,820,"2,561"
E05002287 : Wildridings and Central,"3,764",863,593,890
E05002288 : Winkfield and Cranbourne,"3,985",850,515,"1,311"
E05002420 : Brunswick and Adelaide,"9,275",606,738,"4,864"
E05002421 : Central Hove,"8,421",997,727,"3,970"
E05002422 : East Brighton,"11,471","2,932","1,640","3,387"
E05002423 : Goldsmid,"13,483","1,606","1,177","6,628"
E05002424 : Hangleton and Knoll,"11,551","3,084","1,761","2,542"
E05002425 : Hanover and Elm Grove,"13,610","1,550","1,033","5,552"
E05002426 : Hollingdean and Stanmer,"13,134","2,421","1,450","2,785"
E05002427 : Moulsecoomb and Bevendean,"14,558","3,182","1,860","2,527"
E05002428 : North Portslade,"7,990","1,932","1,527","1,533"
E05002429 : Patcham,"11,407","2,337","1,706","3,256"
E05002430 : Preston Park,"12,141","1,101",891,"6,447"
E05002431 : Queen's Park,"13,263","2,408","1,207","5,218"
E05002432 : Regency,"9,242",637,681,"4,735"
E05002433 : Rottingdean Coastal,"11,648","1,747","1,348","4,443"
E05002434 : St. Peter's and North Laine,"16,491","1,296","1,277","7,209"
E05002435 : South Portslade,"7,537","1,729","1,244","1,859"
E05002436 : Hove Park,"8,395","1,121",929,"3,522"
E05002437 : Westbourne,"8,322","1,346",798,"3,735"
E05002438 : Wish,"7,594","1,240",833,"3,078"
E05002439 : Withdean,"11,680","1,386","1,127","5,443"
E05002440 : Woodingdean,"7,811","2,117","1,236","1,690"
E05008479 : Arreton and Newchurch,"3,105",698,462,755
E05008480 : Binstead and Fishbourne,"2,736",556,347,772
"E05008481 : Brading, St Helens and Bembridge","6,031","1,451",774,"1,559"
E05008482 : Carisbrooke,"2,896",590,444,705
E05008483 : Central Wight,"2,886",617,368,872
"E05008484 : Chale, Niton and Whitwell","2,339",513,293,682
E05008485 : Cowes Medina,"3,514",670,521,874
E05008486 : Cowes North,"2,428",377,233,915
E05008487 : Cowes South and Northwood,"2,794",583,361,682
E05008488 : Cowes West and Gurnard,"3,100",635,332,"1,047"
E05008489 : East Cowes,"3,245",749,502,725
E05008490 : Freshwater North,"2,120",623,316,439
E05008491 : Freshwater South,"2,510",640,311,612
E05008492 : Godshill and Wroxall,"2,733",706,392,536
"E05008493 : Havenstreet, Ashey and Haylands","2,955",668,450,659
E05008494 : Lake North,"3,204",991,498,495
E05008495 : Lake South,"2,775",996,374,432
E05008496 : Nettlestone and Seaview,"2,240",474,263,665
E05008497 : Newport Central,"3,196",780,528,590
E05008498 : Newport East,"2,407",817,373,323
E05008499 : Newport North,"3,079",893,408,614
E05008500 : Newport South,"3,071",783,484,630
E05008501 : Newport West,"2,244",386,363,514
E05008502 : Parkhurst,"4,311",982,823,725
E05008503 : Ryde East,"3,008",771,464,628
E05008504 : Ryde North East,"3,104",674,465,758
E05008505 : Ryde North West,"2,862",660,392,708
E05008506 : Ryde South,"3,349",813,662,500
E05008507 : Ryde West,"2,869",707,460,579
E05008508 : Sandown North,"2,588",801,413,415
E05008509 : Sandown South,"3,258",829,537,519
E05008510 : Shanklin Central,"3,320",866,528,656
E05008511 : Shanklin South,"2,770",795,380,564
E05008512 : Totland,"2,539",633,320,640
E05008513 : Ventnor East,"2,599",630,451,614
E05008514 : Ventnor West,"2,511",625,335,622
E05008515 : West Wight,"2,840",570,369,835
E05008516 : Whippingham and Osborne,"3,093",841,459,576
E05008517 : Wootton Bridge,"2,960",685,410,727
E05002249 : Chatham Central,"12,554","3,399","1,931","2,230"
E05002250 : Cuxton and Halling,"4,378",874,733,949
E05002251 : Gillingham North,"13,901","3,091","2,387","2,222"
E05002252 : Gillingham South,"12,896","2,868","2,314","2,422"
E05002253 : Hempstead and Wigmore,"6,629","1,167",962,"1,806"
E05002254 : Lordswood and Capstone,"7,269","1,706","1,354","1,223"
E05002255 : Luton and Wayfield,"11,199","3,222","1,981","1,542"
E05002256 : Peninsula,"11,139","3,063","1,864","1,810"
E05002257 : Princes Park,"8,001","1,584","1,531","1,455"
E05002258 : Rainham Central,"10,158","2,090","1,486","2,234"
E05002259 : Rainham North,"7,020","1,634","1,120","1,321"
E05002260 : Rainham South,"10,626","2,030","1,930","2,061"
E05002261 : River,"8,068","1,134","1,074","2,188"
E05002262 : Rochester East,"8,228","1,851","1,280","1,789"
E05002263 : Rochester South and Horsted,"10,299","2,373","1,610","2,099"
E05002264 : Rochester West,"8,956","1,737","1,342","2,582"
E05002265 : Strood North,"10,975","2,323","1,966","2,164"
E05002266 : Strood Rural,"10,941","2,327","1,965","2,172"
E05002267 : Strood South,"11,787","3,241","2,198","1,645"
E05002268 : Twydall,"10,428","3,150","1,922","1,343"
E05002269 : Walderslade,"7,601","1,946","1,311","1,319"
E05002270 : Watling,"7,458","1,416","1,212","1,699"
E05002397 : Bletchley and Fenny Stratford,"10,973","2,852","1,837","2,172"
E05002398 : Bradwell,"10,119","1,968","1,725","2,370"
E05002399 : Campbell Park,"13,240","2,049","2,122","3,854"
E05002400 : Danesborough,"3,812",656,476,"1,426"
E05002401 : Denbigh,"6,364","1,730","1,287",934
E05002402 : Eaton Manor,"6,249","1,914","1,182",840
E05002403 : Emerson Valley,"12,961","1,256","2,020","4,553"
E05002404 : Furzton,"6,985","1,010","1,107","2,097"
E05002405 : Hanslope Park,"4,083",594,576,"1,355"
E05002406 : Linford North,"6,963","1,307","1,010","2,021"
E05002407 : Linford South,"7,898","1,350","1,090","2,352"
E05002408 : Loughton Park,"13,796","1,749","2,020","4,903"
E05002409 : Middleton,"11,584",991,"1,638","4,643"
E05002410 : Newport Pagnell North,"6,064","1,167","1,042","1,413"
E05002411 : Newport Pagnell South,"6,306",974,989,"1,907"
E05002412 : Olney,"7,017","1,085",805,"2,804"
E05002413 : Sherington,"3,393",592,397,"1,269"
E05002414 : Stantonbury,"7,384","1,527","1,343","1,596"
E05002415 : Stony Stratford,"9,807","1,863","1,414","2,906"
E05002416 : Walton Park,"11,081","1,267","1,695","3,852"
E05002417 : Whaddon,"6,827","1,650","1,240","1,288"
E05002418 : Wolverton,"11,876","2,619","2,109","2,701"
E05002419 : Woughton,"8,647","2,680","1,670","1,335"
E05002441 : Baffins,"12,023","2,632","1,917","2,473"
E05002442 : Central Southsea,"14,677","1,703","1,201","3,819"
E05002443 : Charles Dickens,"15,154","4,773","2,037","2,028"
E05002444 : Copnor,"10,737","2,060","1,765","2,258"
