KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05001087 : Windy Nook and Whitehills,"4,375","2,384",984,"1,634",305
E05001088 : Winlaton and High Spen,"3,752","2,785","1,513",645,274
E05001089 : Benwell and Scotswood,"5,426","2,449","1,082","2,190",695
E05001090 : Blakelaw,"4,763","2,477","1,001","1,599",621
E05001091 : Byker,"5,835","1,604",665,"3,238",920
E05001092 : Castle,"4,260","3,100","1,349",648,482
E05001093 : Dene,"3,885","3,114","1,413",173,545
E05001094 : Denton,"4,574","2,763","1,293","1,401",330
E05001095 : East Gosforth,"4,375","3,017","1,455",447,838
E05001096 : Elswick,"5,116","1,327",568,"2,393","1,263"
E05001097 : Fawdon,"4,474","2,184","1,017","1,773",431
E05001098 : Fenham,"4,441","2,526","1,072","1,285",551
E05001099 : Kenton,"4,880","2,281",859,"1,999",487
E05001100 : Lemington,"4,490","2,903","1,203",994,522
E05001101 : Newburn,"4,270","2,490","1,123","1,343",382
E05001102 : North Heaton,"3,795","2,775","1,344",465,492
E05001103 : North Jesmond,"3,668","1,327",706,185,"2,086"
E05001104 : Ouseburn,"4,194",925,385,"1,610","1,571"
E05001105 : Parklands,"4,086","3,094","1,458",177,785
E05001106 : South Heaton,"4,350","1,155",397,"1,194","1,927"
E05001107 : South Jesmond,"4,086","1,340",667,570,"2,070"
E05001108 : Walker,"5,382","1,252",493,"3,682",295
E05001109 : Walkergate,"4,353","2,645","1,242","1,207",420
E05001110 : Westerhope,"4,103","3,408","1,893",417,232
E05001111 : Westgate,"4,869",736,264,"2,244","1,797"
E05001112 : West Gosforth,"4,099","3,177","1,606",318,553
E05001113 : Wingrove,"4,645","1,414",691,"1,490","1,663"
E05001114 : Woolsington,"4,734","2,472","1,012","1,808",360
E05001115 : Battle Hill,"4,758","3,270","1,374","1,081",324
E05001116 : Benton,"4,676","3,316","1,506",912,400
E05001117 : Camperdown,"4,620","2,833","1,001","1,399",346
E05001118 : Chirton,"5,405","2,412",905,"1,948",972
E05001119 : Collingwood,"4,885","3,182","1,485","1,238",419
E05001120 : Cullercoats,"4,255","3,457","1,959",455,296
E05001121 : Howdon,"5,029","2,367",801,"1,972",616
E05001122 : Killingworth,"4,187","2,987","1,118",784,364
E05001123 : Longbenton,"5,061","2,616",977,"1,896",490
E05001124 : Monkseaton North,"3,741","3,178","1,424",214,306
E05001125 : Monkseaton South,"4,313","3,220","1,508",575,461
E05001126 : Northumberland,"3,582","2,612","1,085",649,261
E05001127 : Preston,"3,892","3,032","1,458",226,599
E05001128 : Riverside,"5,839","2,125",681,"2,332","1,291"
E05001129 : St Mary's,"3,587","3,344","1,972",37,172
E05001130 : Tynemouth,"5,276","3,388","1,639",810,983
E05001131 : Valley,"4,714","2,881",885,"1,248",519
E05001132 : Wallsend,"5,217","2,893","1,033",968,"1,293"
E05001133 : Weetslade,"4,259","3,166","1,630",683,366
E05001134 : Whitley Bay,"3,999","2,857","1,170",250,822
E05001135 : Beacon and Bents,"4,316","2,197",958,"1,271",770
