KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05002821 : The Wilbrahams,"1,201",768,418,195,188
E05002822 : Waterbeach,"2,290","1,418",719,332,472
E05002823 : Whittlesford,"1,125",810,368,165,121
E05002824 : Willingham and Over,"2,750","2,127",961,324,223
E05002795 : Bourn,"3,824","2,400",680,589,556
E05002814 : Papworth and Elsworth,"1,956","1,250",470,432,191
E05004021 : Billericay East,"4,780","4,034","1,990",315,381
E05004022 : Billericay West,"5,061","4,178","2,021",384,462
E05004023 : Burstead,"4,501","3,900","2,172",307,258
E05004024 : Crouch,"3,545","2,700","1,160",386,408
E05004025 : Fryerns,"5,395","2,953","1,178","1,818",494
E05004026 : Laindon Park,"5,051","2,817","1,247","1,635",492
E05004027 : Langdon Hills,"3,602","2,823","1,092",351,354
E05004028 : Lee Chapel North,"5,453","2,523","1,009","2,237",600
E05004029 : Nethermayne,"4,923","3,196","1,446","1,110",524
E05004030 : Pitsea North West,"5,352","2,558",755,"1,792",698
E05004031 : Pitsea South East,"5,081","2,876","1,231","1,523",613
E05004032 : St Martin's,"3,618","1,807",743,"1,248",507
E05004033 : Vange,"4,078","1,698",595,"1,870",414
E05004034 : Wickford Castledon,"3,231","2,781","1,493",145,265
E05004035 : Wickford North,"5,136","4,156","2,042",479,459
E05004036 : Wickford Park,"3,939","2,972",863,376,519
E05004037 : Black Notley and Terling,"1,558","1,135",491,153,238
E05004038 : Bocking Blackwater,"3,158","2,553",983,190,384
E05004039 : Bocking North,"1,918","1,250",586,441,205
E05004040 : Bocking South,"2,421","1,220",522,861,280
"E05004041 : Bradwell, Silver End and Rivenhall","2,005","1,380",575,434,150
E05004042 : Braintree Central,"3,974","2,351","1,054",385,"1,157"
E05004043 : Braintree East,"3,049","1,687",577,891,412
E05004044 : Braintree South,"3,108","2,144",824,502,434
E05004045 : Bumpstead,"1,029",823,390,104,88
E05004046 : Coggeshall and North Feering,"2,228","1,579",787,345,261
E05004047 : Cressing and Stisted,963,675,341,184,84
E05004048 : Gosfield and Greenstead Green,"1,037",852,509,63,93
E05004049 : Great Notley and Braintree West,"2,636","2,189",757,162,253
E05004050 : Halstead St Andrew's,"3,118","2,165","1,008",415,486
E05004051 : Halstead Trinity,"2,096","1,254",538,586,235
E05004052 : Hatfield Peverel,"1,813","1,316",706,285,176
E05004053 : Hedingham and Maplestead,"2,791","2,012","1,018",353,376
E05004054 : Kelvedon,"2,111","1,537",720,284,270
E05004055 : Panfield,892,689,378,102,83
E05004056 : Rayne,898,727,338,70,90
E05004057 : Stour Valley North,952,702,399,82,150
E05004058 : Stour Valley South,921,732,434,79,85
E05004059 : The Three Colnes,"2,138","1,556",752,290,252
E05004060 : Three Fields,"1,656","1,147",560,206,250
E05004061 : Upper Colne,884,688,352,102,76
E05004062 : Witham Chipping Hill and Central,"2,169","1,322",699,431,379
E05004063 : Witham North,"1,991","1,278",477,470,224
E05004064 : Witham South,"3,820","2,419",817,717,613
E05004065 : Witham West,"2,873","1,887",756,723,226
E05004066 : Yeldham,836,603,261,145,73
E05004067 : Brentwood North,"2,762","1,885",840,399,423
E05004068 : Brentwood South,"2,643","1,475",633,633,473
E05004069 : Brentwood West,"3,188","1,987",758,472,610
E05004070 : Brizes and Doddinghurst,"2,261","1,907","1,005",200,116
"E05004071 : Herongate, Ingrave and West Horndon","1,513","1,314",734,35,144
E05004072 : Hutton Central,"1,606","1,253",712,222,111
E05004073 : Hutton East,"1,431","1,188",559,132,90
E05004074 : Hutton North,"1,762","1,273",673,303,162
E05004075 : Hutton South,"1,566","1,371",740,26,158
"E05004076 : Ingatestone, Fryerning and Mountnessing","2,588","1,962","1,167",288,279
E05004077 : Pilgrims Hatch,"2,416","1,761",901,449,153
E05004078 : Shenfield,"2,140","1,890","1,061",13,214
E05004079 : South Weald,768,642,312,21,93
E05004080 : Tipps Cross,"1,481","1,274",705,132,49
E05004081 : Warley,"2,521","1,846",834,261,377
E05004082 : Appleton,"2,657","2,359","1,194",92,180
E05004083 : Boyce,"2,563","2,270","1,156",37,219
E05004084 : Canvey Island Central,"2,749","1,963","1,004",424,323
E05004085 : Canvey Island East,"2,709","2,233","1,139",128,315
E05004086 : Canvey Island North,"3,031","2,589","1,629",86,323
E05004087 : Canvey Island South,"2,669","2,199","1,104",105,337
E05004088 : Canvey Island West,"2,134","1,571",755,95,448
E05004089 : Canvey Island Winter Gardens,"2,579","1,842",630,365,346
E05004090 : Cedar Hall,"2,500","2,199","1,293",67,196
E05004091 : St George's,"2,288","2,016","1,003",86,156
E05004092 : St James,"2,958","2,390","1,416",109,428
E05004093 : St Mary's,"2,564","2,196","1,120",110,231
E05004094 : St Peter's,"2,578","2,255","1,176",29,276
E05004095 : Victoria,"2,461","2,019","1,072",216,190
E05004096 : Bicknacre and East and West Hanningfield,"2,106","1,752",941,164,155
E05004097 : Boreham and The Leighs,"2,485","1,801",742,378,242
E05004098 : Broomfield and The Walthams,"3,296","2,425","1,227",486,309
E05004099 : Chelmer Village and Beaulieu Park,"4,476","3,351",933,486,590
E05004100 : Chelmsford Rural West,"1,127",845,460,115,132
E05004101 : Galleywood,"2,428","1,774",950,465,161
E05004102 : Goat Hall,"2,244","1,980",956,100,145
E05004103 : Great Baddow East,"3,780","2,691","1,408",641,369
E05004104 : Great Baddow West,"2,600","1,655",742,648,233
"E05004105 : Little Baddow, Danbury and Sandon","3,258","2,666","1,503",334,206
E05004106 : Marconi,"3,038","1,403",523,782,772
E05004107 : Moulsham and Central,"4,792","3,039","1,318",300,"1,319"
E05004108 : Moulsham Lodge,"2,180","1,939",962,77,135
E05004109 : Patching Hall,"3,813","2,514","1,297",838,407
E05004110 : Rettendon and Runwell,"2,053","1,765","1,022",96,156
E05004111 : St Andrews,"3,802","2,345","1,065","1,064",299
"E05004112 : South Hanningfield, Stock and Margaretting","2,296","1,839",991,218,203
E05004113 : South Woodham-Chetwood and Collingwood,"3,343","2,592",902,273,457
E05004114 : South Woodham-Elmwood and Woodville,"3,257","2,753","1,184",82,365
E05004115 : Springfield North,"3,617","2,884",968,254,435
E05004116 : The Lawns,"2,264","2,007","1,132",46,184
E05004117 : Trinity,"2,484","1,719",762,325,401
E05004118 : Waterhouse Farm,"2,665","1,573",741,598,457
E05004119 : Writtle,"2,263","1,666",967,350,217
E05004120 : Berechurch,"3,634","2,249",871,777,552
E05004121 : Birch and Winstree,"2,180","1,841",913,108,183
E05004122 : Castle,"4,961","2,347","1,098",566,"1,939"
E05004123 : Christ Church,"1,864","1,352",636,74,411
E05004124 : Copford and West Stanway,733,598,250,44,82
E05004125 : Dedham and Langham,"1,211",966,585,117,107
E05004126 : East Donyland,"1,162",800,341,182,168
E05004127 : Fordham and Stour,"2,059","1,673",824,166,183
E05004128 : Great Tey,"1,094",917,503,74,80
E05004129 : Harbour,"2,742","1,542",655,637,532
E05004130 : Highwoods,"4,172","2,550",755,596,971
E05004131 : Lexden,"2,311","1,826","1,018",207,247
E05004132 : Marks Tey,"1,053",848,395,64,137
E05004133 : Mile End,"4,413","2,803",988,379,"1,155"
E05004134 : New Town,"4,437","2,088",701,770,"1,523"
E05004135 : Prettygate,"3,076","2,617","1,553",197,221
E05004136 : Pyefleet,"1,051",910,477,61,68
E05004137 : St Andrew's,"4,268","1,324",570,"1,748","1,122"
E05004138 : St Anne's,"3,697","2,422","1,125",660,554
E05004139 : St John's,"2,032","1,800","1,067",88,121
E05004140 : Shrub End,"3,882","1,803",729,885,"1,139"
E05004141 : Stanway,"3,506","2,656","1,276",412,399
E05004142 : Tiptree,"3,293","2,613","1,471",288,335
E05004143 : West Bergholt and Eight Ash Green,"2,046","1,685",873,200,148
E05004144 : West Mersea,"3,300","2,711","1,731",208,326
E05004145 : Wivenhoe Cross,"1,098",764,417,40,284
E05004146 : Wivenhoe Quay,"2,359","1,802","1,018",121,403
"E05004147 : Broadley Common, Epping Upland and Nazeing",784,643,318,61,66
E05004148 : Buckhurst Hill East,"1,985","1,381",615,330,242
E05004149 : Buckhurst Hill West,"2,909","2,271","1,129",97,503
E05004150 : Chigwell Row,912,751,407,56,88
E05004151 : Chigwell Village,"1,484","1,223",600,64,154
"E05004152 : Chipping Ongar, Greensted and Marden Ash","1,723","1,383",771,135,188
E05004153 : Epping Hemnall,"2,764","1,902",987,373,453
E05004154 : Epping Lindsey and Thornwood Common,"2,663","1,879",908,516,215
E05004155 : Grange Hill,"2,502","1,725",843,433,311
"E05004156 : Hastingwood, Matching and Sheering Village",865,653,313,110,77
"E05004157 : High Ongar, Willingale and The Rodings",852,612,302,131,85
E05004158 : Lambourne,907,647,343,157,86
E05004159 : Loughton Alderton,"1,907","1,122",477,577,170
E05004160 : Loughton Broadway,"1,965",969,377,742,219
E05004161 : Loughton Fairmead,"1,840","1,092",398,515,205
E05004162 : Loughton Forest,"1,795","1,517",763,27,228
E05004163 : Loughton Roding,"1,943","1,502",663,233,182
E05004164 : Loughton St John's,"1,773","1,500",740,31,223
E05004165 : Loughton St Mary's,"1,742","1,337",623,147,218
E05004166 : Lower Nazeing,"1,582","1,382",760,118,62
E05004167 : Lower Sheering,935,648,245,21,247
E05004168 : Moreton and Fyfield,868,675,364,90,80
E05004169 : North Weald Bassett,"1,867","1,366",617,340,139
E05004170 : Passingford,862,662,343,57,125
E05004171 : Roydon,876,742,384,84,38
E05004172 : Shelley,903,529,216,296,64
E05004173 : Theydon Bois,"1,613","1,341",719,141,115
E05004174 : Waltham Abbey High Beach,"1,002",860,581,16,98
E05004175 : Waltham Abbey Honey Lane,"2,612","1,788",684,483,305
E05004176 : Waltham Abbey North East,"1,762","1,287",707,313,116
E05004177 : Waltham Abbey Paternoster,"1,816","1,031",437,652,109
E05004178 : Waltham Abbey South West,"1,978","1,145",436,457,331
E05004179 : Bush Fair,"3,307","1,688",696,"1,338",254
E05004180 : Church Langley,"3,513","2,882",736,151,438
E05004181 : Great Parndon,"2,821","1,852",805,686,245
E05004182 : Harlow Common,"3,145","1,809",752,"1,093",219
E05004183 : Little Parndon and Hare Street,"3,369","1,573",607,"1,235",435
E05004184 : Mark Hall,"3,025","1,433",591,"1,230",309
E05004185 : Netteswell,"3,260","1,490",583,"1,300",419
E05004186 : Old Harlow,"3,012","1,833",773,714,358
E05004187 : Staple Tye,"2,970","1,480",526,"1,111",304
E05004188 : Sumners and Kingsmoor,"2,931","1,793",621,782,322
E05004189 : Toddbrook,"3,267","1,596",661,"1,168",453
E05004190 : Althorne,"1,682","1,420",741,110,128
E05004191 : Burnham-on-Crouch North,"1,583","1,255",688,201,99
E05004192 : Burnham-on-Crouch South,"1,936","1,390",748,200,319
E05004193 : Great Totham,"1,493","1,245",668,101,120
E05004194 : Heybridge East,"1,680","1,405",614,71,171
E05004195 : Heybridge West,"1,685","1,182",466,346,142
E05004196 : Maldon East,930,482,233,300,124
E05004197 : Maldon North,"2,129","1,427",903,304,360
E05004198 : Maldon South,"1,582","1,323",617,145,106
E05004199 : Maldon West,"1,565","1,305",692,162,83
E05004200 : Mayland,"1,749","1,507",652,75,144
E05004201 : Purleigh,"1,292","1,101",570,93,78
E05004202 : Southminster,"1,703","1,265",562,204,204
E05004203 : Tillingham,886,683,336,80,103
E05004204 : Tollesbury,857,730,392,25,90
E05004205 : Tolleshunt D'Arcy,"1,646","1,304",678,186,130
E05004206 : Wickham Bishops and Woodham,"1,419","1,227",754,82,92
E05004207 : Ashingdon and Canewdon,"1,730","1,427",692,123,146
E05004208 : Barling and Sutton,704,574,263,39,83
E05004209 : Downhall and Rawreth,"1,822","1,642",686,62,104
E05004210 : Foulness and Great Wakering,"2,274","1,715",772,286,239
E05004211 : Grange,"1,513","1,268",553,51,170
E05004212 : Hawkwell North,"1,737","1,555",730,56,107
E05004213 : Hawkwell South,"1,884","1,498",760,69,298
E05004214 : Hawkwell West,"1,570","1,463",749,24,74
E05004215 : Hockley Central,"2,796","2,380","1,259",154,237
E05004216 : Hockley North,789,704,361,44,38
E05004217 : Hockley West,774,738,369,3,28
E05004218 : Hullbridge,"2,786","2,528","1,560",75,157
E05004219 : Lodge,"1,574","1,439",733,36,87
E05004220 : Rayleigh Central,"1,707","1,474",789,138,84
E05004221 : Rochford,"3,283","1,983",921,803,450
E05004222 : Sweyne Park,"1,775","1,363",477,243,153
E05004223 : Trinity,"1,395","1,293",704,38,58
E05004224 : Wheatley,"1,694","1,364",739,140,175
E05004225 : Whitehouse,"1,757","1,414",810,163,156
E05004226 : Alresford,836,723,410,37,65
E05004227 : Alton Park,"2,141","1,184",569,316,593
E05004228 : Ardleigh and Little Bromley,907,730,385,74,82
E05004229 : Beaumont and Thorpe,954,779,425,64,85
E05004230 : Bockings Elm,"1,967","1,560",901,115,262
"E05004231 : Bradfield, Wrabness and Wix",906,755,417,49,77
E05004232 : Brightlingsea,"3,628","2,746","1,529",230,607
E05004233 : Burrsville,"1,004",899,604,17,73
E05004234 : Frinton,"1,979","1,597","1,207",39,306
E05004235 : Golf Green,"2,628","1,837","1,378",45,701
E05004236 : Great and Little Oakley,894,728,391,71,75
E05004237 : Great Bentley,944,787,447,62,82
E05004238 : Hamford,"1,855","1,566","1,117",84,184
E05004239 : Harwich East,"1,294",669,355,228,372
E05004240 : Harwich East Central,"2,225","1,363",732,244,585
E05004241 : Harwich West,"2,202","1,743",996,190,219
E05004242 : Harwich West Central,"2,142","1,466",757,359,277
E05004243 : Haven,"1,002",879,648,30,84
E05004244 : Holland and Kirby,"2,086","1,764","1,078",64,226
E05004245 : Homelands,"1,001",799,617,84,106
E05004246 : Lawford,"1,842","1,426",718,189,207
E05004247 : Little Clacton and Weeley,"2,038","1,727","1,078",103,173
"E05004248 : Manningtree, Mistley, Little Bentley and Tendring","2,064","1,405",725,261,348
E05004249 : Peter Bruff,"1,889","1,330",633,187,348
E05004250 : Pier,"2,194","1,031",597,95,"1,030"
E05004251 : Ramsey and Parkeston,979,712,333,94,156
E05004252 : Rush Green,"2,051","1,030",608,706,268
E05004253 : St Bartholomews,"2,203","1,940","1,405",21,216
E05004254 : St James,"1,825","1,428",943,115,252
E05004255 : St Johns,"2,184","1,756","1,133",169,221
E05004256 : St Marys,"2,181","1,409",797,240,494
E05004257 : St Osyth and Point Clear,"1,945","1,478",938,186,246
E05004258 : St Pauls,"2,193","1,653","1,114",112,408
"E05004259 : Thorrington, Frating, Elmstead and Great Bromley","1,885","1,591",881,106,160
E05004260 : Walton,"2,037","1,262",830,257,476
E05004261 : Ashdon,674,503,247,76,59
E05004262 : Barnston and High Easter,636,491,237,63,64
E05008708 : Birchanger,610,440,150,92,67
E05008709 : Broad Oak and the Hallingburys,"1,318","1,001",464,115,168
E05004265 : Clavering,568,457,274,60,38
E05004266 : Elsenham and Henham,"1,408","1,138",519,119,119
E05004267 : Felsted,"1,919","1,444",562,192,238
E05004268 : Great Dunmow North,"1,531","1,053",450,280,145
E05004269 : Great Dunmow South,"2,205","1,425",678,312,416
E05004270 : Hatfield Heath,712,507,245,117,61
E05004271 : Littlebury,652,462,244,63,110
E05004272 : Newport,"1,361","1,018",515,187,120
E05004273 : Saffron Walden Audley,"2,238","1,473",842,385,327
E05008710 : Saffron Walden Castle,"2,009","1,304",664,384,273
E05004275 : Saffron Walden Shire,"2,263","1,636",728,273,296
E05004276 : Stansted North,"1,294","1,099",543,50,127
E05008711 : Stansted South,"1,320",825,296,230,245
E05004278 : Stebbing,609,491,281,52,55
E05004279 : Stort Valley,603,427,197,69,93
E05008712 : Takeley and the Canfields,"1,833","1,249",545,202,303
E05004281 : Thaxted,"1,435",989,506,218,178
E05008713 : The Chesterfords,679,524,249,60,78
E05004283 : The Eastons,602,422,205,59,106
E05004284 : The Rodings,730,548,239,86,78
E05004285 : The Sampfords,713,541,289,78,78
E05004286 : Wenden Lofts,609,477,249,63,52
E05004287 : Wimbish and Debden,785,481,250,76,214
E05004678 : Broxbourne,"2,398","2,127","1,162",73,183
E05004679 : Bury Green,"2,576","1,735",754,661,148
E05004680 : Cheshunt Central,"3,144","2,336","1,082",329,443
E05004681 : Cheshunt North,"3,064","2,242",983,537,266
E05004682 : Flamstead End,"2,673","2,094",884,302,248
E05004683 : Goffs Oak,"2,996","2,576","1,115",150,175
E05004684 : Hoddesdon North,"2,648","2,299","1,125",128,187
E05004685 : Hoddesdon Town,"3,367","2,146",995,563,602
E05004686 : Rosedale,"1,805","1,286",527,316,125
E05004687 : Rye Park,"2,767","2,044",802,421,265
E05004688 : Theobalds,"3,017","2,288","1,194",240,440
E05004689 : Waltham Cross,"3,163","1,629",652,807,603
E05004690 : Wormley & Turnford,"4,040","2,658",987,770,514
E05004691 : Adeyfield East,"2,255","1,269",583,679,241
E05004692 : Adeyfield West,"2,236","1,174",487,843,185
E05004693 : Aldbury and Wigginton,"1,015",790,438,112,96
E05004694 : Apsley and Corner Hall,"3,852","2,239",808,787,778
E05004695 : Ashridge,"1,077",849,489,123,83
E05004696 : Bennetts End,"2,279","1,467",583,624,156
E05004697 : Berkhamsted Castle,"2,719","2,135","1,104",101,446
E05004698 : Berkhamsted East,"2,426","1,679",770,369,354
E05004699 : Berkhamsted West,"2,401","1,664",787,508,183
"E05004700 : Bovingdon, Flaunden and Chipperfield","3,381","2,685","1,389",316,334
E05004701 : Boxmoor,"3,511","2,462","1,126",557,421
E05004702 : Chaulden and Warners End,"3,762","2,242",905,"1,157",331
E05004703 : Gadebridge,"2,315","1,436",559,641,215
E05004704 : Grovehill,"3,234","1,699",590,"1,165",340
E05004705 : Hemel Hempstead Town,"2,619","1,073",399,970,496
E05004706 : Highfield,"2,374","1,024",442,"1,015",256
E05004707 : Kings Langley,"2,135","1,590",797,302,218
E05004708 : Leverstock Green,"3,590","2,444","1,196",847,263
E05004709 : Nash Mills,"1,132",760,328,247,108
E05004710 : Northchurch,"1,317",990,592,144,161
E05004711 : Tring Central,"2,199","1,535",641,428,211
E05004712 : Tring East,"1,281","1,046",558,66,157
E05004713 : Tring West and Rural,"2,065","1,570",737,208,261
E05004714 : Watling,"2,247","1,572",665,354,279
E05004715 : Woodhall Farm,"2,516","1,483",485,482,534
E05004716 : Bishop's Stortford All Saints,"3,023","2,149",996,330,462
E05004717 : Bishop's Stortford Central,"4,233","2,461",950,880,783
E05004718 : Bishop's Stortford Meads,"2,587","1,810",911,191,523
E05004719 : Bishop's Stortford Silverleys,"2,062","1,703",717,61,210
E05004720 : Bishop's Stortford South,"3,222","2,841","1,084",50,303
E05004721 : Braughing,"1,021",753,378,149,96
E05004722 : Buntingford,"2,129","1,724",850,197,176
E05004723 : Datchworth & Aston,975,739,420,149,60
E05004724 : Great Amwell,"1,138",799,354,197,123
E05004725 : Hertford Bengeo,"3,270","2,448","1,166",334,452
E05004726 : Hertford Castle,"3,810","2,494","1,063",472,739
E05004727 : Hertford Heath,"1,155",828,430,143,109
E05004728 : Hertford Kingsmead,"2,129","1,635",504,232,224
E05004729 : Hertford Rural North,954,697,354,115,129
E05004730 : Hertford Rural South,989,774,427,106,88
E05004731 : Hertford Sele,"2,449","1,471",626,746,177
E05004732 : Hunsdon,"1,114",760,363,197,125
E05004733 : Little Hadham,933,712,321,108,87
E05004734 : Mundens and Cottered,979,692,354,153,96
E05004735 : Much Hadham,"1,090",737,379,186,135
E05004736 : Puckeridge,"1,103",808,321,176,102
E05004737 : Sawbridgeworth,"3,587","2,754","1,358",298,473
E05004738 : Stanstead Abbots,"1,308",904,363,169,192
E05004739 : Thundridge & Standon,"1,205",941,451,117,110
E05004740 : Walkern,"1,130",802,367,179,123
E05004741 : Ware Chadwell,"1,420",862,386,218,297
E05004742 : Ware Christchurch,"2,331","1,505",677,331,451
E05004743 : Ware St Mary's,"2,223","1,725",696,173,303
E05004744 : Ware Trinity,"2,037","1,481",634,382,149
E05004745 : Watton-at-Stone,971,656,286,146,149
E05004746 : Aldenham East,"1,877","1,536",834,67,252
E05004747 : Aldenham West,"1,895","1,377",665,208,236
E05004748 : Borehamwood Brookmeadow,"3,173","1,763",683,864,468
E05004749 : Borehamwood Cowley Hill,"3,485","1,501",562,"1,615",264
E05004750 : Borehamwood Hillside,"3,738","2,309",880,695,578
E05004751 : Borehamwood Kenilworth,"2,486","1,372",495,693,308
E05004752 : Bushey Heath,"2,762","2,183","1,230",69,466
E05004753 : Bushey North,"2,591","1,688",748,422,410
E05004754 : Bushey Park,"1,981","1,569",710,158,234
E05004755 : Bushey St James,"3,022","2,109",994,490,372
E05004756 : Elstree,"1,776","1,393",584,115,234
E05004757 : Potters Bar Furzefield,"2,588","2,045","1,019",312,196
E05004758 : Potters Bar Oakmere,"3,040","2,018",969,704,276
E05004759 : Potters Bar Parkfield,"3,263","2,614","1,594",118,484
E05004760 : Shenley,"2,101","1,420",522,402,203
E05004761 : Arbury,"1,111",791,424,131,163
E05004762 : Baldock East,"1,215","1,016",384,29,149
E05004763 : Baldock Town,"3,160","1,940",936,708,430
E05004764 : Cadwell,972,606,329,252,102
E05004765 : Chesfield,"2,806","2,016",459,309,373
E05004766 : Codicote,"1,171",836,410,190,125
E05004767 : Ermine,"1,040",727,381,146,120
E05004768 : Hitchin Bearton,"3,804","2,250",862,422,990
E05004769 : Hitchin Highbury,"3,445","2,518","1,349",290,571
E05004770 : Hitchin Oughton,"2,166","1,063",502,891,183
E05004771 : Hitchin Priory,"1,833","1,556",846,86,162
E05004772 : Hitchin Walsworth,"3,316","2,197",899,604,456
"E05004773 : Hitchwood, Offa and Hoo","2,887","1,800",868,569,451
E05004774 : Kimpton,862,667,355,122,61
E05004775 : Knebworth,"2,203","1,546",752,321,298
E05004776 : Letchworth East,"2,511","1,297",550,819,368
E05004777 : Letchworth Grange,"3,195","1,799",852,"1,152",194
E05004778 : Letchworth South East,"3,016","1,835",860,982,181
E05004779 : Letchworth South West,"3,047","2,062","1,182",604,336
E05004780 : Letchworth Wilbury,"2,221","1,105",521,788,251
E05004781 : Royston Heath,"2,139","1,578",719,189,355
E05004782 : Royston Meridian,"2,162","1,809",867,167,171
E05004783 : Royston Palace,"2,305","1,501",600,416,361
E05004784 : Weston and Sandon,839,557,294,117,142
E05004785 : Ashley,"3,057","2,126",821,227,657
E05004786 : Batchwood,"2,880","1,806",698,814,227
E05004787 : Clarence,"2,725","1,896",881,211,548
E05004788 : Colney Heath,"2,282","1,614",665,415,224
E05004789 : Cunningham,"2,682","1,708",890,643,290
E05004790 : Harpenden East,"2,907","2,091",948,431,346
E05004791 : Harpenden North,"2,644","2,222","1,026",184,214
E05004792 : Harpenden South,"2,639","2,317","1,265",107,192
E05004793 : Harpenden West,"3,114","2,392","1,342",135,561
E05004794 : London Colney,"3,763","2,530",936,599,551
E05004795 : Marshalswick North,"2,613","2,028","1,029",303,246
E05004796 : Marshalswick South,"2,684","2,165","1,024",185,309
E05004797 : Park Street,"3,000","2,300","1,105",345,305
E05004798 : Redbourn,"2,534","1,879",939,347,255
E05004799 : St Peters,"3,661","1,875",757,496,"1,212"
E05004800 : St Stephen,"2,593","2,287","1,276",43,221
E05004801 : Sandridge,"2,098","1,660",771,168,252
E05004802 : Sopwell,"2,975","1,716",661,762,457
E05004803 : Verulam,"2,707","2,265","1,348",30,369
E05004804 : Wheathampstead,"2,582","1,954","1,027",387,188
E05004805 : Bandley Hill,"2,694","1,704",562,692,278
E05004806 : Bedwell,"3,041","1,330",591,"1,317",341
E05004807 : Chells,"2,710","1,695",662,674,258
E05004808 : Longmeadow,"2,434","1,627",666,608,171
E05004809 : Manor,"2,632","2,054",723,235,323
E05004810 : Martins Wood,"2,632","1,472",556,761,331
E05004811 : Old Town,"3,485","1,841",783,963,482
E05004812 : Pin Green,"2,749","1,461",630,923,296
E05004813 : Roebuck,"2,673","1,500",559,870,269
E05004814 : St Nicholas,"2,559","1,495",442,709,315
E05004815 : Shephall,"2,467","1,327",501,916,196
E05004816 : Symonds Green,"2,611","1,365",510,807,422
E05004817 : Woodfield,"2,211","1,468",551,427,298
E05004818 : Abbots Langley,"1,976","1,503",737,308,141
E05004819 : Ashridge,"1,499",887,297,482,106
E05004820 : Bedmond & Primrose Hill,"1,762","1,228",607,206,272
E05004821 : Carpenders Park,"2,116","1,829","1,042",72,189
E05004822 : Chorleywood East,"1,475","1,363",763,16,86
E05004823 : Chorleywood West,"2,184","1,761",965,147,250
E05004824 : Croxley Green,"2,236","1,875",934,118,212
E05004825 : Croxley Green North,"1,324","1,082",543,155,80
E05004826 : Croxley Green South,"1,445","1,204",512,69,162
E05004827 : Hayling,"1,472",792,270,531,132
E05004828 : Langleybury,"2,117","1,379",513,502,188
E05004829 : Leavesden,"2,168","1,664",563,257,232
E05004830 : Maple Cross & Mill End,"2,314","1,432",561,602,256
E05004831 : Moor Park & Eastbury,"1,865","1,490",877,14,333
E05004832 : Northwick,"2,224",951,298,"1,030",202
E05004833 : Oxhey Hall,"1,264",979,451,194,68
E05004834 : Penn,"1,407",970,328,260,157
E05004835 : Rickmansworth,"2,137","1,361",739,208,482
E05004836 : Rickmansworth West,"1,335","1,138",589,86,102
E05004837 : Sarratt,788,644,399,61,58
E05004838 : Callowland,"3,161","1,943",532,211,974
E05004839 : Central,"3,948","1,719",604,710,"1,385"
E05004840 : Holywell,"3,460","1,459",520,"1,003",860
E05004841 : Leggatts,"2,774","1,718",600,615,404
E05004842 : Meriden,"3,229","1,836",748,"1,089",247
E05004843 : Nascot,"3,173","2,200","1,022",202,706
E05004844 : Oxhey,"2,777","1,956",834,384,400
E05004845 : Park,"2,938","2,269","1,105",181,411
E05004846 : Stanborough,"2,792","2,013",862,445,303
E05004847 : Tudor,"2,456","1,865",862,124,443
E05004848 : Vicarage,"2,971","1,767",600,250,913
E05004849 : Woodside,"3,002","1,863",665,773,325
E05004850 : Brookmans Park and Little Heath,"2,224","1,906","1,056",67,200
E05004851 : Haldens,"3,005","1,570",648,"1,126",259
E05004852 : Handside,"2,997","1,934","1,046",717,289
E05004853 : Hatfield Central,"3,114","1,110",443,"1,337",574
E05004854 : Hatfield East,"2,744","1,350",651,727,560
E05004855 : Hatfield South,"2,324",810,348,836,604
E05004856 : Hatfield Villages,"2,560","1,197",341,505,769
E05004857 : Hatfield West,"3,261","1,580",769,900,719
E05004858 : Hollybush,"2,768","1,404",442,979,316
E05004859 : Howlands,"2,374","1,323",565,863,148
E05004860 : Northaw and Cuffley,"2,093","1,819","1,068",82,164
E05004861 : Panshanger,"2,812","1,826",669,616,329
E05004862 : Peartree,"3,185","1,124",357,"1,707",276
E05004863 : Sherrards,"2,408","1,674",873,549,147
E05004864 : Welham Green,"1,638","1,120",587,251,234
E05004865 : Welwyn East,"2,387","2,057","1,053",133,172
E05004866 : Welwyn West,"1,719","1,191",645,346,151
E05005721 : All Saints,951,752,414,61,113
E05005722 : Buckenham,738,577,335,54,91
E05005723 : Burgh and Haverscroft,"1,662","1,308",738,116,207
E05005724 : Conifer,884,636,354,82,146
E05005725 : Dereham-Central,"2,969","1,688",920,691,526
E05005726 : Dereham-Humbletoft,"1,070",768,335,163,122
E05005727 : Dereham-Neatherd,"1,885","1,312",733,288,245
E05005728 : Dereham-Toftwood,"2,161","1,628",839,112,393
E05005729 : East Guiltcross,866,551,267,88,188
E05005730 : Eynsford,968,741,400,93,111
E05005731 : Haggard de Toni,972,721,459,118,110
E05005732 : Harling and Heathlands,"1,806","1,303",736,180,240
E05005733 : Hermitage,922,656,417,137,97
E05005734 : Launditch,834,505,304,131,165
E05005735 : Mid Forest,894,568,333,147,145
E05005736 : Nar Valley,"1,001",706,439,166,109
E05005737 : Necton,877,701,479,88,74
E05005738 : Queen's,"3,098","2,100",965,397,528
