KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05002241 : South Chafford,"5,232",775,338,175
E05002242 : Stanford East and Corringham Town,"6,151",290,862,317
E05002243 : Stanford-le-Hope West,"4,703",279,520,194
E05002244 : Stifford Clays,"4,478",342,553,179
E05002245 : The Homesteads,"6,552",445,682,158
E05002246 : Tilbury Riverside and Thurrock Park,"4,730",162,843,507
E05002247 : Tilbury St Chads,"4,400",172,860,445
E05002248 : West Thurrock and South Stifford,"7,686",481,"1,248",586
E05002702 : Abbey,"7,490","1,164",898,370
E05002703 : Arbury,"6,895","1,185",751,337
E05002704 : Castle,"8,749","1,151",166,84
E05002705 : Cherry Hinton,"6,438","1,104",616,247
E05002706 : Coleridge,"7,247","1,413",489,236
E05002707 : East Chesterton,"7,088","1,355",700,310
E05002708 : King's Hedges,"6,928",863,975,403
E05002709 : Market,"6,488",843,90,81
E05002710 : Newnham,"6,686","1,102",62,68
E05002711 : Petersfield,"7,029","1,768",231,171
E05002712 : Queen Edith's,"6,801","1,693",322,154
E05002713 : Romsey,"7,631","1,724",476,190
E05002714 : Trumpington,"6,025","1,618",337,182
E05002715 : West Chesterton,"6,788","1,884",308,221
E05002716 : Bottisham,"2,802",458,221,64
E05002717 : Burwell,"4,434",673,334,98
E05002718 : Cheveley,"3,012",444,315,68
E05002719 : Downham Villages,"3,275",364,315,76
E05002720 : Dullingham Villages,"1,653",257,185,31
E05002721 : Ely East,"2,978",466,245,68
E05002722 : Ely North,"5,151",809,456,175
E05002723 : Ely South,"3,187",574,218,80
E05002724 : Ely West,"3,201",438,285,119
E05002725 : Fordham Villages,"2,765",366,263,71
E05002726 : Haddenham,"4,301",524,414,91
E05002727 : Isleham,"1,713",201,177,43
E05002728 : Littleport East,"3,798",315,511,138
E05002729 : Littleport West,"2,460",183,345,140
E05002730 : Soham North,"3,812",375,504,82
E05002731 : Soham South,"4,841",397,723,137
E05002732 : Stretham,"2,943",380,276,70
E05002733 : Sutton,"2,935",379,302,71
E05002734 : The Swaffhams,"1,453",266,115,36
E05002735 : Bassenhally,"1,161",76,173,28
"E05002736 : Benwick, Coates and Eastrea","3,357",256,438,100
E05002737 : Birch,"1,794",116,301,61
E05002738 : Clarkson,"1,691",66,352,117
E05002739 : Delph,"1,445",122,152,51
E05002740 : Doddington,"1,645",146,193,41
E05002741 : Elm and Christchurch,"3,495",218,485,195
E05002742 : Hill,"3,785",153,742,217
E05002743 : Kingsmoor,"1,197",41,245,62
E05002744 : Kirkgate,"1,681",79,306,110
E05002745 : Lattersey,"1,723",126,244,85
E05002746 : Manea,"1,522",104,185,58
E05002747 : March East,"5,290",268,847,270
E05002748 : March North,"5,771",313,999,291
E05002749 : March West,"4,954",326,602,235
E05002750 : Medworth,"1,914",91,399,139
E05002751 : Parson Drove and Wisbech St Mary,"3,573",237,496,186
E05002752 : Peckover,"1,745",129,245,117
E05002753 : Roman Bank,"4,669",289,705,199
E05002754 : St Andrews,"1,876",116,269,38
E05002755 : St Marys,"1,850",136,252,73
E05002756 : Slade Lode,"1,905",132,280,76
E05002757 : Staithe,"1,789",63,355,139
E05002758 : The Mills,"1,977",135,273,58
E05002759 : Waterlees,"3,915",91,958,340
E05002760 : Wenneye,"1,919",171,243,76
E05002761 : Wimblington,"1,615",118,201,47
E05008525 : Alconbury and The Stukeleys,"2,788",358,209,75
E05002763 : Brampton,"5,600",780,523,323
E05008526 : Buckden,"2,348",399,192,50
E05008527 : Earith,"4,574",690,351,57
E05008576 : Ellington,"2,337",394,159,39
E05002767 : Elton and Folksworth,"2,021",334,135,53
E05008577 : Fenstanton,"2,429",361,176,39
E05002769 : Godmanchester,"4,929",759,445,135
E05008528 : Gransden and The Offords,"3,338",626,210,58
E05002771 : Huntingdon East,"7,025",810,868,308
E05002772 : Huntingdon North,"4,767",231,"1,027",355
E05008529 : Huntingdon West,"5,499",860,545,158
E05008578 : Kimbolton and Staughton,"2,414",396,149,55
E05008579 : Little Paxton,"2,436",319,200,48
E05008531 : Ramsey,"6,285",594,750,203
E05002777 : St Ives East,"5,337",601,608,138
E05008580 : St Ives South,"4,717",652,458,172
E05002779 : St Ives West,"2,141",250,213,68
E05008581 : St Neots Eaton Ford,"5,097",702,418,89
E05002781 : St Neots Eaton Socon,"4,231",382,569,145
E05008533 : St Neots Eynesbury,"7,934",730,"1,080",308
E05008582 : St Neots Priory Park,"5,851",697,655,229
E05002784 : Sawtry,"4,811",544,425,100
E05008583 : Somersham,"4,426",568,367,97
E05002786 : Stilton,"2,292",289,170,36
E05008535 : The Hemingfords,"4,404",874,217,81
E05008584 : Upwood and The Raveleys,"2,501",316,210,71
E05008537 : Warboys and Bury,"4,694",600,432,96
E05002790 : Yaxley and Farcet,"8,120",767,949,265
E05002791 : Balsham,"3,428",674,226,83
E05002792 : Bar Hill,"3,861",582,310,61
E05002793 : Barton,"1,739",448,94,34
E05002794 : Bassingbourn,"3,735",534,330,139
E05002796 : Caldecote,"1,772",447,85,36
E05002797 : Comberton,"1,647",357,121,23
E05002798 : Cottenham,"5,754","1,028",408,93
E05002799 : Duxford,"2,013",390,176,37
E05002800 : Fowlmere and Foxton,"1,740",341,120,27
E05002801 : Fulbourn,"3,365",607,246,96
E05002802 : Gamlingay,"3,634",491,361,80
E05002803 : Girton,"3,359",789,133,56
E05002804 : Hardwick,"2,008",349,159,38
E05002805 : Harston and Hauxton,"1,748",384,88,33
E05002806 : Haslingfield and The Eversdens,"1,889",449,82,32
E05002807 : Histon and Impington,"7,586","1,493",584,201
E05002808 : Linton,"3,445",649,281,74
E05002809 : Longstanton,"1,966",382,146,41
E05002810 : Melbourn,"4,012",697,333,66
E05002811 : Meldreth,"1,863",295,160,72
E05002812 : Milton,"3,507",736,252,182
E05002813 : Orwell and Barrington,"1,685",307,135,33
E05002815 : Sawston,"5,276",708,648,137
E05002816 : Swavesey,"1,825",324,120,21
E05002817 : Teversham,"2,216",434,172,67
E05002818 : The Abingtons,"1,670",391,99,22
E05002819 : The Mordens,"1,775",323,106,44
E05002820 : The Shelfords and Stapleford,"5,095","1,324",289,123
E05002821 : The Wilbrahams,"2,043",382,143,35
E05002822 : Waterbeach,"4,518",693,358,98
E05002823 : Whittlesford,"1,978",434,124,34
E05002824 : Willingham and Over,"5,036",842,385,87
E05002795 : Bourn,"7,043","1,680",376,164
E05002814 : Papworth and Elsworth,"3,548",633,241,102
E05004021 : Billericay East,"8,548","1,540",454,173
E05004022 : Billericay West,"8,626","1,411",516,231
E05004023 : Burstead,"7,640","1,075",488,177
E05004024 : Crouch,"6,602",725,523,313
E05004025 : Fryerns,"8,827",405,"1,437",588
E05004026 : Laindon Park,"8,293",597,"1,133",490
E05004027 : Langdon Hills,"6,804",928,498,191
E05004028 : Lee Chapel North,"9,386",433,"1,557",742
E05004029 : Nethermayne,"8,591",678,"1,027",415
E05004030 : Pitsea North West,"9,391",392,"1,495",645
E05004031 : Pitsea South East,"8,772",483,"1,334",573
E05004032 : St Martin's,"5,996",284,960,421
E05004033 : Vange,"6,983",263,"1,079",608
E05004034 : Wickford Castledon,"5,551",497,518,133
E05004035 : Wickford North,"8,847",802,875,259
E05004036 : Wickford Park,"6,938",747,575,194
E05004037 : Black Notley and Terling,"2,858",378,217,83
E05004038 : Bocking Blackwater,"5,984",503,595,172
E05004039 : Bocking North,"3,382",276,434,152
E05004040 : Bocking South,"4,044",236,629,210
"E05004041 : Bradwell, Silver End and Rivenhall","3,677",299,456,138
E05004042 : Braintree Central,"6,507",567,750,244
E05004043 : Braintree East,"5,327",357,674,294
E05004044 : Braintree South,"5,541",418,734,196
E05004045 : Bumpstead,"1,887",256,132,45
E05004046 : Coggeshall and North Feering,"3,681",528,294,113
E05004047 : Cressing and Stisted,"1,675",171,169,64
E05004048 : Gosfield and Greenstead Green,"1,789",211,150,28
E05004049 : Great Notley and Braintree West,"5,164",711,322,104
E05004050 : Halstead St Andrew's,"5,013",420,566,179
E05004051 : Halstead Trinity,"3,480",212,500,195
E05004052 : Hatfield Peverel,"3,105",394,252,113
E05004053 : Hedingham and Maplestead,"4,821",491,525,111
E05004054 : Kelvedon,"3,712",556,317,92
E05004055 : Panfield,"1,574",231,123,36
E05004056 : Rayne,"1,719",191,161,51
E05004057 : Stour Valley North,"1,651",233,121,36
E05004058 : Stour Valley South,"1,571",224,85,32
E05004059 : The Three Colnes,"3,717",430,269,141
E05004060 : Three Fields,"2,933",380,207,67
E05004061 : Upper Colne,"1,633",189,151,48
E05004062 : Witham Chipping Hill and Central,"3,283",374,347,142
E05004063 : Witham North,"3,615",227,542,174
E05004064 : Witham South,"6,606",626,754,244
E05004065 : Witham West,"5,196",362,750,260
E05004066 : Yeldham,"1,573",149,186,60
E05004067 : Brentwood North,"4,646",596,304,178
E05004068 : Brentwood South,"4,115",548,309,176
E05004069 : Brentwood West,"5,304",894,295,142
E05004070 : Brizes and Doddinghurst,"4,399",497,266,132
"E05004071 : Herongate, Ingrave and West Horndon","2,641",384,151,51
E05004072 : Hutton Central,"2,698",481,166,65
E05004073 : Hutton East,"2,540",344,176,84
E05004074 : Hutton North,"2,908",404,217,99
E05004075 : Hutton South,"2,842",573,98,58
"E05004076 : Ingatestone, Fryerning and Mountnessing","4,267",695,261,118
E05004077 : Pilgrims Hatch,"4,346",410,453,163
E05004078 : Shenfield,"3,728",922,84,83
E05004079 : South Weald,"1,347",191,74,29
E05004080 : Tipps Cross,"2,798",373,168,69
E05004081 : Warley,"4,380",728,255,147
E05004082 : Appleton,"4,924",460,417,128
E05004083 : Boyce,"4,833",627,274,119
E05004084 : Canvey Island Central,"4,843",199,755,268
E05004085 : Canvey Island East,"4,735",261,649,211
E05004086 : Canvey Island North,"4,756",236,720,188
E05004087 : Canvey Island South,"4,770",272,602,192
E05004088 : Canvey Island West,"3,757",237,529,188
E05004089 : Canvey Island Winter Gardens,"5,387",324,672,291
E05004090 : Cedar Hall,"4,156",391,368,111
E05004091 : St George's,"4,370",355,460,126
E05004092 : St James,"4,690",487,357,132
E05004093 : St Mary's,"4,452",370,413,146
E05004094 : St Peter's,"4,759",403,475,125
E05004095 : Victoria,"4,194",422,364,139
E05004096 : Bicknacre and East and West Hanningfield,"3,745",486,267,113
E05004097 : Boreham and The Leighs,"4,626",593,367,110
E05004098 : Broomfield and The Walthams,"5,779",850,466,169
E05004099 : Chelmer Village and Beaulieu Park,"8,302","1,382",485,216
E05004100 : Chelmsford Rural West,"2,065",317,147,50
E05004101 : Galleywood,"4,193",470,423,161
E05004102 : Goat Hall,"4,280",511,333,102
E05004103 : Great Baddow East,"6,024",758,490,189
E05004104 : Great Baddow West,"4,522",551,448,144
"E05004105 : Little Baddow, Danbury and Sandon","5,844","1,052",300,144
E05004106 : Marconi,"5,667",740,472,271
E05004107 : Moulsham and Central,"7,729","1,398",447,239
E05004108 : Moulsham Lodge,"4,083",452,366,82
E05004109 : Patching Hall,"6,424",753,588,259
E05004110 : Rettendon and Runwell,"3,733",352,381,169
E05004111 : St Andrews,"6,393",725,691,294
"E05004112 : South Hanningfield, Stock and Margaretting","4,028",653,228,93
E05004113 : South Woodham-Chetwood and Collingwood,"6,359",839,406,154
E05004114 : South Woodham-Elmwood and Woodville,"6,044",670,500,137
E05004115 : Springfield North,"6,679",793,545,151
E05004116 : The Lawns,"3,847",498,257,57
E05004117 : Trinity,"4,747",634,417,200
E05004118 : Waterhouse Farm,"4,589",528,532,208
E05004119 : Writtle,"3,991",525,301,106
E05004120 : Berechurch,"6,675",351,877,313
E05004121 : Birch and Winstree,"4,207",541,293,106
E05004122 : Castle,"7,803","1,070",566,341
E05004123 : Christ Church,"3,261",541,171,90
E05004124 : Copford and West Stanway,"1,331",217,87,24
E05004125 : Dedham and Langham,"2,123",332,130,47
E05004126 : East Donyland,"1,979",157,186,76
E05004127 : Fordham and Stour,"3,917",583,287,100
E05004128 : Great Tey,"2,001",298,110,57
E05004129 : Harbour,"4,552",300,554,269
E05004130 : Highwoods,"7,240",892,593,350
E05004131 : Lexden,"3,810",569,289,120
E05004132 : Marks Tey,"1,954",207,159,47
E05004133 : Mile End,"7,869","1,279",445,295
E05004134 : New Town,"8,552",920,772,399
E05004135 : Prettygate,"5,225",508,389,189
E05004136 : Pyefleet,"1,917",257,121,61
E05004137 : St Andrew's,"8,674",271,999,558
E05004138 : St Anne's,"6,544",429,761,312
E05004139 : St John's,"3,578",404,297,94
E05004140 : Shrub End,"6,998",541,739,303
E05004141 : Stanway,"5,955",566,504,168
E05004142 : Tiptree,"5,619",501,672,181
E05004143 : West Bergholt and Eight Ash Green,"3,657",497,268,95
E05004144 : West Mersea,"5,027",585,405,123
E05004145 : Wivenhoe Cross,"4,028",168,155,74
E05004146 : Wivenhoe Quay,"4,066",727,258,89
"E05004147 : Broadley Common, Epping Upland and Nazeing","1,479",175,122,40
E05004148 : Buckhurst Hill East,"3,298",452,199,117
E05004149 : Buckhurst Hill West,"4,879","1,009",144,119
E05004150 : Chigwell Row,"1,666",214,86,70
E05004151 : Chigwell Village,"3,101",540,118,123
"E05004152 : Chipping Ongar, Greensted and Marden Ash","2,892",319,196,82
E05004153 : Epping Hemnall,"4,495",677,279,154
E05004154 : Epping Lindsey and Thornwood Common,"4,403",605,297,158
E05004155 : Grange Hill,"4,706",582,314,295
"E05004156 : Hastingwood, Matching and Sheering Village","1,555",203,117,56
"E05004157 : High Ongar, Willingale and The Rodings","1,628",201,121,42
E05004158 : Lambourne,"1,439",143,125,55
E05004159 : Loughton Alderton,"3,263",268,341,165
E05004160 : Loughton Broadway,"3,038",179,360,180
E05004161 : Loughton Fairmead,"3,175",198,319,177
E05004162 : Loughton Forest,"3,164",679,97,66
E05004163 : Loughton Roding,"3,416",414,259,152
E05004164 : Loughton St John's,"3,244",522,134,80
E05004165 : Loughton St Mary's,"3,295",525,163,120
E05004166 : Lower Nazeing,"2,876",335,220,85
E05004167 : Lower Sheering,"1,573",217,123,26
E05004168 : Moreton and Fyfield,"1,562",183,106,38
E05004169 : North Weald Bassett,"3,254",298,302,87
E05004170 : Passingford,"1,696",185,115,51
E05004171 : Roydon,"1,669",224,137,48
E05004172 : Shelley,"1,515",119,191,70
E05004173 : Theydon Bois,"2,843",465,117,73
E05004174 : Waltham Abbey High Beach,"1,639",163,173,60
E05004175 : Waltham Abbey Honey Lane,"4,608",334,526,220
E05004176 : Waltham Abbey North East,"3,001",201,397,113
E05004177 : Waltham Abbey Paternoster,"3,119",162,486,161
E05004178 : Waltham Abbey South West,"3,131",295,347,143
E05004179 : Bush Fair,"5,333",294,826,310
E05004180 : Church Langley,"6,334",806,468,161
E05004181 : Great Parndon,"4,855",335,663,223
E05004182 : Harlow Common,"5,220",289,748,273
E05004183 : Little Parndon and Hare Street,"5,715",421,795,312
E05004184 : Mark Hall,"5,016",265,769,313
E05004185 : Netteswell,"5,219",292,815,326
E05004186 : Old Harlow,"5,048",562,465,132
E05004187 : Staple Tye,"5,217",273,840,342
E05004188 : Sumners and Kingsmoor,"5,370",341,729,294
E05004189 : Toddbrook,"5,342",281,841,313
E05004190 : Althorne,"3,114",282,316,99
E05004191 : Burnham-on-Crouch North,"2,735",311,276,93
E05004192 : Burnham-on-Crouch South,"2,945",329,290,113
E05004193 : Great Totham,"2,711",412,192,49
E05004194 : Heybridge East,"3,093",344,306,74
E05004195 : Heybridge West,"2,907",260,319,91
E05004196 : Maldon East,"1,541",117,207,76
E05004197 : Maldon North,"2,952",338,317,102
E05004198 : Maldon South,"2,887",272,270,98
E05004199 : Maldon West,"2,816",318,242,55
E05004200 : Mayland,"3,219",323,297,75
E05004201 : Purleigh,"2,582",337,164,63
E05004202 : Southminster,"3,095",239,359,138
E05004203 : Tillingham,"1,636",171,140,60
E05004204 : Tollesbury,"1,515",151,154,28
E05004205 : Tolleshunt D'Arcy,"3,091",375,253,97
E05004206 : Wickham Bishops and Woodham,"2,567",458,111,40
E05004207 : Ashingdon and Canewdon,"3,256",315,255,88
E05004208 : Barling and Sutton,"1,366",114,116,41
E05004209 : Downhall and Rawreth,"3,572",448,241,69
E05004210 : Foulness and Great Wakering,"4,193",329,420,111
E05004211 : Grange,"2,644",293,241,69
E05004212 : Hawkwell North,"3,398",332,230,54
E05004213 : Hawkwell South,"3,058",226,296,96
E05004214 : Hawkwell West,"3,036",345,199,66
E05004215 : Hockley Central,"4,630",526,334,92
E05004216 : Hockley North,"1,541",199,112,39
E05004217 : Hockley West,"1,557",239,73,27
E05004218 : Hullbridge,"4,987",405,488,124
E05004219 : Lodge,"3,036",331,193,60
E05004220 : Rayleigh Central,"3,070",316,237,67
E05004221 : Rochford,"5,477",403,596,255
E05004222 : Sweyne Park,"3,234",331,311,124
E05004223 : Trinity,"2,640",316,187,88
E05004224 : Wheatley,"2,942",366,204,66
E05004225 : Whitehouse,"2,788",293,203,66
E05004226 : Alresford,"1,474",132,144,51
E05004227 : Alton Park,"3,384",98,593,272
E05004228 : Ardleigh and Little Bromley,"1,746",217,155,56
E05004229 : Beaumont and Thorpe,"1,712",155,138,58
E05004230 : Bockings Elm,"3,180",137,383,181
"E05004231 : Bradfield, Wrabness and Wix","1,652",174,124,48
E05004232 : Brightlingsea,"5,822",458,637,180
E05004233 : Burrsville,"1,453",63,247,60
E05004234 : Frinton,"2,620",286,173,88
E05004235 : Golf Green,"3,546",71,628,385
E05004236 : Great and Little Oakley,"1,601",126,165,56
E05004237 : Great Bentley,"1,599",167,152,32
E05004238 : Hamford,"2,437",173,255,101
E05004239 : Harwich East,"2,003",81,352,171
E05004240 : Harwich East Central,"3,502",157,518,252
E05004241 : Harwich West,"3,470",192,503,127
E05004242 : Harwich West Central,"3,517",185,569,185
E05004243 : Haven,"1,362",71,185,54
E05004244 : Holland and Kirby,"3,340",236,355,126
E05004245 : Homelands,"1,153",57,163,49
E05004246 : Lawford,"3,195",298,313,82
E05004247 : Little Clacton and Weeley,"3,300",201,468,144
"E05004248 : Manningtree, Mistley, Little Bentley and Tendring","3,379",377,293,202
E05004249 : Peter Bruff,"3,145",129,468,163
E05004250 : Pier,"3,405",133,521,521
E05004251 : Ramsey and Parkeston,"1,664",86,199,121
E05004252 : Rush Green,"3,208",74,566,330
E05004253 : St Bartholomews,"3,037",148,396,127
E05004254 : St James,"2,834",143,335,136
E05004255 : St Johns,"3,287",107,468,159
E05004256 : St Marys,"3,462",126,543,245
E05004257 : St Osyth and Point Clear,"3,051",178,401,157
E05004258 : St Pauls,"3,162",205,321,164
"E05004259 : Thorrington, Frating, Elmstead and Great Bromley","3,407",330,324,136
E05004260 : Walton,"2,941",130,362,198
E05004261 : Ashdon,"1,247",224,61,17
E05004262 : Barnston and High Easter,"1,255",178,79,36
E05008708 : Birchanger,"1,180",189,106,22
E05008709 : Broad Oak and the Hallingburys,"2,573",371,156,55
E05004265 : Clavering,"1,042",199,55,17
E05004266 : Elsenham and Henham,"2,718",356,181,52
E05004267 : Felsted,"3,777",645,204,69
E05004268 : Great Dunmow North,"2,718",316,230,79
E05004269 : Great Dunmow South,"3,520",442,271,75
E05004270 : Hatfield Heath,"1,341",212,86,29
E05004271 : Littlebury,"1,224",247,60,20
E05004272 : Newport,"2,487",372,178,45
E05004273 : Saffron Walden Audley,"3,388",569,211,95
E05008710 : Saffron Walden Castle,"3,463",466,367,117
E05004275 : Saffron Walden Shire,"4,142",529,460,111
E05004276 : Stansted North,"2,419",394,141,46
E05008711 : Stansted South,"2,391",326,210,72
E05004278 : Stebbing,"1,168",191,64,19
E05004279 : Stort Valley,"1,148",202,57,29
E05008712 : Takeley and the Canfields,"3,467",417,337,94
E05004281 : Thaxted,"2,474",318,191,57
E05008713 : The Chesterfords,"1,197",273,69,26
E05004283 : The Eastons,"1,150",162,93,21
E05004284 : The Rodings,"1,360",158,103,36
E05004285 : The Sampfords,"1,344",218,79,21
E05004286 : Wenden Lofts,"1,128",235,67,22
E05004287 : Wimbish and Debden,"1,765",274,107,27
E05004678 : Broxbourne,"4,499",690,249,95
E05004679 : Bury Green,"4,517",279,535,236
E05004680 : Cheshunt Central,"5,380",439,578,240
E05004681 : Cheshunt North,"5,431",371,594,264
E05004682 : Flamstead End,"5,226",470,464,186
E05004683 : Goffs Oak,"6,048",704,399,201
E05004684 : Hoddesdon North,"5,244",508,451,135
E05004685 : Hoddesdon Town,"5,285",480,592,186
E05004686 : Rosedale,"3,245",178,426,160
E05004687 : Rye Park,"5,083",372,728,218
E05004688 : Theobalds,"5,128",430,630,222
E05004689 : Waltham Cross,"5,397",271,890,429
E05004690 : Wormley & Turnford,"7,116",563,779,362
E05004691 : Adeyfield East,"3,877",344,422,199
E05004692 : Adeyfield West,"3,728",308,467,180
E05004693 : Aldbury and Wigginton,"1,777",323,103,27
E05004694 : Apsley and Corner Hall,"6,792",861,604,265
E05004695 : Ashridge,"1,868",435,87,23
E05004696 : Bennetts End,"4,166",360,439,178
E05004697 : Berkhamsted Castle,"4,326","1,052",131,49
E05004698 : Berkhamsted East,"4,228",861,266,97
E05004699 : Berkhamsted West,"4,169",822,267,115
"E05004700 : Bovingdon, Flaunden and Chipperfield","6,724",979,534,276
E05004701 : Boxmoor,"5,853",959,317,126
E05004702 : Chaulden and Warners End,"6,561",646,678,229
E05004703 : Gadebridge,"3,998",370,435,133
E05004704 : Grovehill,"5,855",385,825,316
E05004705 : Hemel Hempstead Town,"4,202",434,454,263
E05004706 : Highfield,"3,963",248,551,239
E05004707 : Kings Langley,"3,740",579,229,82
E05004708 : Leverstock Green,"6,489",697,598,285
E05004709 : Nash Mills,"2,041",276,168,77
E05004710 : Northchurch,"1,903",333,114,30
E05004711 : Tring Central,"3,913",566,360,109
E05004712 : Tring East,"2,320",434,114,32
E05004713 : Tring West and Rural,"3,466",579,234,76
E05004714 : Watling,"3,968",599,280,100
E05004715 : Woodhall Farm,"4,483",467,490,203
E05004716 : Bishop's Stortford All Saints,"5,764",905,465,140
E05004717 : Bishop's Stortford Central,"7,202",990,675,243
E05004718 : Bishop's Stortford Meads,"4,156",717,239,87
E05004719 : Bishop's Stortford Silverleys,"3,925",726,167,63
E05004720 : Bishop's Stortford South,"6,361","1,039",355,115
E05004721 : Braughing,"1,847",303,139,33
E05004722 : Buntingford,"3,861",475,362,83
E05004723 : Datchworth & Aston,"1,760",311,113,48
E05004724 : Great Amwell,"2,137",300,176,43
E05004725 : Hertford Bengeo,"5,347","1,040",297,98
E05004726 : Hertford Castle,"6,263","1,265",403,143
E05004727 : Hertford Heath,"2,344",294,176,42
E05004728 : Hertford Kingsmead,"3,893",677,273,81
E05004729 : Hertford Rural North,"1,672",273,117,37
E05004730 : Hertford Rural South,"1,862",313,100,44
E05004731 : Hertford Sele,"3,891",500,422,177
E05004732 : Hunsdon,"2,035",279,170,49
E05004733 : Little Hadham,"1,777",326,100,30
E05004734 : Mundens and Cottered,"1,814",248,150,54
E05004735 : Much Hadham,"2,027",316,114,140
E05004736 : Puckeridge,"1,924",242,182,35
E05004737 : Sawbridgeworth,"6,205",899,430,172
E05004738 : Stanstead Abbots,"2,268",305,165,62
E05004739 : Thundridge & Standon,"2,237",338,194,48
E05004740 : Walkern,"2,071",344,127,55
E05004741 : Ware Chadwell,"2,254",381,148,57
E05004742 : Ware Christchurch,"3,750",544,321,112
E05004743 : Ware St Mary's,"3,994",550,335,76
E05004744 : Ware Trinity,"3,748",412,462,133
E05004745 : Watton-at-Stone,"1,704",266,122,42
E05004746 : Aldenham East,"3,424",846,93,74
E05004747 : Aldenham West,"3,499",695,152,106
E05004748 : Borehamwood Brookmeadow,"5,622",600,523,290
E05004749 : Borehamwood Cowley Hill,"5,996",399,727,374
E05004750 : Borehamwood Hillside,"7,092",801,620,331
E05004751 : Borehamwood Kenilworth,"4,384",378,439,218
E05004752 : Bushey Heath,"4,595",829,169,141
E05004753 : Bushey North,"4,967",589,366,242
E05004754 : Bushey Park,"3,389",451,184,97
E05004755 : Bushey St James,"5,408",712,351,207
E05004756 : Elstree,"3,563",691,169,114
E05004757 : Potters Bar Furzefield,"4,774",558,335,147
E05004758 : Potters Bar Oakmere,"5,361",492,461,275
E05004759 : Potters Bar Parkfield,"5,568",837,239,160
E05004760 : Shenley,"3,869",579,240,117
E05004761 : Arbury,"1,928",402,111,36
E05004762 : Baldock East,"2,145",357,139,33
E05004763 : Baldock Town,"5,103",655,452,196
E05004764 : Cadwell,"1,610",231,132,59
E05004765 : Chesfield,"5,242",904,344,114
E05004766 : Codicote,"1,848",324,117,40
E05004767 : Ermine,"1,870",330,132,28
E05004768 : Hitchin Bearton,"6,443","1,139",484,242
E05004769 : Hitchin Highbury,"5,470","1,059",264,167
E05004770 : Hitchin Oughton,"3,592",364,520,196
E05004771 : Hitchin Priory,"3,128",711,119,79
E05004772 : Hitchin Walsworth,"5,837",863,504,207
"E05004773 : Hitchwood, Offa and Hoo","5,173",845,396,132
E05004774 : Kimpton,"1,582",323,96,30
E05004775 : Knebworth,"3,792",710,230,78
E05004776 : Letchworth East,"4,196",489,514,163
E05004777 : Letchworth Grange,"4,888",481,625,213
E05004778 : Letchworth South East,"5,388",621,606,268
E05004779 : Letchworth South West,"5,335",960,403,152
E05004780 : Letchworth Wilbury,"3,725",386,453,181
E05004781 : Royston Heath,"3,723",662,273,57
E05004782 : Royston Meridian,"3,970",627,338,70
E05004783 : Royston Palace,"3,981",456,447,110
E05004784 : Weston and Sandon,"1,541",288,78,21
E05004785 : Ashley,"5,780","1,216",289,258
E05004786 : Batchwood,"5,265",965,330,218
E05004787 : Clarence,"5,010","1,371",177,152
E05004788 : Colney Heath,"4,250",796,288,155
E05004789 : Cunningham,"4,754",777,396,216
E05004790 : Harpenden East,"5,178","1,173",283,104
E05004791 : Harpenden North,"4,938","1,287",206,77
E05004792 : Harpenden South,"4,729","1,197",169,58
E05004793 : Harpenden West,"5,143","1,567",142,107
E05004794 : London Colney,"7,006",874,565,282
E05004795 : Marshalswick North,"4,588",812,281,109
E05004796 : Marshalswick South,"5,090","1,337",173,120
E05004797 : Park Street,"5,266",813,335,184
E05004798 : Redbourn,"4,368",782,268,102
E05004799 : St Peters,"5,955","1,647",254,218
E05004800 : St Stephen,"4,614",777,205,124
E05004801 : Sandridge,"3,656",677,195,63
E05004802 : Sopwell,"5,256",944,448,279
E05004803 : Verulam,"4,579","1,185",110,59
E05004804 : Wheathampstead,"4,438",854,278,106
E05004805 : Bandley Hill,"4,738",453,542,195
E05004806 : Bedwell,"4,877",307,700,336
E05004807 : Chells,"4,835",386,581,159
E05004808 : Longmeadow,"4,294",412,432,156
E05004809 : Manor,"4,852",652,371,104
E05004810 : Martins Wood,"4,683",390,506,215
E05004811 : Old Town,"5,789",717,517,247
E05004812 : Pin Green,"4,554",357,559,246
E05004813 : Roebuck,"4,583",419,548,250
E05004814 : St Nicholas,"4,865",331,650,248
E05004815 : Shephall,"4,333",261,556,197
E05004816 : Symonds Green,"4,312",439,471,191
E05004817 : Woodfield,"4,273",673,283,192
E05004818 : Abbots Langley,"3,355",469,223,80
E05004819 : Ashridge,"2,717",163,309,150
E05004820 : Bedmond & Primrose Hill,"3,015",450,246,60
E05004821 : Carpenders Park,"3,590",402,242,145
E05004822 : Chorleywood East,"2,804",660,59,66
E05004823 : Chorleywood West,"3,812",937,107,65
E05004824 : Croxley Green,"3,888",607,221,72
E05004825 : Croxley Green North,"2,330",321,131,39
E05004826 : Croxley Green South,"2,685",437,117,56
E05004827 : Hayling,"2,580",130,342,123
E05004828 : Langleybury,"3,678",453,296,128
