KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001097 : Fawdon,"7,179",362,"1,085",667
E05001098 : Fenham,"7,965",415,"1,150",609
E05001099 : Kenton,"8,223",672,"1,162",864
E05001100 : Lemington,"7,525",365,"1,113",424
E05001101 : Newburn,"6,989",489,"1,082",391
E05001102 : North Heaton,"7,310",987,581,268
E05001103 : North Jesmond,"9,887","1,204",161,116
E05001104 : Ouseburn,"10,324",750,619,465
E05001105 : Parklands,"7,026","1,646",298,226
E05001106 : South Heaton,"8,787",756,666,408
E05001107 : South Jesmond,"9,903","1,239",270,207
E05001108 : Walker,"8,190",144,"1,971","1,338"
E05001109 : Walkergate,"7,103",364,"1,254",520
E05001110 : Westerhope,"6,810",621,673,189
E05001111 : Westgate,"8,701",731,706,804
E05001112 : West Gosforth,"7,208","2,135",306,288
E05001113 : Wingrove,"10,644",690,822,"1,180"
E05001114 : Woolsington,"7,817",432,"1,264",624
E05001115 : Battle Hill,"8,198",456,"1,168",380
E05001116 : Benton,"7,536",795,852,325
E05001117 : Camperdown,"7,704",455,"1,246",418
E05001118 : Chirton,"8,606",317,"1,608",802
E05001119 : Collingwood,"8,079",570,"1,099",490
E05001120 : Cullercoats,"6,561",760,559,177
E05001121 : Howdon,"8,044",326,"1,470",681
E05001122 : Killingworth,"7,266",746,806,268
E05001123 : Longbenton,"7,832",712,"1,167",454
E05001124 : Monkseaton North,"6,639","1,131",298,145
E05001125 : Monkseaton South,"6,976",750,639,270
E05001126 : Northumberland,"6,279",356,899,232
E05001127 : Preston,"6,302",689,591,183
E05001128 : Riverside,"8,484",530,"1,422",897
E05001129 : St Mary's,"5,905",980,239,103
E05001130 : Tynemouth,"7,826","1,311",618,259
E05001131 : Valley,"7,946",768,"1,009",391
E05001132 : Wallsend,"7,999",536,"1,104",578
E05001133 : Weetslade,"6,653",489,748,252
E05001134 : Whitley Bay,"7,054",982,497,355
E05001135 : Beacon and Bents,"6,837",403,"1,045",781
E05001136 : Bede,"5,506",182,"1,132",477
E05001137 : Biddick and All Saints,"6,170",161,"1,322",723
E05001138 : Boldon Colliery,"6,859",471,"1,030",392
E05001139 : Cleadon and East Boldon,"6,080","1,045",285,142
E05001140 : Cleadon Park,"4,973",257,916,467
E05001141 : Fellgate and Hedworth,"5,842",313,975,392
E05001142 : Harton,"6,009",363,965,418
E05001143 : Hebburn North,"6,641",381,"1,067",477
E05001144 : Hebburn South,"5,486",340,942,323
E05001145 : Horsley Hill,"6,499",463,963,434
E05001146 : Monkton,"6,088",345,935,374
E05001147 : Primrose,"5,943",245,"1,137",581
E05001148 : Simonside and Rekendyke,"6,565",216,"1,345",762
E05001149 : Westoe,"6,102",545,661,287
E05001150 : West Park,"5,980",362,847,352
E05001151 : Whitburn and Marsden,"5,391",452,677,310
E05001152 : Whiteleas,"6,010",251,"1,169",457
E05001153 : Barnes,"7,945",506,996,495
E05001154 : Castle,"7,901",237,"1,771",629
E05001155 : Copt Hill,"8,268",508,"1,264",510
E05001156 : Doxford,"7,572",533,944,320
E05001157 : Fulwell,"8,516",724,813,196
E05001158 : Hendon,"9,834",392,"1,705","1,403"
E05001159 : Hetton,"8,247",395,"1,585",644
E05001160 : Houghton,"8,276",462,"1,364",466
E05001161 : Millfield,"9,355",419,"1,174",721
E05001162 : Pallion,"7,483",217,"1,647",808
E05001163 : Redhill,"8,241",206,"1,905",892
E05001164 : Ryhope,"7,675",457,"1,203",486
E05001165 : St Anne's,"8,104",286,"1,628",829
E05001166 : St Chad's,"6,814",479,"1,005",429
E05001167 : St Michael's,"8,427",858,794,530
E05001168 : St Peter's,"8,105",579,"1,034",411
E05001169 : Sandhill,"8,149",221,"1,738",791
E05001170 : Shiney Row,"9,233",613,"1,394",546
E05001171 : Silksworth,"7,732",356,"1,345",501
E05001172 : Southwick,"7,726",228,"1,757",822
E05001173 : Washington Central,"8,409",552,"1,301",369
E05001174 : Washington East,"8,220",740,"1,098",393
