QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05002223 : Southchurch,"2,649",586,848,528,687
E05002224 : Thorpe,"2,368",708,947,410,303
E05002225 : Victoria,"3,964",515,"1,144",887,"1,418"
E05002226 : Westborough,"3,703",633,"1,317",807,946
E05002227 : West Leigh,"2,631",960,"1,025",407,239
E05002228 : West Shoebury,"2,799",579,902,600,718
E05002229 : Aveley and Uplands,"2,808",318,867,811,812
E05002230 : Belhus,"3,116",302,879,865,"1,070"
E05002231 : Chadwell St Mary,"2,730",245,723,781,981
E05002232 : Chafford and North Stifford,"2,619",705,"1,020",502,392
E05002233 : Corringham and Fobbing,"1,445",259,486,421,279
E05002234 : East Tilbury,"2,044",255,654,562,573
E05002235 : Grays Riverside,"4,422",661,"1,355",959,"1,447"
E05002236 : Grays Thurrock,"2,647",397,830,639,781
E05002237 : Little Thurrock Blackshots,"1,534",246,490,419,379
E05002238 : Little Thurrock Rectory,"1,819",304,676,468,371
E05002239 : Ockendon,"3,134",405,"1,003",813,913
E05002240 : Orsett,"1,747",429,655,390,273
E05002241 : South Chafford,"2,587",789,"1,025",450,323
E05002242 : Stanford East and Corringham Town,"2,300",240,681,707,672
E05002243 : Stanford-le-Hope West,"1,981",282,641,578,480
E05002244 : Stifford Clays,"1,614",269,508,451,386
E05002245 : The Homesteads,"2,457",402,818,706,531
E05002246 : Tilbury Riverside and Thurrock Park,"2,208",178,557,576,897
E05002247 : Tilbury St Chads,"1,853",147,485,472,749
E05002248 : West Thurrock and South Stifford,"3,872",512,"1,219",977,"1,164"
E05002702 : Abbey,"3,396","1,046",830,582,938
E05002703 : Arbury,"2,990","1,016",751,466,757
E05002704 : Castle,"1,536",843,447,103,143
E05002705 : Cherry Hinton,"2,710",888,778,468,576
E05002706 : Coleridge,"2,955","1,179",873,383,520
E05002707 : East Chesterton,"3,226","1,192",833,446,755
E05002708 : King's Hedges,"3,197",756,826,617,998
E05002709 : Market,"1,294",654,421,90,129
E05002710 : Newnham,"1,202",735,347,46,74
E05002711 : Petersfield,"2,895","1,482",904,169,340
E05002712 : Queen Edith's,"2,493","1,195",771,264,263
E05002713 : Romsey,"3,328","1,541","1,024",325,438
E05002714 : Trumpington,"2,676","1,304",756,261,355
E05002715 : West Chesterton,"2,993","1,568",834,247,344
E05002716 : Bottisham,"1,085",362,289,254,180
E05002717 : Burwell,"1,851",629,570,397,255
E05002718 : Cheveley,"1,188",385,447,221,135
E05002719 : Downham Villages,"1,280",332,373,354,221
E05002720 : Dullingham Villages,687,194,267,127,99
E05002721 : Ely East,"1,273",432,413,213,215
E05002722 : Ely North,"2,296",782,672,422,420
E05002723 : Ely South,"1,438",554,420,273,191
E05002724 : Ely West,"1,312",429,380,254,249
E05002725 : Fordham Villages,"1,157",322,360,281,194
E05002726 : Haddenham,"1,713",486,449,499,279
E05002727 : Isleham,688,189,184,198,117
E05002728 : Littleport East,"1,563",247,439,464,413
E05002729 : Littleport West,"1,083",168,283,325,307
E05002730 : Soham North,"1,682",314,486,485,397
E05002731 : Soham South,"2,015",371,529,594,521
E05002732 : Stretham,"1,178",346,346,277,209
E05002733 : Sutton,"1,231",330,352,317,232
E05002734 : The Swaffhams,561,231,142,108,80
E05002735 : Bassenhally,472,58,166,138,110
"E05002736 : Benwick, Coates and Eastrea","1,397",230,436,424,307
E05002737 : Birch,734,100,213,208,213
E05002738 : Clarkson,736,77,138,157,364
E05002739 : Delph,599,112,189,166,132
E05002740 : Doddington,636,136,184,187,129
E05002741 : Elm and Christchurch,"1,369",188,368,401,412
E05002742 : Hill,"1,604",146,363,379,716
E05002743 : Kingsmoor,495,53,119,151,172
E05002744 : Kirkgate,636,64,131,154,287
E05002745 : Lattersey,680,100,194,183,203
E05002746 : Manea,635,85,187,224,139
E05002747 : March East,"2,216",202,662,615,737
E05002748 : March North,"2,129",265,586,635,643
E05002749 : March West,"1,905",309,533,543,520
E05002750 : Medworth,817,70,169,161,417
E05002751 : Parson Drove and Wisbech St Mary,"1,435",226,379,393,437
E05002752 : Peckover,701,110,177,168,246
E05002753 : Roman Bank,"1,726",227,437,529,533
E05002754 : St Andrews,725,100,218,226,181
E05002755 : St Marys,850,124,245,238,243
E05002756 : Slade Lode,897,127,271,214,285
E05002757 : Staithe,720,63,129,173,355
E05002758 : The Mills,871,146,240,252,233
E05002759 : Waterlees,"1,627",75,248,358,946
E05002760 : Wenneye,756,134,223,203,196
E05002761 : Wimblington,600,108,191,170,131
E05008525 : Alconbury and The Stukeleys,977,288,346,195,148
E05002763 : Brampton,"1,804",630,708,274,192
E05008526 : Buckden,923,324,300,176,123
E05008527 : Earith,"1,763",644,555,379,185
E05008576 : Ellington,919,353,330,134,102
E05002767 : Elton and Folksworth,801,278,266,162,95
E05008577 : Fenstanton,997,320,351,189,137
E05002769 : Godmanchester,"2,172",649,737,413,373
E05008528 : Gransden and The Offords,"1,299",523,418,223,135
E05002771 : Huntingdon East,"2,938",667,892,600,779
E05002772 : Huntingdon North,"2,018",196,467,450,905
E05008529 : Huntingdon West,"2,666",760,959,408,539
E05008578 : Kimbolton and Staughton,949,386,276,176,111
E05008579 : Little Paxton,975,263,331,216,165
E05008531 : Ramsey,"2,594",517,794,678,605
E05002777 : St Ives East,"2,440",545,787,602,506
E05008580 : St Ives South,"1,970",586,645,359,380
E05002779 : St Ives West,822,196,283,176,167
E05008581 : St Neots Eaton Ford,"2,089",577,699,484,329
E05002781 : St Neots Eaton Socon,"1,790",341,527,457,465
E05008533 : St Neots Eynesbury,"3,426",681,"1,023",867,855
E05008582 : St Neots Priory Park,"2,626",625,838,594,569
E05002784 : Sawtry,"1,923",458,693,472,300
E05008583 : Somersham,"1,817",475,629,453,260
E05002786 : Stilton,955,267,332,206,150
E05008535 : The Hemingfords,"1,663",713,558,219,173
E05008584 : Upwood and The Raveleys,"1,120",282,420,246,172
E05008537 : Warboys and Bury,"1,869",472,648,412,337
E05002790 : Yaxley and Farcet,"3,466",701,"1,120",913,732
E05002791 : Balsham,"1,300",529,343,275,153
E05002792 : Bar Hill,"1,626",490,547,342,247
E05002793 : Barton,689,343,163,107,76
E05002794 : Bassingbourn,"1,435",435,469,296,235
E05002796 : Caldecote,729,349,178,131,71
E05002797 : Comberton,636,293,165,114,64
E05002798 : Cottenham,"2,366",943,684,447,292
E05002799 : Duxford,798,318,200,143,137
E05002800 : Fowlmere and Foxton,661,301,162,123,75
E05002801 : Fulbourn,"1,306",477,379,269,181
E05002802 : Gamlingay,"1,432",429,423,370,210
E05002803 : Girton,"1,148",602,294,142,110
E05002804 : Hardwick,846,286,264,188,108
E05002805 : Harston and Hauxton,673,305,188,98,82
E05002806 : Haslingfield and The Eversdens,708,341,183,117,67
E05002807 : Histon and Impington,"3,158","1,250",851,544,513
E05002808 : Linton,"1,370",513,393,252,212
E05002809 : Longstanton,870,321,302,129,118
E05002810 : Melbourn,"1,609",568,457,335,249
E05002811 : Meldreth,706,250,201,150,105
E05002812 : Milton,"1,511",655,353,260,243
E05002813 : Orwell and Barrington,631,255,167,106,103
E05002815 : Sawston,"2,093",568,589,492,444
E05002816 : Swavesey,768,287,242,153,86
E05002817 : Teversham,"1,055",384,321,183,167
E05002818 : The Abingtons,671,294,181,122,74
E05002819 : The Mordens,693,292,200,137,64
E05002820 : The Shelfords and Stapleford,"2,054","1,014",529,252,259
E05002821 : The Wilbrahams,850,331,232,158,129
E05002822 : Waterbeach,"1,729",577,580,309,263
E05002823 : Whittlesford,819,368,221,122,108
E05002824 : Willingham and Over,"2,065",746,606,422,291
E05002795 : Bourn,"3,371","1,492",963,526,390
E05002814 : Papworth and Elsworth,"1,549",544,499,250,256
E05004021 : Billericay East,"3,372","1,271","1,237",510,354
E05004022 : Billericay West,"3,592","1,241","1,362",572,417
E05004023 : Burstead,"2,886",855,"1,093",556,382
E05004024 : Crouch,"2,736",657,"1,007",583,489
E05004025 : Fryerns,"3,988",388,"1,052","1,058","1,490"
E05004026 : Laindon Park,"3,715",582,"1,160",911,"1,062"
E05004027 : Langdon Hills,"2,951",810,"1,133",560,448
E05004028 : Lee Chapel North,"4,335",435,"1,205","1,033","1,662"
E05004029 : Nethermayne,"3,567",556,"1,158",857,996
E05004030 : Pitsea North West,"4,343",408,"1,209","1,100","1,626"
E05004031 : Pitsea South East,"3,779",421,"1,050","1,003","1,305"
E05004032 : St Martin's,"2,792",287,802,711,992
E05004033 : Vange,"3,231",271,883,786,"1,291"
E05004034 : Wickford Castledon,"2,048",387,752,562,347
E05004035 : Wickford North,"3,515",676,"1,235",896,708
E05004036 : Wickford Park,"3,331",749,"1,340",692,550
E05004037 : Black Notley and Terling,"1,135",319,399,239,178
E05004038 : Bocking Blackwater,"2,511",480,845,714,472
E05004039 : Bocking North,"1,412",235,412,399,366
E05004040 : Bocking South,"1,777",224,499,489,565
"E05004041 : Bradwell, Silver End and Rivenhall","1,532",242,486,421,383
E05004042 : Braintree Central,"3,080",532,"1,035",779,734
E05004043 : Braintree East,"2,451",350,688,649,764
E05004044 : Braintree South,"2,453",350,834,664,605
E05004045 : Bumpstead,746,231,247,163,105
E05004046 : Coggeshall and North Feering,"1,497",484,488,293,232
E05004047 : Cressing and Stisted,652,148,181,190,133
E05004048 : Gosfield and Greenstead Green,632,167,196,184,85
E05004049 : Great Notley and Braintree West,"2,172",676,829,392,275
E05004050 : Halstead St Andrew's,"2,233",412,738,590,493
E05004051 : Halstead Trinity,"1,574",198,412,494,470
E05004052 : Hatfield Peverel,"1,208",349,397,264,198
E05004053 : Hedingham and Maplestead,"1,924",429,581,549,365
E05004054 : Kelvedon,"1,555",494,524,282,255
E05004055 : Panfield,595,173,196,148,78
E05004056 : Rayne,675,158,228,179,110
E05004057 : Stour Valley North,644,207,187,151,99
E05004058 : Stour Valley South,604,179,207,135,83
E05004059 : The Three Colnes,"1,496",407,491,358,240
E05004060 : Three Fields,"1,148",330,399,273,146
E05004061 : Upper Colne,625,147,195,186,97
E05004062 : Witham Chipping Hill and Central,"1,475",317,539,294,325
E05004063 : Witham North,"1,533",210,460,413,450
E05004064 : Witham South,"3,070",628,"1,070",677,695
E05004065 : Witham West,"2,228",292,695,576,665
E05004066 : Yeldham,608,114,188,197,109
E05004067 : Brentwood North,"2,073",596,739,402,336
E05004068 : Brentwood South,"1,917",581,663,299,374
E05004069 : Brentwood West,"2,630",843,"1,026",413,348
E05004070 : Brizes and Doddinghurst,"1,539",396,568,328,247
"E05004071 : Herongate, Ingrave and West Horndon","1,007",317,365,195,130
E05004072 : Hutton Central,"1,014",376,363,154,121
E05004073 : Hutton East,985,303,362,174,146
E05004074 : Hutton North,"1,198",331,424,218,225
E05004075 : Hutton South,"1,129",453,449,145,82
"E05004076 : Ingatestone, Fryerning and Mountnessing","1,604",560,544,288,212
E05004077 : Pilgrims Hatch,"1,627",358,541,399,329
E05004078 : Shenfield,"1,404",704,488,118,94
E05004079 : South Weald,545,175,228,79,63
E05004080 : Tipps Cross,942,280,312,205,145
E05004081 : Warley,"1,899",650,714,288,247
E05004082 : Appleton,"1,747",372,610,439,326
E05004083 : Boyce,"1,738",499,675,348,216
E05004084 : Canvey Island Central,"1,812",162,521,563,566
E05004085 : Canvey Island East,"1,825",186,579,579,481
E05004086 : Canvey Island North,"1,673",178,505,512,478
E05004087 : Canvey Island South,"1,737",209,545,535,448
E05004088 : Canvey Island West,"1,548",166,441,481,460
E05004089 : Canvey Island Winter Gardens,"2,174",285,661,628,600
E05004090 : Cedar Hall,"1,487",308,566,365,248
E05004091 : St George's,"1,555",262,536,457,300
E05004092 : St James,"1,812",386,693,415,318
E05004093 : St Mary's,"1,666",326,588,461,291
E05004094 : St Peter's,"1,732",311,624,479,318
E05004095 : Victoria,"1,555",323,585,352,295
E05004096 : Bicknacre and East and West Hanningfield,"1,438",411,468,301,258
E05004097 : Boreham and The Leighs,"1,891",529,632,424,306
E05004098 : Broomfield and The Walthams,"2,260",725,794,421,320
E05004099 : Chelmer Village and Beaulieu Park,"3,893","1,316","1,434",642,501
E05004100 : Chelmsford Rural West,773,236,254,184,99
E05004101 : Galleywood,"1,665",402,545,352,366
E05004102 : Goat Hall,"1,649",469,570,373,237
E05004103 : Great Baddow East,"2,522",674,900,472,476
E05004104 : Great Baddow West,"1,938",498,612,393,435
"E05004105 : Little Baddow, Danbury and Sandon","2,085",797,699,336,253
E05004106 : Marconi,"2,594",784,883,391,536
E05004107 : Moulsham and Central,"3,880","1,399","1,452",517,512
E05004108 : Moulsham Lodge,"1,520",403,544,316,257
E05004109 : Patching Hall,"2,702",707,893,515,587
E05004110 : Rettendon and Runwell,"1,288",285,424,342,237
E05004111 : St Andrews,"2,731",654,858,539,680
"E05004112 : South Hanningfield, Stock and Margaretting","1,537",534,518,287,198
E05004113 : South Woodham-Chetwood and Collingwood,"2,809",795,"1,052",524,438
E05004114 : South Woodham-Elmwood and Woodville,"2,469",540,942,582,405
E05004115 : Springfield North,"3,018",767,"1,078",683,490
E05004116 : The Lawns,"1,431",431,542,273,185
E05004117 : Trinity,"1,869",599,683,292,295
E05004118 : Waterhouse Farm,"2,007",482,670,381,474
E05004119 : Writtle,"1,400",443,463,269,225
E05004120 : Berechurch,"2,873",353,878,788,854
E05004121 : Birch and Winstree,"1,573",462,535,370,206
E05004122 : Castle,"3,993","1,104","1,541",595,753
E05004123 : Christ Church,"1,481",604,521,166,190
E05004124 : Copford and West Stanway,542,196,186,110,50
E05004125 : Dedham and Langham,797,298,242,152,105
E05004126 : East Donyland,885,183,280,220,202
E05004127 : Fordham and Stour,"1,482",475,470,343,194
E05004128 : Great Tey,751,260,254,146,91
E05004129 : Harbour,"2,145",314,671,525,635
E05004130 : Highwoods,"3,640",866,"1,286",654,834
E05004131 : Lexden,"1,540",507,511,258,264
E05004132 : Marks Tey,798,185,293,196,124
E05004133 : Mile End,"3,767","1,199","1,429",544,595
E05004134 : New Town,"3,826",664,"1,344",760,"1,058"
E05004135 : Prettygate,"1,896",484,641,431,340
E05004136 : Pyefleet,710,221,228,178,83
E05004137 : St Andrew's,"3,484",269,"1,289",642,"1,284"
E05004138 : St Anne's,"2,801",421,877,690,813
E05004139 : St John's,"1,255",303,431,293,228
E05004140 : Shrub End,"3,190",521,"1,331",619,719
E05004141 : Stanway,"2,459",539,861,591,468
E05004142 : Tiptree,"2,102",408,614,549,531
E05004143 : West Bergholt and Eight Ash Green,"1,395",462,431,287,215
E05004144 : West Mersea,"1,855",449,606,461,339
E05004145 : Wivenhoe Cross,832,174,359,181,118
E05004146 : Wivenhoe Quay,"1,665",635,580,259,191
"E05004147 : Broadley Common, Epping Upland and Nazeing",554,132,204,152,66
E05004148 : Buckhurst Hill East,"1,443",415,550,242,236
E05004149 : Buckhurst Hill West,"2,133",844,853,230,206
E05004150 : Chigwell Row,618,171,246,106,95
E05004151 : Chigwell Village,"1,095",399,420,127,149
"E05004152 : Chipping Ongar, Greensted and Marden Ash","1,097",287,384,238,188
E05004153 : Epping Hemnall,"1,917",627,715,320,255
E05004154 : Epping Lindsey and Thornwood Common,"1,793",513,638,340,302
E05004155 : Grange Hill,"1,877",446,689,318,424
"E05004156 : Hastingwood, Matching and Sheering Village",601,172,194,153,82
"E05004157 : High Ongar, Willingale and The Rodings",582,153,209,127,93
E05004158 : Lambourne,609,121,225,124,139
E05004159 : Loughton Alderton,"1,414",252,486,326,350
E05004160 : Loughton Broadway,"1,421",214,450,382,375
E05004161 : Loughton Fairmead,"1,414",213,511,363,327
E05004162 : Loughton Forest,"1,260",510,512,135,103
E05004163 : Loughton Roding,"1,471",376,528,299,268
E05004164 : Loughton St John's,"1,294",435,500,190,169
E05004165 : Loughton St Mary's,"1,306",443,491,185,187
E05004166 : Lower Nazeing,989,255,329,243,162
E05004167 : Lower Sheering,769,199,325,160,85
E05004168 : Moreton and Fyfield,567,146,220,120,81
E05004169 : North Weald Bassett,"1,274",270,445,328,231
E05004170 : Passingford,617,160,235,140,82
E05004171 : Roydon,584,170,212,125,77
E05004172 : Shelley,635,96,197,173,169
E05004173 : Theydon Bois,"1,086",367,432,163,124
E05004174 : Waltham Abbey High Beach,640,142,234,144,120
E05004175 : Waltham Abbey Honey Lane,"2,035",341,741,485,468
E05004176 : Waltham Abbey North East,"1,208",172,374,339,323
E05004177 : Waltham Abbey Paternoster,"1,322",154,388,384,396
E05004178 : Waltham Abbey South West,"1,559",277,559,359,364
E05004179 : Bush Fair,"2,381",236,714,621,810
E05004180 : Church Langley,"3,032",757,"1,240",620,415
E05004181 : Great Parndon,"2,034",316,650,510,558
E05004182 : Harlow Common,"2,230",280,664,624,662
E05004183 : Little Parndon and Hare Street,"2,636",394,793,605,844
E05004184 : Mark Hall,"2,221",262,620,535,804
E05004185 : Netteswell,"2,364",295,721,583,765
E05004186 : Old Harlow,"2,137",507,771,474,385
E05004187 : Staple Tye,"2,335",246,688,596,805
E05004188 : Sumners and Kingsmoor,"2,361",317,727,621,696
E05004189 : Toddbrook,"2,418",290,724,596,808
E05004190 : Althorne,"1,147",239,361,333,214
E05004191 : Burnham-on-Crouch North,997,235,307,246,209
E05004192 : Burnham-on-Crouch South,"1,309",284,428,304,293
E05004193 : Great Totham,984,322,317,214,131
E05004194 : Heybridge East,"1,315",277,446,335,257
E05004195 : Heybridge West,"1,295",260,395,353,287
E05004196 : Maldon East,664,117,178,173,196
E05004197 : Maldon North,"1,279",321,381,275,302
E05004198 : Maldon South,"1,155",280,380,290,205
E05004199 : Maldon West,"1,039",285,321,251,182
E05004200 : Mayland,"1,257",262,397,396,202
E05004201 : Purleigh,890,265,313,184,128
E05004202 : Southminster,"1,263",195,366,405,297
E05004203 : Tillingham,624,154,180,177,113
E05004204 : Tollesbury,619,150,170,197,102
E05004205 : Tolleshunt D'Arcy,"1,128",288,362,298,180
E05004206 : Wickham Bishops and Woodham,886,361,308,123,94
E05004207 : Ashingdon and Canewdon,"1,223",300,409,311,203
E05004208 : Barling and Sutton,512,104,165,163,80
E05004209 : Downhall and Rawreth,"1,368",397,547,250,174
E05004210 : Foulness and Great Wakering,"1,625",287,575,445,318
E05004211 : Grange,"1,078",266,448,220,144
E05004212 : Hawkwell North,"1,241",285,503,295,158
E05004213 : Hawkwell South,"1,266",201,445,346,274
E05004214 : Hawkwell West,"1,036",270,428,232,106
E05004215 : Hockley Central,"1,719",455,700,350,214
E05004216 : Hockley North,541,154,226,106,55
E05004217 : Hockley West,548,173,240,93,42
E05004218 : Hullbridge,"1,667",299,556,514,298
E05004219 : Lodge,"1,057",271,403,234,149
E05004220 : Rayleigh Central,"1,100",273,405,264,158
E05004221 : Rochford,"2,332",398,738,612,584
E05004222 : Sweyne Park,"1,400",307,540,302,251
E05004223 : Trinity,847,247,343,173,84
E05004224 : Wheatley,"1,096",292,424,220,160
E05004225 : Whitehouse,"1,033",248,420,236,129
E05004226 : Alresford,528,117,146,168,97
E05004227 : Alton Park,"1,531",104,355,406,666
E05004228 : Ardleigh and Little Bromley,641,187,208,150,96
E05004229 : Beaumont and Thorpe,640,150,203,172,115
E05004230 : Bockings Elm,"1,206",127,348,338,393
"E05004231 : Bradfield, Wrabness and Wix",595,148,179,147,121
E05004232 : Brightlingsea,"2,356",441,699,707,509
E05004233 : Burrsville,466,39,111,173,143
E05004234 : Frinton,902,242,319,159,182
E05004235 : Golf Green,"1,468",69,314,357,728
E05004236 : Great and Little Oakley,598,121,202,163,112
E05004237 : Great Bentley,603,145,196,161,101
E05004238 : Hamford,813,148,259,215,191
E05004239 : Harwich East,958,89,223,262,384
E05004240 : Harwich East Central,"1,574",156,462,380,576
E05004241 : Harwich West,"1,302",165,430,340,367
E05004242 : Harwich West Central,"1,423",155,386,387,495
E05004243 : Haven,415,44,127,115,129
E05004244 : Holland and Kirby,"1,210",228,390,332,260
E05004245 : Homelands,360,45,109,82,124
E05004246 : Lawford,"1,260",286,424,320,230
E05004247 : Little Clacton and Weeley,"1,177",158,357,368,294
"E05004248 : Manningtree, Mistley, Little Bentley and Tendring","1,435",383,479,280,293
E05004249 : Peter Bruff,"1,314",139,323,373,479
E05004250 : Pier,"1,521",104,359,367,691
E05004251 : Ramsey and Parkeston,708,67,208,208,225
E05004252 : Rush Green,"1,337",59,273,326,679
E05004253 : St Bartholomews,974,121,308,276,269
E05004254 : St James,995,114,323,270,288
E05004255 : St Johns,"1,183",105,328,351,399
E05004256 : St Marys,"1,446",104,355,395,592
E05004257 : St Osyth and Point Clear,"1,094",139,321,303,331
E05004258 : St Pauls,"1,186",207,335,288,356
"E05004259 : Thorrington, Frating, Elmstead and Great Bromley","1,249",288,393,342,226
E05004260 : Walton,"1,129",122,321,290,396
E05004261 : Ashdon,483,193,147,88,55
E05004262 : Barnston and High Easter,471,162,148,109,52
E05008708 : Birchanger,498,143,176,107,72
E05008709 : Broad Oak and the Hallingburys,915,314,304,201,96
E05004265 : Clavering,367,164,89,66,48
E05004266 : Elsenham and Henham,"1,054",281,381,251,141
E05004267 : Felsted,"1,444",519,487,289,149
E05004268 : Great Dunmow North,"1,164",296,416,262,190
E05004269 : Great Dunmow South,"1,522",410,502,351,259
E05004270 : Hatfield Heath,487,171,148,109,59
E05004271 : Littlebury,470,213,135,71,51
E05004272 : Newport,972,347,307,198,120
E05004273 : Saffron Walden Audley,"1,414",521,431,255,207
E05008710 : Saffron Walden Castle,"1,454",426,426,317,285
E05004275 : Saffron Walden Shire,"1,736",479,503,404,350
E05004276 : Stansted North,897,322,321,165,89
E05008711 : Stansted South,"1,054",301,374,206,173
E05004278 : Stebbing,424,153,148,78,45
E05004279 : Stort Valley,452,181,141,72,58
E05008712 : Takeley and the Canfields,"1,422",358,483,318,263
E05004281 : Thaxted,947,284,305,201,157
E05008713 : The Chesterfords,478,227,144,61,46
E05004283 : The Eastons,443,143,154,100,46
E05004284 : The Rodings,529,154,198,108,69
E05004285 : The Sampfords,480,196,149,89,46
E05004286 : Wenden Lofts,436,199,114,77,46
E05004287 : Wimbish and Debden,617,211,242,106,58
E05004678 : Broxbourne,"1,607",592,592,257,166
E05004679 : Bury Green,"1,752",226,590,490,446
E05004680 : Cheshunt Central,"2,192",393,760,531,508
E05004681 : Cheshunt North,"2,201",314,725,576,586
E05004682 : Flamstead End,"2,003",372,706,512,413
E05004683 : Goffs Oak,"2,234",598,839,437,360
E05004684 : Hoddesdon North,"1,899",393,635,503,368
E05004685 : Hoddesdon Town,"2,383",458,763,604,558
E05004686 : Rosedale,"1,341",175,424,383,359
E05004687 : Rye Park,"2,108",319,620,616,553
E05004688 : Theobalds,"2,036",345,658,546,487
E05004689 : Waltham Cross,"2,508",303,743,591,871
E05004690 : Wormley & Turnford,"3,232",516,"1,078",780,858
E05004691 : Adeyfield East,"1,643",342,526,367,408
E05004692 : Adeyfield West,"1,597",274,500,379,444
E05004693 : Aldbury and Wigginton,714,305,223,117,69
E05004694 : Apsley and Corner Hall,"3,176",841,"1,143",613,579
E05004695 : Ashridge,700,326,224,95,55
E05004696 : Bennetts End,"1,742",324,567,424,427
E05004697 : Berkhamsted Castle,"1,962","1,008",660,190,104
E05004698 : Berkhamsted East,"1,881",862,548,226,245
E05004699 : Berkhamsted West,"1,759",771,502,255,231
"E05004700 : Bovingdon, Flaunden and Chipperfield","2,360",877,816,399,268
E05004701 : Boxmoor,"2,559",914,891,444,310
E05004702 : Chaulden and Warners End,"2,742",603,926,651,562
E05004703 : Gadebridge,"1,759",348,589,414,408
E05004704 : Grovehill,"2,647",392,780,645,830
E05004705 : Hemel Hempstead Town,"2,125",441,697,425,562
E05004706 : Highfield,"1,743",239,547,433,524
E05004707 : Kings Langley,"1,499",558,522,263,156
E05004708 : Leverstock Green,"2,535",576,822,550,587
E05004709 : Nash Mills,836,219,288,171,158
E05004710 : Northchurch,806,303,278,131,94
E05004711 : Tring Central,"1,630",518,518,337,257
E05004712 : Tring East,899,417,292,120,70
E05004713 : Tring West and Rural,"1,541",569,538,254,180
E05004714 : Watling,"1,695",555,573,344,223
E05004715 : Woodhall Farm,"2,252",484,808,437,523
E05004716 : Bishop's Stortford All Saints,"2,317",833,703,410,371
E05004717 : Bishop's Stortford Central,"3,305",951,"1,087",641,626
E05004718 : Bishop's Stortford Meads,"1,878",671,678,285,244
E05004719 : Bishop's Stortford Silverleys,"1,631",704,543,231,153
E05004720 : Bishop's Stortford South,"2,625",950,937,445,293
E05004721 : Braughing,726,246,213,162,105
E05004722 : Buntingford,"1,484",401,504,364,215
E05004723 : Datchworth & Aston,654,251,220,107,76
E05004724 : Great Amwell,863,256,290,179,138
E05004725 : Hertford Bengeo,"2,355","1,002",786,337,230
E05004726 : Hertford Castle,"3,001","1,219","1,022",400,360
E05004727 : Hertford Heath,825,279,265,166,115
E05004728 : Hertford Kingsmead,"1,807",608,634,323,242
E05004729 : Hertford Rural North,651,240,210,112,89
E05004730 : Hertford Rural South,715,265,266,110,74
E05004731 : Hertford Sele,"1,859",473,568,364,454
E05004732 : Hunsdon,827,240,293,195,99
E05004733 : Little Hadham,708,278,220,128,82
E05004734 : Mundens and Cottered,695,208,233,157,97
E05004735 : Much Hadham,729,255,236,146,92
E05004736 : Puckeridge,809,217,277,210,105
E05004737 : Sawbridgeworth,"2,542",782,951,461,348
E05004738 : Stanstead Abbots,"1,018",299,370,210,139
E05004739 : Thundridge & Standon,863,293,271,191,108
E05004740 : Walkern,847,299,269,150,129
E05004741 : Ware Chadwell,"1,078",381,366,178,153
E05004742 : Ware Christchurch,"1,746",510,611,333,292
E05004743 : Ware St Mary's,"1,800",537,612,381,270
E05004744 : Ware Trinity,"1,503",391,432,357,323
E05004745 : Watton-at-Stone,728,223,245,162,98
E05004746 : Aldenham East,"1,317",717,405,95,100
E05004747 : Aldenham West,"1,370",600,431,188,151
E05004748 : Borehamwood Brookmeadow,"2,466",543,833,504,586
E05004749 : Borehamwood Cowley Hill,"2,621",352,812,657,800
E05004750 : Borehamwood Hillside,"3,006",766,"1,036",594,610
E05004751 : Borehamwood Kenilworth,"2,070",361,749,471,489
E05004752 : Bushey Heath,"1,717",670,653,217,177
E05004753 : Bushey North,"2,028",555,690,423,360
E05004754 : Bushey Park,"1,439",480,513,260,186
E05004755 : Bushey St James,"2,160",656,815,381,308
E05004756 : Elstree,"1,322",564,434,165,159
E05004757 : Potters Bar Furzefield,"1,813",489,677,381,266
E05004758 : Potters Bar Oakmere,"2,114",406,789,447,472
E05004759 : Potters Bar Parkfield,"2,010",688,783,285,254
E05004760 : Shenley,"1,679",551,611,249,268
E05004761 : Arbury,735,334,199,130,72
E05004762 : Baldock East,977,342,357,162,116
E05004763 : Baldock Town,"2,254",627,718,462,447
E05004764 : Cadwell,647,212,191,126,118
E05004765 : Chesfield,"2,482",855,928,414,285
E05004766 : Codicote,768,295,258,124,91
E05004767 : Ermine,742,277,227,146,92
E05004768 : Hitchin Bearton,"3,165","1,174","1,046",440,505
E05004769 : Hitchin Highbury,"2,387","1,009",772,334,272
E05004770 : Hitchin Oughton,"1,630",361,424,344,501
E05004771 : Hitchin Priory,"1,241",602,403,131,105
E05004772 : Hitchin Walsworth,"2,560",794,805,473,488
"E05004773 : Hitchwood, Offa and Hoo","2,035",751,601,404,279
E05004774 : Kimpton,591,283,165,95,48
E05004775 : Knebworth,"1,639",646,523,275,195
E05004776 : Letchworth East,"1,947",487,606,387,467
E05004777 : Letchworth Grange,"2,080",416,588,500,576
E05004778 : Letchworth South East,"2,151",565,609,401,576
E05004779 : Letchworth South West,"2,036",853,548,291,344
