QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05001663 : Waterloo,"2,226",270,661,451,844
E05008610 : Alderley Edge,"1,444",739,451,130,124
E05008611 : Alsager,"3,351","1,145",966,606,634
E05008612 : Audlem,"1,286",461,351,263,211
E05008613 : Bollington,"2,704",941,851,499,413
E05008614 : Brereton Rural,"1,432",490,435,306,201
E05008615 : Broken Cross and Upton,"2,734",944,863,430,497
E05008616 : Bunbury,"1,376",508,423,274,171
E05008617 : Chelford,"1,064",463,309,172,120
E05008618 : Congleton East,"4,075","1,054","1,163",885,973
E05008619 : Congleton West,"4,043","1,104","1,199",831,909
E05008620 : Crewe Central,"2,122",176,475,425,"1,046"
E05008621 : Crewe East,"4,393",516,"1,176","1,134","1,567"
E05008622 : Crewe North,"1,502",142,338,413,609
E05008623 : Crewe St Barnabas,"1,857",152,328,424,953
E05008624 : Crewe South,"3,954",515,"1,024",853,"1,562"
E05008625 : Crewe West,"3,331",436,861,834,"1,200"
E05008626 : Dane Valley,"2,461","1,117",737,333,274
E05008627 : Disley,"1,294",463,425,233,173
E05008628 : Gawsworth,"1,012",390,310,196,116
E05008629 : Handforth,"3,014",772,961,523,758
E05008630 : Haslington,"2,315",709,740,499,367
E05008631 : High Legh,"1,270",530,398,193,149
E05008632 : Knutsford,"3,887","1,620","1,138",479,650
E05008633 : Leighton,"1,774",388,582,459,345
E05008634 : Macclesfield Central,"3,639",908,"1,256",684,791
E05008635 : Macclesfield East,"1,470",430,452,274,314
E05008636 : Macclesfield Hurdsfield,"1,588",266,432,341,549
E05008637 : Macclesfield South,"2,794",544,797,610,843
E05008638 : Macclesfield Tytherington,"2,645","1,004",876,371,394
E05008639 : Macclesfield West and Ivy,"2,444",493,701,558,692
E05008640 : Middlewich,"4,343","1,049","1,355",927,"1,012"
E05008641 : Mobberley,"1,279",515,416,206,142
E05008642 : Nantwich North and West,"2,809",693,805,571,740
E05008643 : Nantwich South and Stapeley,"2,696","1,059",812,419,406
E05008644 : Odd Rode,"2,411",636,769,550,456
E05008645 : Poynton East and Pott Shrigley,"2,003",763,723,305,212
E05008646 : Poynton West and Adlington,"2,316",903,815,329,269
E05008647 : Prestbury,"1,048",582,305,94,67
E05008648 : Sandbach Elworth,"1,330",387,421,287,235
E05008649 : Sandbach Ettiley Heath and Wheelock,"1,411",452,430,283,246
E05008650 : Sandbach Heath and East,"1,264",290,347,301,326
E05008651 : Sandbach Town,"1,436",532,438,223,243
E05008652 : Shavington,"1,111",254,336,302,219
E05008653 : Sutton,"1,192",452,362,231,147
E05008654 : Willaston and Rope,"1,355",487,463,218,187
E05008655 : Wilmslow Dean Row,"1,589",708,560,153,168
E05008656 : Wilmslow East,"1,173",650,390,65,68
E05008657 : Wilmslow Lacey Green,"1,323",462,394,227,240
E05008658 : Wilmslow West and Chorley,"2,871","1,411",925,311,224
E05008659 : Wistaston,"2,596",719,853,567,457
E05008660 : Wrenbury,"1,230",422,326,309,173
E05008661 : Wybunbury,"1,556",655,505,246,150
E05008662 : Blacon,"4,403",352,"1,061","1,051","1,939"
E05008663 : Boughton,"2,248",684,763,320,481
E05008664 : Chester City,"1,602",439,507,206,450
E05008665 : Chester Villages,"2,260",992,719,302,247
E05008666 : Davenham and Moulton,"4,301","1,497","1,327",739,738
E05008667 : Dodleston and Huntington,"1,208",464,382,191,171
E05008668 : Ellesmere Port Town,"3,149",191,729,773,"1,456"
E05008669 : Elton,"1,464",286,462,379,337
E05008670 : Farndon,"1,120",413,342,201,164
E05008671 : Frodsham,"2,610",928,762,407,513
E05008672 : Garden Quarter,"1,832",412,888,186,346
E05008673 : Gowy,"1,070",461,297,178,134
E05008674 : Grange,"1,498",91,323,334,750
E05008675 : Great Boughton,"2,483",871,792,451,369
E05008676 : Handbridge Park,"2,612","1,169",747,315,381
E05008677 : Hartford and Greenbank,"2,497",944,787,372,394
E05008678 : Helsby,"1,447",482,448,267,250
E05008679 : Hoole,"3,222","1,147",984,482,609
E05008680 : Kingsley,"1,119",514,318,190,97
E05008681 : Lache,"2,051",343,542,390,776
E05008682 : Ledsham and Manor,"2,326",627,767,506,426
E05008683 : Little Neston and Burton,"2,400",767,749,500,384
E05008684 : Malpas,"1,111",297,340,255,219
E05008685 : Marbury,"3,587","1,001","1,091",777,718
E05008686 : Neston,"1,334",261,358,289,426
E05008687 : Netherpool,"1,018",108,252,273,385
E05008688 : Newton,"3,130",955,"1,019",485,671
E05008689 : Parkgate,954,382,331,134,107
E05008690 : Rossmore,"1,502",146,369,320,667
E05008691 : St Paul's,"2,772",353,784,636,999
E05008692 : Saughall and Mollington,"1,183",391,368,224,200
E05008693 : Shakerley,"1,199",308,326,300,265
E05008694 : Strawberry,"1,565",414,524,350,277
E05008695 : Sutton,"2,718",356,787,719,856
E05008696 : Tarporley,"1,221",514,347,193,167
E05008697 : Tarvin and Kelsall,"2,164",857,613,414,280
E05008698 : Tattenhall,"1,235",422,361,268,184
E05008699 : Upton,"2,459",801,779,430,449
E05008700 : Weaver and Cuddington,"3,550","1,058",997,728,767
E05008701 : Whitby,"2,264",506,725,542,491
E05008702 : Willaston and Thornton,"1,030",423,359,133,115
E05008703 : Winnington and Castle,"3,413",575,956,769,"1,113"
E05008704 : Winsford Over and Verdin,"4,182",694,"1,100",933,"1,455"
E05008705 : Winsford Swanlow and Dene,"2,711",351,732,682,946
