KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05008084 : Wooler,"3,188","2,170",108,89
E05001505 : Brotton,"5,185","3,225",364,166
E05001506 : Coatham,"4,032","2,730",487,176
E05001507 : Dormanstown,"4,837","3,102",327,218
E05001508 : Eston,"5,213","3,433",444,222
E05001509 : Grangetown,"3,496","2,097",532,193
E05001510 : Guisborough,"5,480","3,536",375,212
E05001511 : Hutton,"5,326","3,468",173,192
E05001512 : Kirkleatham,"5,118","2,934",371,239
E05001513 : Lockwood,"1,516",866,118,62
E05001514 : Loftus,"4,702","2,745",328,189
E05001515 : Longbeck,"5,292","3,567",202,192
E05001516 : Newcomen,"3,130","1,965",234,176
E05001517 : Normanby,"5,302","3,462",269,224
E05001518 : Ormesby,"4,373","2,753",266,189
E05001519 : St Germain's,"4,449","2,734",189,156
E05001520 : Saltburn,"4,325","2,750",258,187
E05001521 : Skelton,"5,532","3,628",302,248
E05001522 : South Bank,"4,739","3,034",447,231
E05001523 : Teesville,"4,761","2,926",305,196
E05001524 : West Dyke,"5,569","3,975",201,238
E05001525 : Westworth,"3,484","2,373",161,125
E05001526 : Zetland,"3,316","2,227",180,111
E05001527 : Billingham Central,"5,100","3,460",378,227
E05001528 : Billingham East,"5,356","3,527",473,275
E05001529 : Billingham North,"7,057","5,240",239,275
E05001530 : Billingham South,"4,789","3,271",363,213
E05001531 : Billingham West,"4,062","2,563",107,138
E05001532 : Bishopsgarth and Elm Tree,"5,031","3,525",215,148
E05001533 : Eaglescliffe,"7,673","5,448",261,337
E05001534 : Fairfield,"4,239","2,960",141,153
E05001535 : Grangefield,"4,900","3,479",199,253
E05001536 : Hardwick,"4,727","2,927",400,235
E05001537 : Hartburn,"4,877","3,238",139,197
E05001538 : Ingleby Barwick East,"7,509","5,948",216,314
E05001539 : Ingleby Barwick West,"7,636","6,378",210,330
E05001540 : Mandale and Victoria,"8,368","5,230",665,"1,116"
E05001541 : Newtown,"5,203","3,427",561,307
E05001542 : Northern Parishes,"2,550","1,851",54,99
E05001543 : Norton North,"4,865","3,239",352,218
E05001544 : Norton South,"5,976","3,786",473,208
E05001545 : Norton West,"4,725","3,225",116,162
E05001546 : Parkfield and Oxbridge,"5,866","4,033",538,384
E05001547 : Roseworth,"5,300","3,451",411,282
E05001548 : Stainsby Hill,"4,789","3,088",343,207
E05001549 : Stockton Town Centre,"4,880","2,574",615,639
E05001550 : Village,"5,120","3,387",299,208
E05001551 : Western Parishes,"2,522","1,760",84,97
E05001552 : Yarm,"7,534","5,244",223,255
E05001067 : Birtley,"6,101","4,084",277,263
E05001068 : Blaydon,"7,549","5,363",402,255
E05001069 : Bridges,"7,333","4,838",421,"1,014"
E05001070 : Chopwell and Rowlands Gill,"6,816","4,459",334,249
E05001071 : Chowdene,"6,710","4,335",303,265
E05001072 : Crawcrook and Greenside,"6,639","4,790",211,214
E05001073 : Deckham,"7,359","4,821",506,385
E05001074 : Dunston and Teams,"7,053","4,879",518,259
E05001075 : Dunston Hill and Whickham East,"6,728","4,782",208,239
E05001076 : Felling,"6,514","4,076",532,277
E05001077 : High Fell,"6,890","4,368",485,293
E05001078 : Lamesley,"6,545","4,233",306,252
E05001079 : Lobley Hill and Bensham,"8,076","5,343",458,623
E05001080 : Low Fell,"6,392","4,691",143,239
E05001081 : Pelaw and Heworth,"6,633","4,604",296,257
"E05001082 : Ryton, Crookhill and Stella","5,975","4,103",227,195
E05001083 : Saltwell,"7,019","4,948",432,452
E05001084 : Wardley and Leam Lane,"6,053","4,205",252,237
E05001085 : Whickham North,"6,103","4,142",282,187
E05001086 : Whickham South and Sunniside,"6,289","4,280",189,200
E05001087 : Windy Nook and Whitehills,"7,124","4,755",388,273
E05001088 : Winlaton and High Spen,"6,178","4,085",249,204
E05001089 : Benwell and Scotswood,"9,044","5,698",674,471
E05001090 : Blakelaw,"8,166","5,268",472,514
E05001091 : Byker,"9,099","5,547",787,511
E05001092 : Castle,"7,578","5,403",273,399
E05001093 : Dene,"7,166","5,313",199,510
E05001094 : Denton,"7,269","4,804",388,304
E05001095 : East Gosforth,"7,636","5,358",178,886
E05001096 : Elswick,"9,315","5,264",839,965
E05001097 : Fawdon,"7,179","4,610",440,403
