KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05004182 : Harlow Common,"5,220","3,771",261,185
E05004183 : Little Parndon and Hare Street,"5,715","4,403",300,192
E05004184 : Mark Hall,"5,016","3,684",304,210
E05004185 : Netteswell,"5,219","3,855",324,195
E05004186 : Old Harlow,"5,048","3,817",176,188
E05004187 : Staple Tye,"5,217","3,731",351,214
E05004188 : Sumners and Kingsmoor,"5,370","4,128",324,172
E05004189 : Toddbrook,"5,342","3,890",292,224
E05004190 : Althorne,"3,114","2,174",117,91
E05004191 : Burnham-on-Crouch North,"2,735","1,840",91,78
E05004192 : Burnham-on-Crouch South,"2,945","2,029",107,68
E05004193 : Great Totham,"2,711","1,840",66,80
E05004194 : Heybridge East,"3,093","2,333",78,86
E05004195 : Heybridge West,"2,907","2,135",102,75
E05004196 : Maldon East,"1,541","1,051",68,58
E05004197 : Maldon North,"2,952","1,995",88,85
E05004198 : Maldon South,"2,887","2,096",90,74
E05004199 : Maldon West,"2,816","1,970",66,95
E05004200 : Mayland,"3,219","2,295",88,88
E05004201 : Purleigh,"2,582","1,818",55,88
E05004202 : Southminster,"3,095","2,228",149,94
E05004203 : Tillingham,"1,636","1,154",58,51
E05004204 : Tollesbury,"1,515","1,078",30,46
E05004205 : Tolleshunt D'Arcy,"3,091","2,157",84,94
E05004206 : Wickham Bishops and Woodham,"2,567","1,663",44,102
E05004207 : Ashingdon and Canewdon,"3,256","2,348",102,110
E05004208 : Barling and Sutton,"1,366",997,40,52
E05004209 : Downhall and Rawreth,"3,572","2,648",78,103
E05004210 : Foulness and Great Wakering,"4,193","3,006",156,154
E05004211 : Grange,"2,644","1,986",89,72
E05004212 : Hawkwell North,"3,398","2,513",82,114
E05004213 : Hawkwell South,"3,058","2,228",111,76
E05004214 : Hawkwell West,"3,036","2,052",82,102
E05004215 : Hockley Central,"4,630","3,266",127,126
E05004216 : Hockley North,"1,541","1,051",42,49
E05004217 : Hockley West,"1,557","1,120",29,63
E05004218 : Hullbridge,"4,987","3,230",152,127
E05004219 : Lodge,"3,036","2,146",72,90
E05004220 : Rayleigh Central,"3,070","2,146",86,93
E05004221 : Rochford,"5,477","3,888",221,175
E05004222 : Sweyne Park,"3,234","2,434",121,94
E05004223 : Trinity,"2,640","1,691",61,84
E05004224 : Wheatley,"2,942","2,091",103,89
E05004225 : Whitehouse,"2,788","1,963",82,73
E05004226 : Alresford,"1,474","1,014",41,50
E05004227 : Alton Park,"3,384","2,137",240,124
E05004228 : Ardleigh and Little Bromley,"1,746","1,220",39,68
E05004229 : Beaumont and Thorpe,"1,712","1,166",53,62
E05004230 : Bockings Elm,"3,180","2,023",150,98
"E05004231 : Bradfield, Wrabness and Wix","1,652","1,108",39,54
E05004232 : Brightlingsea,"5,822","3,939",190,192
E05004233 : Burrsville,"1,453",756,50,25
E05004234 : Frinton,"2,620","1,454",65,88
E05004235 : Golf Green,"3,546","1,614",290,67
E05004236 : Great and Little Oakley,"1,601","1,098",59,59
E05004237 : Great Bentley,"1,599","1,110",41,44
E05004238 : Hamford,"2,437","1,327",96,70
E05004239 : Harwich East,"2,003","1,352",191,73
E05004240 : Harwich East Central,"3,502","2,368",239,122
E05004241 : Harwich West,"3,470","2,173",112,107
E05004242 : Harwich West Central,"3,517","2,361",159,138
E05004243 : Haven,"1,362",678,41,30
E05004244 : Holland and Kirby,"3,340","2,045",109,113
E05004245 : Homelands,"1,153",524,39,26
E05004246 : Lawford,"3,195","2,321",91,109
E05004247 : Little Clacton and Weeley,"3,300","1,998",90,96
"E05004248 : Manningtree, Mistley, Little Bentley and Tendring","3,379","2,375",122,110
E05004249 : Peter Bruff,"3,145","2,060",159,119
E05004250 : Pier,"3,405","2,018",322,124
E05004251 : Ramsey and Parkeston,"1,664","1,120",93,56
E05004252 : Rush Green,"3,208","1,729",274,150
E05004253 : St Bartholomews,"3,037","1,553",100,91
E05004254 : St James,"2,834","1,657",115,92
E05004255 : St Johns,"3,287","1,889",175,98
E05004256 : St Marys,"3,462","2,127",238,139
E05004257 : St Osyth and Point Clear,"3,051","1,781",132,97
E05004258 : St Pauls,"3,162","1,821",122,124
"E05004259 : Thorrington, Frating, Elmstead and Great Bromley","3,407","2,353",77,108
E05004260 : Walton,"2,941","1,639",180,100
E05004261 : Ashdon,"1,247",906,27,51
E05004262 : Barnston and High Easter,"1,255",925,33,62
E05008708 : Birchanger,"1,180",931,32,38
E05008709 : Broad Oak and the Hallingburys,"2,573","1,904",56,109
E05004265 : Clavering,"1,042",723,29,32
E05004266 : Elsenham and Henham,"2,718","2,006",77,117
E05004267 : Felsted,"3,777","2,736",77,297
E05004268 : Great Dunmow North,"2,718","2,032",87,108
E05004269 : Great Dunmow South,"3,520","2,651",88,97
E05004270 : Hatfield Heath,"1,341",962,35,56
E05004271 : Littlebury,"1,224",859,24,60
E05004272 : Newport,"2,487","1,797",60,124
E05004273 : Saffron Walden Audley,"3,388","2,502",102,153
E05008710 : Saffron Walden Castle,"3,463","2,583",119,128
E05004275 : Saffron Walden Shire,"4,142","3,210",127,183
E05004276 : Stansted North,"2,419","1,754",57,94
E05008711 : Stansted South,"2,391","1,905",84,63
E05004278 : Stebbing,"1,168",863,28,48
E05004279 : Stort Valley,"1,148",829,32,38
E05008712 : Takeley and the Canfields,"3,467","2,640",124,101
E05004281 : Thaxted,"2,474","1,794",58,94
E05008713 : The Chesterfords,"1,197",891,24,46
E05004283 : The Eastons,"1,150",850,28,38
E05004284 : The Rodings,"1,360","1,005",38,55
E05004285 : The Sampfords,"1,344",975,25,71
E05004286 : Wenden Lofts,"1,128",827,20,47
E05004287 : Wimbish and Debden,"1,765","1,413",36,61
E05004678 : Broxbourne,"4,499","3,191",109,196
E05004679 : Bury Green,"4,517","3,212",212,199
E05004680 : Cheshunt Central,"5,380","3,949",235,219
E05004681 : Cheshunt North,"5,431","4,001",245,243
E05004682 : Flamstead End,"5,226","3,888",203,243
E05004683 : Goffs Oak,"6,048","4,452",212,314
E05004684 : Hoddesdon North,"5,244","3,865",154,217
E05004685 : Hoddesdon Town,"5,285","3,953",192,172
E05004686 : Rosedale,"3,245","2,319",155,128
E05004687 : Rye Park,"5,083","3,780",203,178
E05004688 : Theobalds,"5,128","3,722",209,238
E05004689 : Waltham Cross,"5,397","3,833",342,272
E05004690 : Wormley & Turnford,"7,116","5,261",354,308
E05004691 : Adeyfield East,"3,877","2,853",163,129
E05004692 : Adeyfield West,"3,728","2,733",163,143
E05004693 : Aldbury and Wigginton,"1,777","1,282",37,66
E05004694 : Apsley and Corner Hall,"6,792","5,349",258,223
E05004695 : Ashridge,"1,868","1,268",19,93
E05004696 : Bennetts End,"4,166","3,087",152,186
E05004697 : Berkhamsted Castle,"4,326","3,295",97,164
E05004698 : Berkhamsted East,"4,228","3,262",131,162
E05004699 : Berkhamsted West,"4,169","3,038",109,163
"E05004700 : Bovingdon, Flaunden and Chipperfield","6,724","4,559",163,255
E05004701 : Boxmoor,"5,853","4,482",162,185
E05004702 : Chaulden and Warners End,"6,561","4,959",267,245
E05004703 : Gadebridge,"3,998","3,067",155,163
E05004704 : Grovehill,"5,855","4,377",348,216
E05004705 : Hemel Hempstead Town,"4,202","3,211",282,134
E05004706 : Highfield,"3,963","2,848",229,163
E05004707 : Kings Langley,"3,740","2,761",102,154
E05004708 : Leverstock Green,"6,489","4,682",250,280
E05004709 : Nash Mills,"2,041","1,539",76,86
E05004710 : Northchurch,"1,903","1,379",49,55
E05004711 : Tring Central,"3,913","2,985",127,155
E05004712 : Tring East,"2,320","1,605",46,167
E05004713 : Tring West and Rural,"3,466","2,655",95,131
E05004714 : Watling,"3,968","3,020",122,119
E05004715 : Woodhall Farm,"4,483","3,504",227,166
E05004716 : Bishop's Stortford All Saints,"5,764","4,285",157,367
E05004717 : Bishop's Stortford Central,"7,202","5,676",269,278
E05004718 : Bishop's Stortford Meads,"4,156","3,205",142,155
E05004719 : Bishop's Stortford Silverleys,"3,925","3,011",81,241
E05004720 : Bishop's Stortford South,"6,361","4,986",152,298
E05004721 : Braughing,"1,847","1,328",42,75
E05004722 : Buntingford,"3,861","2,868",93,155
E05004723 : Datchworth & Aston,"1,760","1,232",48,65
E05004724 : Great Amwell,"2,137","1,578",41,78
E05004725 : Hertford Bengeo,"5,347","4,056",150,189
E05004726 : Hertford Castle,"6,263","4,867",171,255
E05004727 : Hertford Heath,"2,344","1,587",55,313
E05004728 : Hertford Kingsmead,"3,893","3,168",113,170
E05004729 : Hertford Rural North,"1,672","1,187",40,67
E05004730 : Hertford Rural South,"1,862","1,327",51,80
E05004731 : Hertford Sele,"3,891","2,835",178,153
E05004732 : Hunsdon,"2,035","1,486",60,86
E05004733 : Little Hadham,"1,777","1,299",37,83
E05004734 : Mundens and Cottered,"1,814","1,264",46,82
E05004735 : Much Hadham,"2,027","1,351",55,131
E05004736 : Puckeridge,"1,924","1,469",41,61
E05004737 : Sawbridgeworth,"6,205","4,558",156,207
E05004738 : Stanstead Abbots,"2,268","1,775",65,75
E05004739 : Thundridge & Standon,"2,237","1,613",50,124
E05004740 : Walkern,"2,071","1,540",56,106
E05004741 : Ware Chadwell,"2,254","1,750",63,69
E05004742 : Ware Christchurch,"3,750","2,914",132,123
E05004743 : Ware St Mary's,"3,994","3,160",103,115
E05004744 : Ware Trinity,"3,748","2,786",147,144
E05004745 : Watton-at-Stone,"1,704","1,273",55,56
E05004746 : Aldenham East,"3,424","2,485",73,254
E05004747 : Aldenham West,"3,499","2,548",101,242
E05004748 : Borehamwood Brookmeadow,"5,622","4,259",278,263
E05004749 : Borehamwood Cowley Hill,"5,996","4,301",345,295
E05004750 : Borehamwood Hillside,"7,092","5,461",329,360
E05004751 : Borehamwood Kenilworth,"4,384","3,371",235,180
E05004752 : Bushey Heath,"4,595","3,274",119,243
E05004753 : Bushey North,"4,967","3,681",160,321
E05004754 : Bushey Park,"3,389","2,587",96,173
E05004755 : Bushey St James,"5,408","4,007",174,286
E05004756 : Elstree,"3,563","2,600",94,261
E05004757 : Potters Bar Furzefield,"4,774","3,402",146,384
E05004758 : Potters Bar Oakmere,"5,361","3,721",208,406
E05004759 : Potters Bar Parkfield,"5,568","3,779",165,555
E05004760 : Shenley,"3,869","2,959",127,155
E05004761 : Arbury,"1,928","1,402",44,55
E05004762 : Baldock East,"2,145","1,737",49,98
E05004763 : Baldock Town,"5,103","3,870",220,200
E05004764 : Cadwell,"1,610","1,151",68,64
E05004765 : Chesfield,"5,242","4,406",147,131
E05004766 : Codicote,"1,848","1,379",54,62
E05004767 : Ermine,"1,870","1,384",34,57
E05004768 : Hitchin Bearton,"6,443","5,212",272,254
E05004769 : Hitchin Highbury,"5,470","4,057",153,211
E05004770 : Hitchin Oughton,"3,592","2,666",219,133
E05004771 : Hitchin Priory,"3,128","2,218",55,142
E05004772 : Hitchin Walsworth,"5,837","4,471",248,236
"E05004773 : Hitchwood, Offa and Hoo","5,173","3,773",123,218
E05004774 : Kimpton,"1,582","1,097",29,55
E05004775 : Knebworth,"3,792","2,885",107,156
E05004776 : Letchworth East,"4,196","3,129",201,149
E05004777 : Letchworth Grange,"4,888","3,489",198,127
E05004778 : Letchworth South East,"5,388","3,729",248,214
E05004779 : Letchworth South West,"5,335","3,705",170,298
E05004780 : Letchworth Wilbury,"3,725","2,698",186,139
E05004781 : Royston Heath,"3,723","2,880",92,114
E05004782 : Royston Meridian,"3,970","2,985",98,114
E05004783 : Royston Palace,"3,981","3,109",100,123
E05004784 : Weston and Sandon,"1,541","1,132",30,79
E05004785 : Ashley,"5,780","4,534",176,271
E05004786 : Batchwood,"5,265","4,006",169,264
E05004787 : Clarence,"5,010","3,820",114,271
E05004788 : Colney Heath,"4,250","3,197",123,203
E05004789 : Cunningham,"4,754","3,447",194,225
E05004790 : Harpenden East,"5,178","3,830",130,320
E05004791 : Harpenden North,"4,938","3,598",100,273
E05004792 : Harpenden South,"4,729","3,310",89,244
E05004793 : Harpenden West,"5,143","3,727",97,233
E05004794 : London Colney,"7,006","5,293",232,339
E05004795 : Marshalswick North,"4,588","3,460",122,217
E05004796 : Marshalswick South,"5,090","3,840",122,251
E05004797 : Park Street,"5,266","3,918",142,189
E05004798 : Redbourn,"4,368","3,131",96,166
E05004799 : St Peters,"5,955","4,912",205,202
E05004800 : St Stephen,"4,614","3,286",109,201
E05004801 : Sandridge,"3,656","2,840",87,142
E05004802 : Sopwell,"5,256","3,988",199,222
E05004803 : Verulam,"4,579","3,234",81,187
E05004804 : Wheathampstead,"4,438","3,182",128,194
E05004805 : Bandley Hill,"4,738","3,670",216,161
E05004806 : Bedwell,"4,877","3,560",343,205
E05004807 : Chells,"4,835","3,580",186,198
E05004808 : Longmeadow,"4,294","3,233",195,137
E05004809 : Manor,"4,852","3,855",145,175
E05004810 : Martins Wood,"4,683","3,539",254,210
E05004811 : Old Town,"5,789","4,393",249,189
E05004812 : Pin Green,"4,554","3,333",239,152
E05004813 : Roebuck,"4,583","3,494",253,164
E05004814 : St Nicholas,"4,865","3,658",248,217
E05004815 : Shephall,"4,333","3,235",218,172
E05004816 : Symonds Green,"4,312","3,291",216,124
E05004817 : Woodfield,"4,273","3,299",163,165
E05004818 : Abbots Langley,"3,355","2,478",88,129
E05004819 : Ashridge,"2,717","2,070",143,120
E05004820 : Bedmond & Primrose Hill,"3,015","2,292",84,85
E05004821 : Carpenders Park,"3,590","2,478",136,152
E05004822 : Chorleywood East,"2,804","1,963",65,192
E05004823 : Chorleywood West,"3,812","2,741",89,197
E05004824 : Croxley Green,"3,888","2,965",88,174
E05004825 : Croxley Green North,"2,330","1,719",52,100
E05004826 : Croxley Green South,"2,685","2,067",70,104
E05004827 : Hayling,"2,580","1,894",135,120
E05004828 : Langleybury,"3,678","2,766",128,185
E05004829 : Leavesden,"4,143","3,239",137,190
E05004830 : Maple Cross & Mill End,"4,051","3,076",151,143
E05004831 : Moor Park & Eastbury,"4,064","2,919",63,266
E05004832 : Northwick,"3,646","2,621",267,148
E05004833 : Oxhey Hall,"2,457","1,857",70,95
E05004834 : Penn,"2,510","1,961",86,103
E05004835 : Rickmansworth,"3,286","2,482",68,154
E05004836 : Rickmansworth West,"2,482","1,744",38,126
E05004837 : Sarratt,"1,347",948,26,47
E05004838 : Callowland,"5,741","4,582",209,270
E05004839 : Central,"6,494","5,216",337,265
E05004840 : Holywell,"6,154","4,610",322,296
E05004841 : Leggatts,"5,339","3,984",242,295
E05004842 : Meriden,"5,498","4,128",261,195
E05004843 : Nascot,"5,500","4,194",180,267
E05004844 : Oxhey,"4,963","3,750",206,243
E05004845 : Park,"5,567","4,064",155,327
E05004846 : Stanborough,"5,215","3,990",161,238
E05004847 : Tudor,"4,600","3,590",135,137
E05004848 : Vicarage,"6,078","4,749",272,342
E05004849 : Woodside,"5,136","3,913",212,183
E05004850 : Brookmans Park and Little Heath,"4,206","2,822",93,368
E05004851 : Haldens,"4,884","3,655",231,161
E05004852 : Handside,"4,633","3,280",126,217
E05004853 : Hatfield Central,"5,570","3,951",237,549
E05004854 : Hatfield East,"5,076","3,707",169,449
E05004855 : Hatfield South,"6,302","3,610",155,"1,995"
E05004856 : Hatfield Villages,"6,852","4,292",138,"1,969"
E05004857 : Hatfield West,"6,972","4,492",200,"1,466"
E05004858 : Hollybush,"4,860","3,775",199,211
E05004859 : Howlands,"4,063","3,103",160,175
E05004860 : Northaw and Cuffley,"3,677","2,490",88,187
E05004861 : Panshanger,"4,861","3,825",153,157
E05004862 : Peartree,"5,579","4,114",338,277
E05004863 : Sherrards,"4,089","2,951",148,174
E05004864 : Welham Green,"2,744","1,919",84,264
E05004865 : Welwyn East,"4,316","3,038",90,207
E05004866 : Welwyn West,"2,830","2,012",78,115
E05005721 : All Saints,"1,767","1,198",53,64
E05005722 : Buckenham,"1,239",838,22,48
E05005723 : Burgh and Haverscroft,"2,663","1,868",72,81
E05005724 : Conifer,"1,489","1,039",34,42
E05005725 : Dereham-Central,"4,590","3,173",253,134
E05005726 : Dereham-Humbletoft,"1,962","1,383",88,55
E05005727 : Dereham-Neatherd,"2,983","2,014",122,101
E05005728 : Dereham-Toftwood,"3,584","2,586",136,103
E05005729 : East Guiltcross,"1,631","1,196",46,75
E05005730 : Eynsford,"1,662","1,162",41,35
E05005731 : Haggard de Toni,"1,610","1,021",49,47
E05005732 : Harling and Heathlands,"3,153","2,160",86,100
E05005733 : Hermitage,"1,575",993,41,37
E05005734 : Launditch,"1,518","1,032",53,63
E05005735 : Mid Forest,"1,545","1,024",53,38
E05005736 : Nar Valley,"1,658","1,024",41,42
E05005737 : Necton,"1,365",798,47,32
E05005738 : Queen's,"5,357","3,938",161,188
E05005739 : Shipdham,"1,475",975,34,50
E05005740 : Springvale and Scarning,"3,613","2,614",95,83
E05005741 : Swaffham,"4,921","3,047",194,127
E05005742 : Swanton Morley,"1,932","1,442",49,49
E05005743 : Taverner,"1,605","1,086",29,37
E05005744 : Templar,"3,304","2,016",155,112
E05005745 : Thetford-Abbey,"4,129","2,925",247,159
E05005746 : Thetford-Castle,"1,760","1,275",72,43
E05005747 : Thetford-Guildhall,"6,282","4,920",191,176
E05005748 : Thetford-Saxon,"5,516","3,890",298,223
E05005749 : Two Rivers,"3,069","2,106",75,98
E05005750 : Upper Wensum,"1,647","1,099",54,44
E05005751 : Upper Yare,"1,828","1,266",36,45
E05005752 : Watton,"4,979","3,303",174,111
E05005753 : Wayland,"1,640","1,202",40,44
E05005754 : Weeting,"1,806","1,225",64,50
E05005755 : West Guiltcross,"1,642","1,153",40,64
E05005756 : Wissey,"1,677","1,038",57,35
E05005757 : Acle,"1,944","1,368",60,53
E05005758 : Aylsham,"5,298","3,510",158,141
E05005759 : Blofield with South Walsham,"4,072","2,728",85,123
E05005760 : Brundall,"4,236","3,000",131,113
E05005761 : Burlingham,"1,932","1,371",64,44
E05005762 : Buxton,"1,903","1,371",41,61
E05005763 : Coltishall,"1,907","1,354",55,55
E05005764 : Drayton North,"2,232","1,806",54,74
E05005765 : Drayton South,"1,655","1,038",37,46
E05005766 : Eynesford,"2,401","1,706",69,80
E05005767 : Great Witchingham,"1,919","1,366",40,47
E05005768 : Hellesdon North West,"4,143","2,802",96,93
E05005769 : Hellesdon South East,"3,772","2,676",85,102
E05005770 : Hevingham,"2,131","1,480",46,46
E05005771 : Horsford and Felthorpe,"3,618","2,730",108,118
E05005772 : Marshes,"2,386","1,593",62,82
E05005773 : Old Catton and Sprowston West,"6,150","4,500",166,157
E05005774 : Plumstead,"2,279","1,641",46,72
E05005775 : Reepham,"1,935","1,381",51,76
E05005776 : Spixworth with St Faiths,"4,080","2,891",80,98
E05005777 : Sprowston Central,"4,020","2,968",120,116
E05005778 : Sprowston East,"5,012","3,423",95,107
E05005779 : Taverham North,"3,885","3,076",111,140
E05005780 : Taverham South,"3,475","2,380",64,91
E05005781 : Thorpe St Andrew North West,"5,098","3,622",139,118
E05005782 : Thorpe St Andrew South East,"5,239","4,014",154,190
E05005783 : Wroxham,"3,583","2,437",97,109
E05005784 : Bradwell North,"4,661","3,266",133,116
E05005785 : Bradwell South and Hopton,"4,798","3,253",169,126
E05005786 : Caister North,"3,410","2,140",139,84
E05005787 : Caister South,"3,195","1,984",127,101
E05005788 : Central and Northgate,"6,066","4,008",567,257
E05005789 : Claydon,"5,492","3,552",386,223
E05005790 : East Flegg,"3,535","2,171",149,108
E05005791 : Fleggburgh,"1,859","1,312",59,42
E05005792 : Gorleston,"3,939","2,663",171,155
E05005793 : Lothingland,"4,243","2,901",138,133
E05005794 : Magdalen,"4,942","3,101",314,225
E05005795 : Nelson,"6,217","3,833",796,296
E05005796 : Ormesby,"3,163","2,034",111,102
E05005797 : St Andrews,"3,652","2,511",249,126
E05005798 : Southtown and Cobholm,"4,091","2,828",402,183
E05005799 : West Flegg,"3,741","2,462",135,119
E05005800 : Yarmouth North,"3,230","1,999",213,130
E05005801 : Airfield,"4,178","3,157",110,116
E05005802 : Brancaster,958,606,19,11
E05005803 : Burnham,"1,179",710,33,31
E05005804 : Clenchwarton,"1,636","1,026",32,47
E05005805 : Denton,"5,743","3,966",179,201
E05005806 : Dersingham,"3,234","1,900",86,83
E05005807 : Docking,"1,422",889,52,29
E05005808 : Downham Old Town,"1,849","1,266",90,66
E05005809 : East Downham,"2,181","1,590",109,85
E05005810 : Emneth with Outwell,"3,422","2,250",122,117
E05005811 : Fairstead,"4,626","3,434",285,156
E05005812 : Gayton,"1,666","1,090",31,47
E05005813 : Gaywood Chase,"3,738","2,638",205,174
E05005814 : Gaywood North Bank,"5,660","4,152",140,160
E05005815 : Grimston,"1,756","1,208",41,57
E05005816 : Heacham,"3,281","1,855",89,86
E05005817 : Hilgay with Denver,"1,782","1,228",52,67
E05005818 : Hunstanton,"3,646","2,022",138,97
E05005819 : Mershe Lande,"1,808","1,187",63,67
E05005820 : North Downham,"1,308",840,38,21
E05005821 : North Lynn,"4,308","2,834",322,196
E05005822 : North Wootton,"1,788","1,307",44,60
E05005823 : Old Gaywood,"1,370","1,002",58,54
E05005824 : Priory,"1,793","1,180",49,59
E05005825 : Rudham,"1,603","1,039",55,26
E05005826 : St Lawrence,"1,832","1,241",69,55
E05005827 : St Margarets with St Nicholas,"3,748","2,665",239,106
E05005828 : Snettisham,"2,907","1,694",68,59
E05005829 : South and West Lynn,"3,591","2,515",214,130
E05005830 : South Downham,"1,270",591,27,16
E05005831 : South Wootton,"3,157","2,170",69,101
E05005832 : Spellowfields,"3,450","2,375",123,103
E05005833 : Springwood,"1,531","1,183",34,46
E05005834 : Upwell and Delph,"3,569","2,330",133,131
E05005835 : Valley Hill,"1,671","1,128",46,35
E05005836 : Walpole,"1,717","1,177",77,48
E05005837 : Walton,"1,949","1,299",57,67
E05005838 : Watlington,"1,795","1,306",61,53
E05005839 : West Winch,"3,381","2,264",87,82
E05005840 : Wiggenhall,"1,551","1,032",55,54
E05005841 : Wimbotsham with Fincham,"1,858","1,265",49,43
E05005842 : Wissey,"1,679","1,093",51,53
E05005843 : Astley,"1,675","1,152",40,42
E05005844 : Briston,"1,785","1,213",55,56
E05008556 : Chaucer,"1,626",961,48,50
E05005846 : Corpusty,"1,674","1,095",50,51
E05005847 : Cromer Town,"2,668","1,648",130,38
E05005848 : Erpingham,"1,771","1,232",39,59
E05005849 : Gaunt,"1,820","1,124",60,61
E05005850 : Glaven Valley,"1,430",883,36,44
E05005851 : Happisburgh,"1,804","1,103",56,49
E05005852 : High Heath,"1,269",745,23,26
E05005853 : Holt,"2,411","1,292",69,199
E05005854 : Hoveton,"1,336",783,45,25
E05005855 : Lancaster North,"2,658","1,882",79,70
E05005856 : Lancaster South,"2,708","1,785",92,71
E05005857 : Mundesley,"2,921","1,709",137,73
E05005858 : North Walsham East,"2,895","1,789",127,95
E05005859 : North Walsham North,"3,008","2,086",125,73
E05005860 : North Walsham West,"2,867","1,877",117,85
E05005861 : Poppyland,"1,741","1,048",46,41
E05005862 : Priory,"2,799","1,709",74,67
E05005863 : Roughton,"1,718","1,119",58,46
E05005864 : Scottow,"2,347","1,427",55,51
E05005865 : St Benet,"1,531",923,55,39
E05005866 : Sheringham North,"2,421","1,495",70,51
E05005867 : Sheringham South,"2,554","1,400",56,66
E05005868 : Stalham and Sutton,"3,100","2,056",136,83
E05005869 : Suffield Park,"2,741","1,639",114,60
E05005870 : The Raynhams,"1,864","1,345",62,46
E05008557 : The Runtons,"1,555",961,46,50
E05005872 : Walsingham,"1,601","1,071",60,29
E05005873 : Waterside,"3,060","1,844",95,57
E05005874 : Waxham,"1,634","1,041",45,50
E05005875 : Wensum,"1,665","1,115",40,51
E05005876 : Worstead,"1,796","1,267",64,48
E05005877 : Bowthorpe,"8,539","5,548",435,976
E05005878 : Catton Grove,"7,950","5,867",489,252
E05005879 : Crome,"6,901","4,487",379,215
E05005880 : Eaton,"6,183","4,129",167,430
E05005881 : Lakenham,"6,530","4,546",383,221
E05005882 : Mancroft,"7,819","5,353",535,457
E05005883 : Mile Cross,"7,698","5,372",577,300
E05005884 : Nelson,"7,608","5,508",205,"1,209"
E05005885 : Sewell,"7,909","6,191",369,331
E05005886 : Thorpe Hamlet,"8,570","6,539",476,334
E05005887 : Town Close,"8,226","5,780",306,822
E05005888 : University,"8,294","3,823",239,"3,245"
E05005889 : Wensum,"8,475","5,629",500,821
E05005890 : Abbey,"2,075","1,415",54,59
E05005891 : Brooke,"1,890","1,290",50,56
E05005892 : Bunwell,"1,998","1,397",47,57
E05005893 : Dickleburgh,"2,113","1,528",56,56
E05005894 : Ditchingham and Broome,"1,685","1,127",61,65
E05005895 : Easton,"2,053","1,494",50,76
E05005896 : Forncett,"2,023","1,409",42,66
E05005897 : Hempnall,"1,889","1,353",53,65
E05005898 : Hingham and Deopham,"2,097","1,399",57,48
E05005899 : New Costessey,"3,769","2,596",113,82
E05005900 : Newton Flotman,"1,911","1,364",43,42
E05005901 : Northfields,"1,996","1,394",77,47
E05005902 : Old Costessey,"5,351","4,008",205,131
E05005903 : Poringland with the Framinghams,"3,452","2,397",64,107
E05005904 : Rockland,"2,040","1,413",40,62
E05005905 : Rustens,"1,953","1,506",47,53
E05005906 : Scole,"1,713","1,182",34,39
E05005907 : Stoke Holy Cross,"2,034","1,453",45,62
E05005908 : Stratton,"4,008","2,983",124,128
E05005909 : Tasburgh,"1,765","1,260",34,67
E05005910 : Thurlton,"2,041","1,406",64,64
E05005911 : Town,"2,310","1,738",51,57
E05005912 : Wicklewood,"2,152","1,503",38,220
E05005913 : Beck Vale,"1,601","1,096",53,43
E05005914 : Bressingham and Burston,"2,100","1,426",60,82
E05005915 : Chedgrave and Thurton,"1,936","1,240",42,124
E05005916 : Cringleford,"3,563","2,498",74,152
E05005917 : Cromwells,"1,899","1,378",67,64
E05005918 : Diss,"5,329","3,783",202,129
E05005919 : Earsham,"1,773","1,185",42,52
E05005920 : Gillingham,"2,080","1,444",66,61
E05005921 : Harleston,"3,263","2,264",107,67
E05005922 : Hethersett,"4,072","2,860",112,153
E05005923 : Loddon,"1,861","1,308",49,66
E05005924 : Mulbarton,"3,770","2,793",74,95
E05005925 : Roydon,"1,772","1,268",42,47
E05007076 : Alton,"2,791","1,958",62,75
E05007077 : Berners,"2,830","2,001",69,96
E05007078 : Boxford,"1,553","1,052",37,50
E05007079 : Brett Vale,"1,505","1,005",47,53
E05007080 : Brook,"2,931","2,068",64,90
E05007081 : Bures St Mary,"1,230",872,31,39
E05007082 : Chadacre,"1,425","1,025",23,48
E05007083 : Dodnash,"2,509","1,630",47,116
E05007084 : Glemsford and Stanstead,"2,775","2,016",105,57
E05007085 : Great Cornard North,"3,120","2,141",113,90
E05007086 : Great Cornard South,"3,370","2,521",130,127
E05007087 : Hadleigh North,"3,102","2,185",115,93
E05007088 : Hadleigh South,"2,632","1,879",57,92
E05007089 : Holbrook,"1,620",993,22,282
E05007090 : Lavenham,"1,205",771,27,25
E05007091 : Leavenheath,"1,298",886,26,29
E05007092 : Long Melford,"2,749","1,889",89,57
E05007093 : Lower Brett,"1,589","1,109",38,52
E05007094 : Mid Samford,"2,915","1,948",59,110
E05007095 : Nayland,"1,244",847,28,36
E05007096 : North Cosford,"1,585","1,093",41,52
E05007097 : Pinewood,"3,326","2,726",110,94
E05007098 : South Cosford,"1,608","1,082",35,54
E05007099 : Sudbury East,"3,029","2,101",146,84
E05007100 : Sudbury North,"3,145","2,304",118,93
E05007101 : Sudbury South,"3,060","2,168",150,65
E05007102 : Waldingfield,"2,929","2,077",90,70
