KS105EW - Household composition,
ONS Crown Copyright Reserved [from Nomis on 19 December 2025],
,
population,All households
units,Households
rural urban,Total
household composition,All categories: Household composition
,
E05008700 : Weaver and Cuddington,"5,456"
E05008701 : Whitby,"3,294"
E05008702 : Willaston and Thornton,"1,696"
E05008703 : Winnington and Castle,"4,195"
E05008704 : Winsford Over and Verdin,"5,537"
E05008705 : Winsford Swanlow and Dene,"3,721"
E05008706 : Winsford Wharton,"3,918"
E05008707 : Witton and Rudheath,"3,505"
E05001577 : Appleton,"3,055"
E05001578 : Beechwood,"1,571"
E05001579 : Birchfield,"2,556"
E05001580 : Broadheath,"2,590"
E05001581 : Halton Castle,"2,869"
E05001582 : Daresbury,"1,743"
E05001583 : Ditton,"3,128"
E05001584 : Farnworth,"3,070"
E05001585 : Grange,"2,938"
E05001586 : Hale,787
E05001587 : Halton Brook,"2,716"
E05001588 : Halton Lea,"2,803"
E05001589 : Halton View,"2,975"
E05001590 : Heath,"2,514"
E05001591 : Hough Green,"3,040"
E05001592 : Kingsway,"2,674"
E05001593 : Mersey,"3,546"
E05001594 : Norton North,"2,716"
E05001595 : Norton South,"2,744"
E05001596 : Riverside,"2,297"
E05001597 : Windmill Hill,980
E05001598 : Appleton,"4,173"
E05001599 : Bewsey and Whitecross,"5,530"
E05001600 : Birchwood,"4,839"
E05001601 : Burtonwood and Winwick,"2,557"
"E05001602 : Culcheth, Glazebury and Croft","4,457"
E05001603 : Fairfield and Howley,"6,359"
E05001604 : Grappenhall and Thelwall,"3,969"
E05001605 : Great Sankey North,"2,548"
E05001606 : Great Sankey South,"4,335"
"E05001607 : Hatton, Stretton and Walton","1,188"
E05001608 : Latchford East,"3,731"
E05001609 : Latchford West,"3,275"
E05001610 : Lymm,"5,171"
E05001611 : Orford,"4,442"
E05001612 : Penketh and Cuerdley,"3,526"
E05001613 : Poplars and Hulme,"4,559"
E05001614 : Poulton North,"4,304"
E05001615 : Poulton South,"2,726"
E05001616 : Rixton and Woolston,"3,702"
E05001617 : Stockton Heath,"2,728"
E05001618 : Westbrook,"2,449"
E05001619 : Whittle Hall,"4,572"
E05003114 : All Saints,"2,139"
E05003115 : Aspatria,"1,502"
E05003116 : Boltons,784
E05003117 : Broughton St Bridget's,"1,729"
E05003118 : Christchurch,"1,648"
E05003119 : Clifton,710
E05003120 : Crummock,675
E05003121 : Dalton,776
E05003122 : Derwent Valley,642
E05003123 : Ellen,"1,367"
E05003124 : Ellenborough,"1,659"
